TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,392,csrss.exe,0x7ff6599e0000,0x7000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb52220000,0x1ed000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb4e200000,0x18000,CSRSRV.dll,C:\\Windows\\SYSTEM32\\CSRSRV.dll,6,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb4e1e0000,0x14000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,6,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb4e1c0000,0x16000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,6,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb4f050000,0x293000,kernelbase.dll,C:\\Windows\\System32\\kernelbase.dll,-1,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb4f450000,0xb3000,kernel32.dll,C:\\Windows\\System32\\kernel32.dll,-1,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb4e1a0000,0x1f000,winsrvext.dll,C:\\Windows\\SYSTEM32\\winsrvext.dll,6,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb51ea0000,0x197000,USER32.dll,C:\\Windows\\System32\\USER32.dll,6,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb4e600000,0x20000,win32u.dll,C:\\Windows\\System32\\win32u.dll,6,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb51e70000,0x29000,GDI32.dll,C:\\Windows\\System32\\GDI32.dll,6,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb4ee30000,0x19a000,gdi32full.dll,C:\\Windows\\System32\\gdi32full.dll,6,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb4ed90000,0xa0000,msvcp_win.dll,C:\\Windows\\System32\\msvcp_win.dll,6,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb4e2f0000,0xfa000,ucrtbase.dll,C:\\Windows\\System32\\ucrtbase.dll,6,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb50010000,0x32d000,combase.dll,C:\\Windows\\System32\\combase.dll,6,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb50520000,0x122000,RPCRT4.dll,C:\\Windows\\System32\\RPCRT4.dll,6,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb4efd0000,0x7e000,bcryptPrimitives.dll,C:\\Windows\\System32\\bcryptPrimitives.dll,-1,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb4f3a0000,0x4a000,cfgmgr32.dll,C:\\Windows\\System32\\cfgmgr32.dll,6,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb4e190000,0xd000,sxssrv.DLL,C:\\Windows\\system32\\sxssrv.DLL,6,2023-04-04 14:07:21.000000 UTC,Disabled
0,392,csrss.exe,0x7ffb4e080000,0x9b000,sxs.dll,C:\\Windows\\system32\\sxs.dll,6,2023-04-04 14:07:21.000000 UTC,Disabled
0,460,wininit.exe,0x7ff7ac980000,0x60000,wininit.exe,C:\\Windows\\system32\\wininit.exe,-1,2023-04-04 14:07:21.000000 UTC,Disabled
0,460,wininit.exe,0x7ffb52220000,0x1ed000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2023-04-04 14:07:21.000000 UTC,Disabled
0,460,wininit.exe,0x7ffb4f450000,0xb3000,KERNEL32.DLL,C:\\Windows\\System32\\KERNEL32.DLL,-1,2023-04-04 14:07:21.000000 UTC,Disabled
0,460,wininit.exe,0x7ffb4f050000,0x293000,KERNELBASE.dll,C:\\Windows\\System32\\KERNELBASE.dll,-1,2023-04-04 14:07:21.000000 UTC,Disabled
0,460,wininit.exe,0x7ffb4e2f0000,0xfa000,ucrtbase.dll,C:\\Windows\\System32\\ucrtbase.dll,6,2023-04-04 14:07:21.000000 UTC,Disabled
0,460,wininit.exe,0x7ffb50520000,0x122000,RPCRT4.dll,C:\\Windows\\System32\\RPCRT4.dll,6,2023-04-04 14:07:21.000000 UTC,Disabled
