TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0xda0912c4d060,0xf807c2e00000,0x1f000,amdsata,amdsata,\\Driver\\amdsata
0,0xda0912c70060,0xf8007d00f000,0x0,\\Driver\\PnpManager,PnpManager,\\Driver\\PnpManager
0,0xda0912c77a80,0xf807c2bf0000,0x11e000,iaStorV,iaStorV,\\Driver\\iaStorV
0,0xda0912c78cf0,0xf807c37b0000,0x4e000,sdbus,sdbus,\\Driver\\sdbus
0,0xda0912c821c0,0xf807c2bd0000,0x1f000,mountmgr,mountmgr,\\Driver\\mountmgr
0,0xda0912c8d060,0xf807c2de0000,0x1e000,3ware,3ware,\\Driver\\3ware
0,0xda0912c8f9f0,0xf807c23b0000,0xb000,isapnp,isapnp,\\Driver\\isapnp
0,0xda0912c90cf0,0xf807c36e0000,0xa3000,spaceport,spaceport,\\Driver\\spaceport
0,0xda0912cc3cf0,0xf807c2180000,0x51000,MsSecFlt,MsSecFlt,\\Driver\\MsSecFlt
0,0xda0912ccccf0,0xf8007da7f000,0x0,\\Driver\\ACPI_HAL,ACPI_HAL,\\Driver\\ACPI_HAL
0,0xda0912ccdcf0,0xf8007d00f000,0x0,\\Driver\\WMIxWDM,WMIxWDM,\\Driver\\WMIxWDM
0,0xda0912cd4cf0,0xf800821d0000,0x24000,scmbus,scmbus,\\Driver\\scmbus
0,0xda0912cd5cf0,0xf807c2020000,0xd1000,Wdf01000,Wdf01000,\\Driver\\Wdf01000
0,0xda0912cd8cf0,0xf807c24e0000,0x2f000,partmgr,partmgr,\\Driver\\partmgr
0,0xda0912cdfcf0,0xf807c36b0000,0x22000,pcmcia,pcmcia,\\Driver\\pcmcia
0,0xda0912ce2cf0,0xf807c2150000,0x24000,acpiex,acpiex,\\Driver\\acpiex
0,0xda0912ce8060,0xf800823b0000,0x1b000,storqosflt,storqosflt,\\FileSystem\\storqosflt
0,0xda0912ceacf0,0xf807c2200000,0xc8000,ACPI,ACPI,\\Driver\\ACPI
0,0xda0912cefcf0,0xf807c21e0000,0x1a000,SgrmAgent,SgrmAgent,\\Driver\\SgrmAgent
