TreeDepth,Offset,Name
0,0xd8000003aba0,\\Users\\IEUser\\AppData\\Local\\Packages\\InputApp_cw5n1h2txyewy\\Settings\\settings.dat
0,0xd8000003aec0,\\ProgramData\\Microsoft\\Windows\\AppRepository\\StateRepository-Machine.srd
0,0xd80000082d70,෈᫊�￿෈᫊�￿
0,0xda09142a17d0,\\Windows\\System32\\drivers\\csc.sys
0,0xda09142a2070,\\Windows\\System32\\drivers\\netbios.sys
0,0xda09142a21e0,\\Windows\\System32\\drivers\\rdbss.sys
0,0xda09142a24c0,\\Windows\\System32\\drivers\\pacer.sys
0,0xda09142a2bf0,\\Windows\\System32\\drivers\\nsiproxy.sys
0,0xda09142a2ed0,\\Windows\\System32\\drivers\\VBoxSF.sys
0,0xda09142b8210,\\Windows\\System32\\drivers\\gpuenergydrv.sys
0,0xda09142b84f0,\\Windows\\System32\\drivers\\npsvctrig.sys
0,0xda09142b8ab0,\\Windows\\System32\\drivers\\mssmbios.sys
0,0xda09142b97a0,\\Windows\\System32\\drivers\\ahcache.sys
0,0xda09142b9910,\\Windows\\System32\\drivers\\dfsc.sys
0,0xda09142b9d60,\\Windows\\System32\\drivers\\bam.sys
0,0xda09143080a0,\\:$I30:$INDEX_ALLOCATION
0,0xda0914308210,\\$MftMirr
0,0xda0914308380,\\$Extend:$I30:$INDEX_ALLOCATION
0,0xda09143084f0,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,0xda09143087d0,\\$Mft
0,0xda0914308ab0,\\$Extend\\$RmMetadata\\$TxfLog:$I30:$INDEX_ALLOCATION
0,0xda0914308c20,\\$Mft::$BITMAP
0,0xda09143094c0,\\$LogFile
0,0xda09143097a0,\\$Secure:$SDS:$DATA
0,0xda0914309910,\\$Secure:$SII:$INDEX_ALLOCATION
0,0xda0914309a80,\\$BitMap
0,0xda0914309ed0,\\Windows\\System32\\DriverStore\\FileRepository\\compositebus.inf_amd64_e4d35af746093dc3\\CompositeBus.sys
0,0xda09145340a0,\\$Extend\\$Deleted:$I30:$INDEX_ALLOCATION
0,0xda0914534210,\\Windows\\System32\\DriverStore\\FileRepository\\basicdisplay.inf_amd64_5103ac179273be89\\BasicDisplay.sys
0,0xda0914534660,\\$Directory
0,0xda09145347d0,\\Windows\\System32\\DriverStore\\FileRepository\\basicrender.inf_amd64_0b8d03c3bc0e7fd9\\BasicRender.sys
0,0xda0914534ab0,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,0xda0914534d90,\\$Directory
0,0xda09145351e0,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
0,0xda09145354c0,\\$Extend\\$UsnJrnl:$J:$DATA
0,0xda0914535630,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xda09145357a0,\\$Extend\\$RmMetadata\\$Repair:$Verify:$DATA
0,0xda0914535bf0,\\$Extend\\$RmMetadata\\$Repair:$Corrupt:$DATA
0,0xda0914535ed0,\\$Extend\\$RmMetadata\\$Repair
0,0xda0914537510,\\Windows\\System32\\winsrv.dll
0,0xda09145e9210,\\Windows\\System32\\drivers\\msfs.sys
0,0xda09145e97d0,\\Windows\\System32\\drivers\\afd.sys
0,0xda09145e9ab0,\\Windows\\System32\\drivers\\tdx.sys
0,0xda09145e9c20,\\Windows\\System32\\drivers\\afunix.sys
0,0xda09145e9d90,\\Windows\\System32\\drivers\\vwififlt.sys
0,0xda09145ea350,\\Windows\\System32\\drivers\\npfs.sys
0,0xda09145ea4c0,\\Windows\\System32\\drivers\\tdi.sys
0,0xda09145ea910,\\Windows\\System32\\drivers\\netbt.sys
0,0xda09146050a0,\\$Directory
0,0xda0914605210,\\$Directory
0,0xda0914605530,�
0,0xda0914605660,\\$Extend\\$RmMetadata\\$Txf:$I30:$INDEX_ALLOCATION
0,0xda0914605940,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xda0914605ab0,\\Windows\\System32\\drivers\\crashdmp.sys
0,0xda0914606070,\\$Directory
0,0xda09146061e0,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xda0914606350,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops
0,0xda09146064c0,KtmLog
0,0xda0914606630,TxfLog
0,0xda09146067a0,\\$Directory
0,0xda0914606a80,\\$Extend\\$Reparse:$R:$INDEX_ALLOCATION
0,0xda0914606d60,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops:$T:$DATA
0,0xda0914606ed0,\\:$I30:$INDEX_ALLOCATION
0,0xda0914607210,\\Windows\\System32\\drivers\\atapi.sys
0,0xda0914607660,\\Windows\\System32\\drivers\\filecrypt.sys
0,0xda0914607ab0,\\Windows\\System32\\drivers\\Dumpata.sys
0,0xda0914607c20,\\$Directory
0,0xda0914607d90,\\Windows\\SysWOW64\\ntdll.dll
0,0xda0914608350,\\Windows\\System32\\drivers\\cdrom.sys
0,0xda09146084c0,\\Windows\\System32\\ntdll.dll
0,0xda0914608630,\\Windows\\System32\\drivers\\dumpfve.sys
0,0xda0914608bf0,\\Windows\\System32\\vertdll.dll
0,0xda0914620210,\\Windows\\System32\\drivers\\watchdog.sys
0,0xda0914620c20,\\Windows\\System32\\drivers\\beep.sys
0,0xda0914621070,\\Windows\\System32\\drivers\\null.sys
0,0xda09146211e0,\\Windows\\System32\\drivers\\tbs.sys
0,0xda09146217a0,\\$Directory
0,0xda0914621a80,\\Windows\\System32\\drivers\\dxgkrnl.sys
0,0xda0914621ed0,\\Windows\\System32\\drivers\\en-US\\ntfs.sys.mui
0,0xda09146fdd40,\\Windows\\System32\\imagehlp.dll
0,0xda091473d210,\\Windows\\System32\\drivers\\i8042prt.sys
0,0xda091473d940,\\Windows\\bootstat.dat
0,0xda091473e070,\\Windows\\System32\\drivers\\kdnic.sys
0,0xda091473e630,\\Windows\\System32\\drivers\\winhvr.sys
0,0xda091473e7a0,\\Windows\\System32\\drivers\\Vid.sys
0,0xda091473ea80,\\$Directory
0,0xda091473ebf0,\\Windows\\System32\\smss.exe
0,0xda091473ed60,\\Windows\\System32\\drivers\\CAD.sys
0,0xda091473eed0,\\Windows\\System32\\drivers\\umbus.sys
0,0xda09147490b0,\\Windows\\System32\\drivers\\CmBatt.sys
0,0xda0914749220,\\Windows\\System32\\drivers\\intelppm.sys
0,0xda0914749500,\\Windows\\System32\\drivers\\NdisVirtualBus.sys
0,0xda0914749670,\\Windows\\System32\\drivers\\kbdclass.sys
0,0xda09147497e0,\\Windows\\System32\\drivers\\E1G6032E.sys
0,0xda0914749950,\\Windows\\System32\\drivers\\battc.sys
0,0xda091474a360,\\Windows\\System32\\drivers\\mouclass.sys
0,0xda091474aee0,\\Windows\\System32\\drivers\\VBoxMouse.sys
0,0xda091474b780,\\Windows\\System32\\drivers\\VBoxWddm.sys
0,0xda091474c5e0,\\Windows\\System32\\DriverStore\\FileRepository\\swenum.inf_amd64_31f554b660026323\\swenum.sys
0,0xda091474ca30,\\Windows\\System32\\drivers\\ks.sys
0,0xda091474cd10,\\Windows\\System32\\drivers\\rdpbus.sys
0,0xda0914756570,\\Windows\\System32\\gdi32.dll
0,0xda0914756890,\\Windows\\System32\\difxapi.dll
0,0xda0914756a20,\\Windows\\System32\\config\\SOFTWARE.LOG1
0,0xda0914756ed0,\\Windows\\System32\\shlwapi.dll
0,0xda0914757510,\\Windows
0,0xda09147576a0,\\Windows\\System32\\config\\SOFTWARE.LOG2
0,0xda0914757830,\\Windows\\System32\\comdlg32.dll
0,0xda0914757b50,\\Windows\\System32\\user32.dll
0,0xda0914d7d0d0,\\Windows\\SysWOW64\\bcrypt.dll
0,0xda0914d7d260,\\Windows\\SysWOW64\\imagehlp.dll
0,0xda0914d7d3f0,\\Windows\\SysWOW64\\shell32.dll
0,0xda0914d7d580,\\ProtectedPrefix
0,0xda0914d7d8a0,\\ProtectedPrefix\\NetWorkService
0,0xda0914d7da30,\\Sessions
0,0xda0914d7dbc0,\\Windows\\System32\\config\\SYSTEM
0,0xda0914d7dd50,\\Windows\\SysWOW64\\cfgmgr32.dll
0,0xda0914d7dee0,\\Windows\\SysWOW64\\sechost.dll
