TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0xda0912ca3340,0x4,Process,0x1fffff,System Pid 4
0,4,System,0xda0912d3b040,0x8,Thread,0x1fffff,Tid 28 Pid 4
0,4,System,0xda0912c9db40,0xc,Mutant,0x1f0001,BcdSyncMutant
0,4,System,0xad814cc0c5f0,0x10,Directory,0xf000f,-
0,4,System,0xad814cc077e0,0x14,Directory,0xf000f,GLOBAL??
0,4,System,0xda0912c92b20,0x18,Partition,0x1f0003,MemoryPartition0
0,4,System,0xad814cc0c8b0,0x1c,Directory,0xf000f,KernelObjects
0,4,System,0xda0912c7c8a0,0x20,Event,0x1f0003,LowPagedPoolCondition
0,4,System,0xda0912c7c2a0,0x24,Event,0x1f0003,HighPagedPoolCondition
0,4,System,0xda0912c7c9a0,0x28,Event,0x1f0003,LowNonPagedPoolCondition
0,4,System,0xda0912c7cba0,0x2c,Event,0x1f0003,HighNonPagedPoolCondition
0,4,System,0xda0912c7ca20,0x30,Event,0x1f0003,LowMemoryCondition
0,4,System,0xda0912c7cc20,0x34,Event,0x1f0003,HighMemoryCondition
0,4,System,0xda0912c7c120,0x38,Event,0x1f0003,LowCommitCondition
0,4,System,0xda0912c7cda0,0x3c,Event,0x1f0003,HighCommitCondition
0,4,System,0xda0912c7c320,0x40,Event,0x1f0003,MaximumCommitCondition
0,4,System,0xda0912c7c520,0x44,Event,0x1f0003,MemoryErrors
0,4,System,0xda0912c7cea0,0x48,Event,0x1f0003,PhysicalMemoryChange
0,4,System,0xda0912da3300,0x4c,Thread,0x1fffff,Tid 52 Pid 4
0,4,System,0xda0912da6040,0x50,Process,0x1fffff,Registry Pid 68
0,4,System,0xad814cd79db0,0x54,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0xad814cc33de0,0x58,Key,0x0,-
0,4,System,0xda09168af380,0x5c,Process,0x102a,svchost.exe Pid 2316
0,4,System,0xad814d8c8170,0x60,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\NOTIFICATIONS
0,4,System,0xad814d8c7f70,0x64,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT\\PREFETCHPARAMETERS
0,4,System,0xad814d8c7170,0x68,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LEAPSECONDINFORMATION
0,4,System,0xad814d8c8370,0x6c,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0xad814d8c7970,0x70,Key,0x2001f,MACHINE\\SYSTEM\\SETUP
0,4,System,0xad814d8c7a70,0x74,Key,0x11,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER
0,4,System,0xda0912cbfd40,0x78,ALPC Port,0x1f0001,PowerMonitorPort
0,4,System,0xad814cc33e90,0x7c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0xda0912c83070,0x80,ALPC Port,0x1f0001,PowerPort
0,4,System,0xad814d8c8070,0x84,Key,0xf003f,MACHINE\\SYSTEM\\DRIVERDATABASE
0,4,System,0xad814cc33cd0,0x88,Key,0xf003f,MACHINE\\SYSTEM
0,4,System,0xad814cc33090,0x8c,Key,0xf003f,USER
0,4,System,0xda0912ca1b10,0x90,Event,0x1f0003,-
0,4,System,0xad814d8c8870,0x94,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\ENUM
0,4,System,0xad814d8c8670,0x98,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0xad814d958ae0,0x9c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0xad814d8c8e70,0xa0,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECONTAINERS
0,4,System,0xad814d8c7470,0xa4,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS
0,4,System,0xad814d8c7370,0xa8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICEPANELS
0,4,System,0xad814d958220,0xac,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES
0,4,System,0xad814d8c7770,0xb0,Key,0xf003f,MACHINE\\SYSTEM\\HARDWARECONFIG
0,4,System,0xad814d957dc0,0xb4,Key,0x11,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\PNP
0,4,System,0xad814d9570a0,0xb8,Key,0x20019,MACHINE\\SYSTEM\\SETUP
0,4,System,0xad814cc06040,0xbc,Token,0xf01ff,-
0,4,System,0xad814d957180,0xc0,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\HARDWARE PROFILES
0,4,System,0xda09161533a0,0xc4,File,0x13008b,\\Device\\HarddiskVolume1\\Windows\\System32\\LogFiles\\WMI\\RtBackup\\EtwRTEventlog-Security.etl
0,4,System,0xda09147576a0,0xc8,File,0x3,\\Device\\HarddiskVolume1\\Windows\\System32\\config\\SOFTWARE.LOG2
0,4,System,0xad814d8c7b70,0xcc,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\WMI\\SECURITY
