TreeDepth,PID,Process,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,File output,Notes,Hexdump,Disasm
0,3364,SearchUI.exe,0x139711d0000,0x13971233fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
48 b8 00 00 00 00 31 01 00 00 48 ff e0 cc cc cc H.....1...H.....
48 b8 00 08 00 00 31 01 00 00 48 ff e0 cc cc cc H.....1...H.....
48 b8 00 38 00 00 31 01 00 00 48 ff e0 cc cc cc H..8..1...H.....
48 b8 00 40 00 00 31 01 00 00 48 ff e0 cc cc cc H..@..1...H.....",48 b8 00 00 00 00 31 01 00 00 48 ff e0 cc cc cc 48 b8 00 08 00 00 31 01 00 00 48 ff e0 cc cc cc 48 b8 00 38 00 00 31 01 00 00 48 ff e0 cc cc cc 48 b8 00 40 00 00 31 01 00 00 48 ff e0 cc cc cc
0,3364,SearchUI.exe,0x13970570000,0x1397058ffff,VadS,PAGE_EXECUTE_READWRITE,6,1,Disabled,N/A,"
48 89 54 24 10 48 89 4c 24 08 4c 89 44 24 18 4c H.T$.H.L$.L.D$.L
89 4c 24 20 48 8b 41 28 48 8b 48 08 48 8b 51 50 .L$ H.A(H.H.H.QP
48 83 e2 f8 48 8b ca 48 b8 60 00 57 70 39 01 00 H...H..H.`.Wp9..
00 48 2b c8 48 81 f9 70 0f 00 00 76 09 48 c7 c1 .H+.H..p...v.H..",48 89 54 24 10 48 89 4c 24 08 4c 89 44 24 18 4c 89 4c 24 20 48 8b 41 28 48 8b 48 08 48 8b 51 50 48 83 e2 f8 48 8b ca 48 b8 60 00 57 70 39 01 00 00 48 2b c8 48 81 f9 70 0f 00 00 76 09 48 c7 c1
0,5624,smartscreen.ex,0x2c807dd0000,0x2c807e33fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
48 b8 00 10 16 09 d0 02 00 00 48 ff e0 cc cc cc H.........H.....
48 b8 00 08 16 09 d0 02 00 00 48 ff e0 cc cc cc H.........H.....
48 b8 00 20 16 09 d0 02 00 00 48 ff e0 cc cc cc H.. ......H.....
48 b8 00 0c 16 09 d0 02 00 00 48 ff e0 cc cc cc H.........H.....",48 b8 00 10 16 09 d0 02 00 00 48 ff e0 cc cc cc 48 b8 00 08 16 09 d0 02 00 00 48 ff e0 cc cc cc 48 b8 00 20 16 09 d0 02 00 00 48 ff e0 cc cc cc 48 b8 00 0c 16 09 d0 02 00 00 48 ff e0 cc cc cc
0,5624,smartscreen.ex,0x2d008760000,0x2d00877ffff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
48 89 54 24 10 48 89 4c 24 08 4c 89 44 24 18 4c H.T$.H.L$.L.D$.L
89 4c 24 20 48 8b 41 28 48 8b 48 08 48 8b 51 50 .L$ H.A(H.H.H.QP
48 83 e2 f8 48 8b ca 48 b8 60 00 76 08 d0 02 00 H...H..H.`.v....
00 48 2b c8 48 81 f9 70 0f 00 00 76 09 48 c7 c1 .H+.H..p...v.H..",48 89 54 24 10 48 89 4c 24 08 4c 89 44 24 18 4c 89 4c 24 20 48 8b 41 28 48 8b 48 08 48 8b 51 50 48 83 e2 f8 48 8b ca 48 b8 60 00 76 08 d0 02 00 00 48 2b c8 48 81 f9 70 0f 00 00 76 09 48 c7 c1
0,5624,smartscreen.ex,0x2d009140000,0x2d00915ffff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
48 89 54 24 10 48 89 4c 24 08 4c 89 44 24 18 4c H.T$.H.L$.L.D$.L
89 4c 24 20 48 8b 41 28 48 8b 48 08 48 8b 51 50 .L$ H.A(H.H.H.QP
48 83 e2 f8 48 8b ca 48 b8 60 00 14 09 d0 02 00 H...H..H.`......
00 48 2b c8 48 81 f9 70 0f 00 00 76 09 48 c7 c1 .H+.H..p...v.H..",48 89 54 24 10 48 89 4c 24 08 4c 89 44 24 18 4c 89 4c 24 20 48 8b 41 28 48 8b 48 08 48 8b 51 50 48 83 e2 f8 48 8b ca 48 b8 60 00 14 09 d0 02 00 00 48 2b c8 48 81 f9 70 0f 00 00 76 09 48 c7 c1
0,5624,smartscreen.ex,0x2d019160000,0x2d0191c3fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
e9 fb 0f 07 00 00 00 00 00 cc cc cc cc cc cc cc ................
e9 eb 07 07 00 00 00 00 00 cc cc cc cc cc cc cc ................
e9 db 0b 07 00 00 00 00 00 cc cc cc cc cc cc cc ................
e9 cb 1f 07 00 00 00 00 00 cc cc cc cc cc cc cc ................",e9 fb 0f 07 00 00 00 00 00 cc cc cc cc cc cc cc e9 eb 07 07 00 00 00 00 00 cc cc cc cc cc cc cc e9 db 0b 07 00 00 00 00 00 cc cc cc cc cc cc cc e9 cb 1f 07 00 00 00 00 00 cc cc cc cc cc cc cc
0,4624,CHXSmartScreen,0x1ff07eb0000,0x1ff07ecffff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
48 89 54 24 10 48 89 4c 24 08 4c 89 44 24 18 4c H.T$.H.L$.L.D$.L
89 4c 24 20 48 8b 41 28 48 8b 48 08 48 8b 51 50 .L$ H.A(H.H.H.QP
48 83 e2 f8 48 8b ca 48 b8 60 00 eb 07 ff 01 00 H...H..H.`......
00 48 2b c8 48 81 f9 70 0f 00 00 76 09 48 c7 c1 .H+.H..p...v.H..",48 89 54 24 10 48 89 4c 24 08 4c 89 44 24 18 4c 89 4c 24 20 48 8b 41 28 48 8b 48 08 48 8b 51 50 48 83 e2 f8 48 8b ca 48 b8 60 00 eb 07 ff 01 00 00 48 2b c8 48 81 f9 70 0f 00 00 76 09 48 c7 c1
0,4676,MsMpEng.exe,0x130488f0000,0x130489fcfff,VadS,PAGE_EXECUTE_READWRITE,269,1,Disabled,N/A,"
56 57 53 55 41 54 41 55 41 56 41 57 48 83 ec 28 VWSUATAUAVAWH..(
4c 8d 3c 24 48 8b e9 48 8d b1 98 38 00 00 ff e2 L.<$H..H...8....
49 8d 67 28 41 5f 41 5e 41 5d 41 5c 5d 5b 5f 5e I.g(A_A^A]A\\][_^
c3 00 00 40 00 80 00 00 00 48 89 e9 48 b8 d0 bb ...@.....H..H...",56 57 53 55 41 54 41 55 41 56 41 57 48 83 ec 28 4c 8d 3c 24 48 8b e9 48 8d b1 98 38 00 00 ff e2 49 8d 67 28 41 5f 41 5e 41 5d 41 5c 5d 5b 5f 5e c3 00 00 40 00 80 00 00 00 48 89 e9 48 b8 d0 bb
0,4676,MsMpEng.exe,0x13048ce0000,0x13048decfff,VadS,PAGE_EXECUTE_READWRITE,269,1,Disabled,N/A,"
56 57 53 55 41 54 41 55 41 56 41 57 48 83 ec 28 VWSUATAUAVAWH..(
4c 8d 3c 24 48 8b e9 48 8d b1 98 38 00 00 ff e2 L.<$H..H...8....
49 8d 67 28 41 5f 41 5e 41 5d 41 5c 5d 5b 5f 5e I.g(A_A^A]A\\][_^
c3 00 00 40 00 80 00 00 00 48 89 e9 48 b8 d0 bb ...@.....H..H...",56 57 53 55 41 54 41 55 41 56 41 57 48 83 ec 28 4c 8d 3c 24 48 8b e9 48 8d b1 98 38 00 00 ff e2 49 8d 67 28 41 5f 41 5e 41 5d 41 5c 5d 5b 5f 5e c3 00 00 40 00 80 00 00 00 48 89 e9 48 b8 d0 bb
0,4676,MsMpEng.exe,0x1304ad00000,0x1304ad00fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,Function prologue,"
55 48 8d 2c 24 48 83 ec 20 48 8b 01 48 8b 49 08 UH.,$H.. H..H.I.
ff d0 48 8d 65 00 5d c3 cc cc cc cc cc cc cc cc ..H.e.].........
cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc ................
cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc ................",55 48 8d 2c 24 48 83 ec 20 48 8b 01 48 8b 49 08 ff d0 48 8d 65 00 5d c3 cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc
