TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xda0914364050,UDPv6,::1,1900,*,0,,476,svchost.exe,2023-04-04 06:09:15.000000 UTC
0,0xda09143641a0,UDPv4,10.0.2.15,1900,*,0,,476,svchost.exe,2023-04-04 06:09:15.000000 UTC
0,0xda0914364590,UDPv6,::1,58955,*,0,,476,svchost.exe,2023-04-04 06:09:15.000000 UTC
0,0xda09143646e0,UDPv6,fe80::c50d:519f:96a4:e108,58954,*,0,,476,svchost.exe,2023-04-04 06:09:15.000000 UTC
0,0xda0914364980,UDPv4,10.0.2.15,58956,*,0,,476,svchost.exe,2023-04-04 06:09:15.000000 UTC
0,0xda0914364ad0,UDPv4,127.0.0.1,58957,*,0,,476,svchost.exe,2023-04-04 06:09:15.000000 UTC
0,0xda0914364c20,UDPv6,fe80::c50d:519f:96a4:e108,1900,*,0,,476,svchost.exe,2023-04-04 06:09:15.000000 UTC
0,0xda0914ee29a0,TCPv4,10.0.2.15,50751,93.184.221.240,80,ESTABLISHED,-,-,N/A
0,0xda0914f749a0,TCPv4,10.0.2.15,50253,93.184.221.240,80,ESTABLISHED,-,-,N/A
0,0xda0914f769a0,TCPv4,10.0.2.15,50773,92.122.92.83,443,ESTABLISHED,-,-,N/A
0,0xda09161039a0,TCPv4,10.0.2.15,49752,20.90.153.243,443,ESTABLISHED,-,-,N/A
0,0xda0916163520,TCPv4,10.0.2.15,50815,20.189.173.10,443,CLOSED,-,-,N/A
0,0xda09161f49a0,TCPv4,10.0.2.15,50796,13.107.238.64,443,ESTABLISHED,-,-,N/A
0,0xda091637f9a0,TCPv4,10.0.2.15,50797,20.91.200.215,443,ESTABLISHED,-,-,N/A
0,0xda09167ebec0,UDPv4,127.0.0.1,1900,*,0,,476,svchost.exe,2023-04-04 06:09:15.000000 UTC
0,0xda09168e0840,TCPv4,0.0.0.0,49670,0.0.0.0,0,LISTENING,508,services.exe,2023-04-04 06:07:30.000000 UTC
0,0xda09168e0840,TCPv6,::,49670,::,0,LISTENING,508,services.exe,2023-04-04 06:07:30.000000 UTC
0,0xda09168e1410,TCPv4,0.0.0.0,49682,0.0.0.0,0,LISTENING,524,lsass.exe,2023-04-04 06:07:34.000000 UTC
0,0xda09168e1410,TCPv6,::,49682,::,0,LISTENING,524,lsass.exe,2023-04-04 06:07:34.000000 UTC
0,0xda09168e1aa0,TCPv4,0.0.0.0,49670,0.0.0.0,0,LISTENING,508,services.exe,2023-04-04 06:07:30.000000 UTC
0,0xda09168e2130,TCPv4,0.0.0.0,7680,0.0.0.0,0,LISTENING,3752,svchost.exe,2023-04-04 06:08:22.000000 UTC
