TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0xda0912ca3340,101,-,N/A,False,2023-04-04 14:07:16.000000 UTC,N/A,-,-,-
1,1320,4,MemCompression,0xda0912ce5040,54,-,N/A,False,2023-04-04 06:07:25.000000 UTC,N/A,MemCompression,-,-
1,68,4,Registry,0xda0912da6040,4,-,N/A,False,2023-04-04 14:07:13.000000 UTC,N/A,Registry,-,-
1,300,4,smss.exe,0xda091471f040,2,-,N/A,False,2023-04-04 14:07:16.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
0,392,384,csrss.exe,0xda0916168540,9,-,0,False,2023-04-04 14:07:21.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,460,384,wininit.exe,0xda0916639080,2,-,0,False,2023-04-04 14:07:21.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,624,460,fontdrvhost.ex,0xda09166a3080,5,-,0,False,2023-04-04 14:07:22.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\fontdrvhost.exe,"""fontdrvhost.exe""",C:\\Windows\\system32\\fontdrvhost.exe
1,508,460,services.exe,0xda0916666140,8,-,0,False,2023-04-04 14:07:21.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,644,508,svchost.exe,0xda0916ac7300,23,-,0,False,2023-04-04 14:07:22.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p,C:\\Windows\\system32\\svchost.exe
3,1408,644,RuntimeBroker.,0xda09199c7540,9,-,1,False,2023-04-04 06:09:18.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
3,3204,644,dllhost.exe,0xda0919d6d440,8,-,1,False,2023-04-04 06:09:33.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\dllhost.exe,C:\\Windows\\system32\\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F},C:\\Windows\\system32\\DllHost.exe
3,4748,644,RuntimeBroker.,0xda0916228400,4,-,1,False,2023-04-04 06:08:56.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
4,7208,4748,MicrosoftEdgeS,0xda091a69b080,10,-,1,False,2023-04-04 06:15:47.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\MicrosoftEdgeSH.exe,C:\\Windows\\system32\\MicrosoftEdgeSH.exe SCODEF:3220 CREDAT:9730 APH:6380000000004 JITHOST /prefetch:2,C:\\Windows\\system32\\MicrosoftEdgeSH.exe
