TreeDepth,Offset,FileFullPath,File output
0,0xad814cc0e000,,Disabled
0,0xad814cc5b000,\\REGISTRY\\MACHINE\\SYSTEM,Disabled
0,0xad814cde9000,\\REGISTRY\\MACHINE\\HARDWARE,Disabled
0,0xad814de5c000,\\Device\\HarddiskVolume1\\Boot\\BCD,Disabled
0,0xad814de9b000,\\SystemRoot\\System32\\Config\\SOFTWARE,Disabled
0,0xad814dfa4000,\\SystemRoot\\System32\\Config\\SECURITY,Disabled
0,0xad814dfa6000,\\SystemRoot\\System32\\Config\\SAM,Disabled
0,0xad814dfa2000,\\SystemRoot\\System32\\Config\\DEFAULT,Disabled
0,0xad81503b1000,\\??\\C:\\Windows\\ServiceProfiles\\NetworkService\\NTUSER.DAT,Disabled
0,0xad8150703000,\\SystemRoot\\System32\\Config\\BBI,Disabled
0,0xad8150707000,\\??\\C:\\Windows\\ServiceProfiles\\LocalService\\NTUSER.DAT,Disabled
0,0xad81513e3000,\\??\\C:\\Windows\\AppCompat\\Programs\\Amcache.hve,Disabled
0,0xad81532aa000,\\??\\C:\\Windows\\ServiceProfiles\\NetworkService\\AppData\\Local\\Microsoft\\Windows\\DeliveryOptimization\\State\\dosvcState.dat,Disabled
0,0xad81536f0000,\\??\\C:\\Users\\IEUser\\ntuser.dat,Disabled
0,0xad8153299000,\\??\\C:\\Users\\IEUser\\AppData\\Local\\Microsoft\\Windows\\UsrClass.dat,Disabled
0,0xad8153865000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.ShellExperienceHost_10.0.17763.1_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xad81538da000,\\??\\C:\\Users\\IEUser\\AppData\\Local\\Packages\\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0xad8154ab3000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.Cortana_1.11.5.17763_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xad8154ad1000,\\??\\C:\\Users\\IEUser\\AppData\\Local\\Packages\\Microsoft.Windows.Cortana_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0xad81552cd000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.ContentDeliveryManager_10.0.17763.1_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xad8152d25000,\\??\\C:\\Users\\IEUser\\AppData\\Local\\Packages\\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0xad8154769000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.MicrosoftEdge_44.17763.1.0_neutral__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0xad81547ca000,\\??\\C:\\Users\\IEUser\\AppData\\Local\\Packages\\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\\Settings\\settings.dat,Disabled
0,0xad814dc6c000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.Apprep.ChxApp_1000.17763.1.0_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xad8150ae8000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\InputApp_1000.17763.1.0_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xad814dc55000,\\??\\C:\\Users\\IEUser\\AppData\\Local\\Packages\\InputApp_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0xad814dc8e000,\\SystemRoot\\System32\\config\\DRIVERS,Disabled

