TreeDepth,Index,Address,Module,Symbol
0,0,0xf8007d07f600,ntoskrnl,NtAccessCheck
0,1,0xf8007d089cd0,ntoskrnl,NtWorkerFactoryWorkerReady
0,2,0xf8007d664340,ntoskrnl,NtAcceptConnectPort
0,3,0xf8007d860ca0,ntoskrnl,NtMapUserPhysicalPagesScatter
0,4,0xf8007d6adc10,ntoskrnl,NtWaitForSingleObject
0,5,0xf8007d1c5e10,ntoskrnl,NtCallbackReturn
0,6,0xf8007d680de0,ntoskrnl,NtReadFile
0,7,0xf8007d63a280,ntoskrnl,NtDeviceIoControlFile
0,8,0xf8007d680050,ntoskrnl,NtWriteFile
0,9,0xf8007d639d20,ntoskrnl,NtRemoveIoCompletion
0,10,0xf8007d68bc50,ntoskrnl,NtReleaseSemaphore
0,11,0xf8007d5b6970,ntoskrnl,NtReplyWaitReceivePort
0,12,0xf8007d5b5980,ntoskrnl,NtReplyPort
0,13,0xf8007d6b4480,ntoskrnl,NtSetInformationThread
0,14,0xf8007d68b0d0,ntoskrnl,NtSetEvent
0,15,0xf8007d6acdd0,ntoskrnl,NtClose
0,16,0xf8007d60e4f0,ntoskrnl,NtQueryObject
0,17,0xf8007d6816b0,ntoskrnl,NtQueryInformationFile
0,18,0xf8007d6a5380,ntoskrnl,NtOpenKey
0,19,0xf8007d603d70,ntoskrnl,NtEnumerateValueKey
0,20,0xf8007d690310,ntoskrnl,NtFindAtom
0,21,0xf8007d6509d0,ntoskrnl,NtQueryDefaultLocale
0,22,0xf8007d685b20,ntoskrnl,NtQueryKey
0,23,0xf8007d686180,ntoskrnl,NtQueryValueKey
0,24,0xf8007d6a0be0,ntoskrnl,NtAllocateVirtualMemory
0,25,0xf8007d5eae40,ntoskrnl,NtQueryInformationProcess
0,26,0xf8007d5cff60,ntoskrnl,NtWaitForMultipleObjects32
0,27,0xf8007d66c8a0,ntoskrnl,NtWriteFileGather
0,28,0xf8007d5eda30,ntoskrnl,NtSetInformationProcess
0,29,0xf8007d5a0ca0,ntoskrnl,NtCreateKey
0,30,0xf8007d62b5c0,ntoskrnl,NtFreeVirtualMemory
0,31,0xf8007d859140,ntoskrnl,NtImpersonateClientOfPort
0,32,0xf8007d63b740,ntoskrnl,NtReleaseMutant
0,33,0xf8007d6b0a30,ntoskrnl,NtQueryInformationToken
0,34,0xf8007d647fc0,ntoskrnl,NtRequestWaitReplyPort
0,35,0xf8007d6a2790,ntoskrnl,NtQueryVirtualMemory
0,36,0xf8007d6910d0,ntoskrnl,NtOpenThreadToken
0,37,0xf8007d68b2e0,ntoskrnl,NtQueryInformationThread
0,38,0xf8007d642150,ntoskrnl,NtOpenProcess
0,39,0xf8007d13a650,ntoskrnl,NtSetInformationFile
0,40,0xf8007d68d330,ntoskrnl,NtMapViewOfSection
0,41,0xf8007d631530,ntoskrnl,NtAccessCheckAndAuditAlarm
0,42,0xf8007d5b9cf0,ntoskrnl,NtUnmapViewOfSection
0,43,0xf8007d5b6990,ntoskrnl,NtReplyWaitReceivePortEx
0,44,0xf8007d5f3230,ntoskrnl,NtTerminateProcess
0,45,0xf8007d8defa0,ntoskrnl,NtSetEventBoostPriority
0,46,0xf8007d66d3d0,ntoskrnl,NtReadFileScatter
0,47,0xf8007d6910f0,ntoskrnl,NtOpenThreadTokenEx
0,48,0xf8007d691830,ntoskrnl,NtOpenProcessTokenEx
0,49,0xf8007d63a1c0,ntoskrnl,NtQueryPerformanceCounter
0,50,0xf8007d602910,ntoskrnl,NtEnumerateKey
0,51,0xf8007d5fd470,ntoskrnl,NtOpenFile
0,52,0xf8007d6a7330,ntoskrnl,NtDelayExecution
0,53,0xf8007d655760,ntoskrnl,NtQueryDirectoryFile
0,54,0xf8007d6ade50,ntoskrnl,NtQuerySystemInformation
0,55,0xf8007d640f00,ntoskrnl,NtOpenSection
0,56,0xf8007d8dee40,ntoskrnl,NtQueryTimer
0,57,0xf8007d6440b0,ntoskrnl,NtFsControlFile
0,58,0xf8007d5f0cc0,ntoskrnl,NtWriteVirtualMemory
0,59,0xf8007d64f630,ntoskrnl,NtCloseObjectAuditAlarm
0,60,0xf8007d601020,ntoskrnl,NtDuplicateObject
0,61,0xf8007d5fe000,ntoskrnl,NtQueryAttributesFile
0,62,0xf8007d63b810,ntoskrnl,NtClearEvent
0,63,0xf8007d5f0cf0,ntoskrnl,NtReadVirtualMemory
0,64,0xf8007d5d8950,ntoskrnl,NtOpenEvent
0,65,0xf8007d5f9a90,ntoskrnl,NtAdjustPrivilegesToken
0,66,0xf8007d691e30,ntoskrnl,NtDuplicateToken
0,67,0xf8007d1c2d10,ntoskrnl,NtContinue
0,68,0xf8007d70f3d0,ntoskrnl,NtQueryDefaultUILanguage
0,69,0xf8007d5f1600,ntoskrnl,NtQueueApcThread
0,70,0xf8007d01dde0,ntoskrnl,NtYieldExecution
0,71,0xf8007d8e6540,ntoskrnl,NtAddAtom
0,72,0xf8007d694070,ntoskrnl,NtCreateEvent
0,73,0xf8007d60f7c0,ntoskrnl,NtQueryVolumeInformationFile
0,74,0xf8007d68c280,ntoskrnl,NtCreateSection
0,75,0xf8007d6491d0,ntoskrnl,NtFlushBuffersFile
0,76,0xf8007d63ab00,ntoskrnl,NtApphelpCacheControl
0,77,0xf8007d895e50,ntoskrnl,NtCreateProcessEx
0,78,0xf8007d895ee0,ntoskrnl,NtCreateThread
0,79,0xf8007d5dcbf0,ntoskrnl,NtIsProcessInJob
0,80,0xf8007d6a1af0,ntoskrnl,NtProtectVirtualMemory
0,81,0xf8007d656970,ntoskrnl,NtQuerySection
