TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,380,csrss.exe,0x7ff74ed20000,0x7000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd689e0000,0x1ed000,-,-,-1,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd649c0000,0x18000,CSRSRV.dll,C:\\Windows\\SYSTEM32\\CSRSRV.dll,6,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd649a0000,0x14000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,6,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd64980000,0x16000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,6,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd64ab0000,0x293000,kernelbase.dll,C:\\Windows\\System32\\kernelbase.dll,-1,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd67540000,0xb3000,kernel32.dll,C:\\Windows\\System32\\kernel32.dll,-1,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd64960000,0x1f000,winsrvext.dll,C:\\Windows\\SYSTEM32\\winsrvext.dll,6,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd680a0000,0x197000,USER32.dll,C:\\Windows\\System32\\USER32.dll,6,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd65810000,0x20000,win32u.dll,C:\\Windows\\System32\\win32u.dll,6,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd67ba0000,0x29000,GDI32.dll,C:\\Windows\\System32\\GDI32.dll,6,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd64d50000,0x19a000,gdi32full.dll,C:\\Windows\\System32\\gdi32full.dll,6,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd65640000,0xa0000,msvcp_win.dll,C:\\Windows\\System32\\msvcp_win.dll,6,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd65a40000,0xfa000,ucrtbase.dll,C:\\Windows\\System32\\ucrtbase.dll,6,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd65cb0000,0x32d000,combase.dll,C:\\Windows\\System32\\combase.dll,6,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd68310000,0x122000,RPCRT4.dll,C:\\Windows\\System32\\RPCRT4.dll,6,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd65b90000,0x7e000,bcryptPrimitives.dll,C:\\Windows\\System32\\bcryptPrimitives.dll,-1,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd65b40000,0x4a000,cfgmgr32.dll,C:\\Windows\\System32\\cfgmgr32.dll,6,2023-04-01 17:11:48.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd64950000,0xd000,sxssrv.DLL,C:\\Windows\\system32\\sxssrv.DLL,6,2023-04-01 17:11:49.000000 UTC,Disabled
0,380,csrss.exe,0x7ffd64840000,0x9b000,sxs.dll,C:\\Windows\\system32\\sxs.dll,6,2023-04-01 17:11:49.000000 UTC,Disabled
0,448,wininit.exe,0x7ff6c7db0000,0x60000,wininit.exe,C:\\Windows\\system32\\wininit.exe,-1,2023-04-01 17:11:49.000000 UTC,Disabled
0,448,wininit.exe,0x7ffd689e0000,0x1ed000,-,-,-1,2023-04-01 17:11:49.000000 UTC,Disabled
