TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0xa50731e4d060,0xf800820d0000,0x70000,FltMgr,FltMgr,\\FileSystem\\FltMgr
0,0xa50731e789f0,0xf80084c80000,0x1b000,storqosflt,storqosflt,\\FileSystem\\storqosflt
0,0xa50731e7cad0,0xf800852c0000,0x10000,pmem,pmem,\\Driver\\pmem
0,0xa50731e7ed70,0xf80082800000,0xc8000,ACPI,ACPI,\\Driver\\ACPI
0,0xa50731e82df0,0xf80082970000,0xb000,WindowsTrustedRTProxy,WindowsTrustedRTProxy,\\Driver\\WindowsTrustedRTProxy
0,0xa50731e83ce0,0xf80082c30000,0x1f000,mountmgr,mountmgr,\\Driver\\mountmgr
0,0xa50731ea5d30,0xf800829a0000,0xb000,msisadrv,msisadrv,\\Driver\\msisadrv
0,0xa50731ec0ad0,0xf80085580000,0x2d000,wcifs,wcifs,\\FileSystem\\wcifs
0,0xa50731ec6cf0,0xf8016669a000,0x0,\\Driver\\WMIxWDM,WMIxWDM,\\Driver\\WMIxWDM
0,0xa50731ec7cf0,0xf80166602000,0x0,\\Driver\\ACPI_HAL,ACPI_HAL,\\Driver\\ACPI_HAL
0,0xa50731ed0cf0,0xf80082dd0000,0xd1000,Wdf01000,Wdf01000,\\Driver\\Wdf01000
0,0xa50731ed4cf0,0xf80082f00000,0x24000,acpiex,acpiex,\\Driver\\acpiex
0,0xa50731edcd30,0xf800829b0000,0x6b000,pci,pci,\\Driver\\pci
0,0xa50731ee09f0,0xf80085550000,0x28000,luafv,luafv,\\FileSystem\\luafv
0,0xa50731ee2cf0,0xf80082f30000,0x51000,MsSecFlt,MsSecFlt,\\Driver\\MsSecFlt
0,0xa50731ee6cf0,0xf80082f90000,0x1a000,SgrmAgent,SgrmAgent,\\Driver\\SgrmAgent
0,0xa50731ee9cf0,0xf80082bc0000,0x63000,volmgrx,volmgrx,\\Driver\\volmgrx
0,0xa50731ef6cf0,0xf80082900000,0x43000,intelpep,intelpep,\\Driver\\intelpep
0,0xa50731efacf0,0xf80082950000,0x16000,WindowsTrustedRT,WindowsTrustedRT,\\Driver\\WindowsTrustedRT
0,0xa50731efccf0,0xf80082c50000,0xd000,atapi,atapi,\\Driver\\atapi
0,0xa50731f1acf0,0xf80082a20000,0x12000,vdrvroot,vdrvroot,\\Driver\\vdrvroot
0,0xa50731f21cf0,0xf80082a90000,0x2f000,partmgr,partmgr,\\Driver\\partmgr
0,0xa50731f98d70,0xf8016669a000,0x0,\\Driver\\PnpManager,PnpManager,\\Driver\\PnpManager
0,0xa50731f9ad70,0xf8016669a000,0x0,\\Driver\\SoftwareDevice,SoftwareDevice,\\Driver\\SoftwareDevice
0,0xa50731f9bd70,0xf8016669a000,0x0,\\Driver\\DeviceApi,DeviceApi,\\Driver\\DeviceApi
0,0xa507321a4e00,0xf80082360000,0xb7000,CNG,CNG,\\Driver\\CNG
0,0xa507321abdd0,0x0,0x0,-,RAW,\\FileSystem\\RAW
0,0xa5073248c530,0xf80082760000,0x2b000,KSecDD,KSecDD,\\Driver\\KSecDD
0,0xa5073248cc20,0xf800834e0000,0x4b000,VBoxGuest,VBoxGuest,\\Driver\\VBoxGuest
0,0xa5073248ce30,0xf80083530000,0xd000,Fs_Rec,Fs_Rec,\\FileSystem\\Fs_Rec
0,0xa5073248eb20,0xf80083790000,0xb000,volume,volume,\\Driver\\volume
0,0xa5073248f8f0,0xf80082ce0000,0x3e000,Wof,Wof,\\FileSystem\\Wof
0,0xa50732490de0,0xf80082ac0000,0xb000,intelide,intelide,\\Driver\\intelide
0,0xa50732498db0,0xf80082980000,0x14000,pcw,pcw,\\Driver\\pcw
0,0xa5073249be00,0xf80082a40000,0x2e000,pdc,pdc,\\Driver\\pdc
0,0xa507324ab9f0,0xf80083200000,0x32000,KSecPkg,KSecPkg,\\Driver\\KSecPkg
0,0xa507324abc00,0xf800844d0000,0x2db000,Tcpip,Tcpip,\\Driver\\Tcpip
0,0xa507324aecc0,0xf80082ca0000,0x1c000,EhStorClass,EhStorClass,\\Driver\\EhStorClass
0,0xa507324b6d80,0xf80082000000,0x6a000,CLFS,CLFS,\\Driver\\CLFS
0,0xa507324c1c90,0xf80082cc0000,0x1a000,FileInfo,FileInfo,\\FileSystem\\FileInfo
0,0xa507324c6df0,0xf80082ba0000,0x19000,volmgr,volmgr,\\Driver\\volmgr
0,0xa507324cdba0,0xf80082d20000,0x7e000,WdFilter,WdFilter,\\FileSystem\\WdFilter
0,0xa507324dbe00,0xf80082af0000,0xa3000,spaceport,spaceport,\\Driver\\spaceport
0,0xa5073251bb40,0xf80083250000,0x28d000,Ntfs,Ntfs,\\FileSystem\\Ntfs
0,0xa50732565c00,0xf80083000000,0x153000,NDIS,NDIS,\\Driver\\NDIS
0,0xa507325acb90,0xf80083680000,0x30000,WFPLWFS,WFPLWFS,\\Driver\\WFPLWFS
0,0xa507325b2cb0,0xf800836c0000,0xc8000,fvevol,fvevol,\\Driver\\fvevol
0,0xa507325bb930,0xf800837a0000,0x6d000,volsnap,volsnap,\\Driver\\volsnap
0,0xa507325bbb40,0xf80083810000,0x4f000,rdyboost,rdyboost,\\Driver\\rdyboost
0,0xa507325e18f0,0xf800838c0000,0x1c000,Disk,Disk,\\Driver\\Disk
0,0xa507325eacf0,0xf80083860000,0x25000,Mup,Mup,\\FileSystem\\Mup
0,0xa507325ede30,0xf80083890000,0x11000,iorate,iorate,\\Driver\\iorate
0,0xa50732672d70,0xf80083df0000,0x16000,BasicDisplay,BasicDisplay,\\Driver\\BasicDisplay
0,0xa50732676dd0,0xf80084210000,0x10000,mssmbios,mssmbios,\\Driver\\mssmbios
0,0xa507327718f0,0xf80083a90000,0x33e000,DXGKrnl,DXGKrnl,\\Driver\\DXGKrnl
0,0xa50732bcdde0,0xf80084ca0000,0x18000,lltdio,lltdio,\\Driver\\lltdio
0,0xa50732c483e0,0xf80084240000,0x2c000,Dfsc,Dfsc,\\FileSystem\\Dfsc
0,0xa50732c49790,0xf80083540000,0x6e000,VBoxWddm,VBoxWddm,\\Driver\\VBoxWddm
0,0xa50732c4a600,0xf80084290000,0x14000,bam,bam,\\Driver\\bam
0,0xa50732c4c6a0,0xf800842b0000,0x4e000,ahcache,ahcache,\\Driver\\ahcache
0,0xa50732c4d060,0xf8016669a000,0x0,\\Driver\\WscVReg,WscVReg,\\Driver\\WscVReg
0,0xa50732c50d90,0xf800847b0000,0x24080,E1G60,E1G60,\\Driver\\E1G60
0,0xa50732c54060,0xf800847e0000,0xf000,CmBatt,CmBatt,\\Driver\\CmBatt
0,0xa50732c54dd0,0xf800835b0000,0x3e000,intelppm,intelppm,\\Driver\\intelppm
0,0xa50732c579f0,0xf800843d0000,0xd000,kdnic,kdnic,\\Driver\\kdnic
0,0xa50732c57e10,0xf800843e0000,0x15000,umbus,umbus,\\Driver\\umbus
0,0xa50732d92dc0,0xf800838b0000,0xc000,swenum,swenum,\\Driver\\swenum
0,0xa50732d96b20,0xf800835f0000,0xe000,rdpbus,rdpbus,\\Driver\\rdpbus
0,0xa50732d9b2e0,0x87baa3fa0000,0x0,\\Driver\\Win32k,Win32k,\\Driver\\Win32k
0,0xa50732e38e30,0xf80082fb0000,0x16000,monitor,monitor,\\Driver\\monitor
0,0xa5073539b9f0,0xf80085110000,0xd6000,PEAUTH,PEAUTH,\\Driver\\PEAUTH
0,0xa5073539ee00,0xf800851f0000,0x14000,tcpipreg,tcpipreg,\\Driver\\tcpipreg
0,0xa507354bf9f0,0xf80084d00000,0x2b000,WinQuic,WinQuic,\\Driver\\WinQuic
0,0xa507354bfe10,0xf80084d30000,0x139000,HTTP,HTTP,\\Driver\\HTTP
0,0xa50735876da0,0xf800850c0000,0x14000,MMCSS,MMCSS,\\Driver\\MMCSS
0,0xa50735c42700,0xf80084ce0000,0x1b000,rspndr,rspndr,\\Driver\\rspndr
0,0xa50735e5fe30,0xf80085250000,0x18000,Ndisuio,Ndisuio,\\Driver\\Ndisuio
0,0xa50735f30e20,0xf80084c00000,0x76000,CldFlt,CldFlt,\\FileSystem\\CldFlt
0,0xa50736112e30,0xf800850e0000,0x27000,Ndu,Ndu,\\Driver\\Ndu
0,0xa507362df6f0,0xf80084f80000,0x1a000,mpsdrv,mpsdrv,\\Driver\\mpsdrv
0,0xa50736781430,0xf80084300000,0x84000,Vid,Vid,\\Driver\\Vid
0,0xa50736781880,0xf80083ff0000,0x1a000,vwififlt,vwififlt,\\Driver\\vwififlt
0,0xa50736783770,0xf80084010000,0x2b000,Psched,Psched,\\Driver\\Psched
0,0xa50736787650,0xf80084040000,0x14000,NetBIOS,NetBIOS,\\FileSystem\\NetBIOS
0,0xa5073678d060,0xf800843b0000,0x11000,CompositeBus,CompositeBus,\\Driver\\CompositeBus
0,0xa5073678e840,0xf80084230000,0xa000,GpuEnergyDrv,GpuEnergyDrv,\\Driver\\GpuEnergyDrv
0,0xa50736804e30,0xf80084fa0000,0x4e000,srvnet,srvnet,\\FileSystem\\srvnet
0,0xa50736807e20,0xf80084ff0000,0xc4000,srv2,srv2,\\FileSystem\\srv2
0,0xa50736f7fc50,0xf80084400000,0x15000,CAD,CAD,\\Driver\\CAD
0,0xa50736f81d20,0xf80084420000,0x21000,i8042prt,i8042prt,\\Driver\\i8042prt
0,0xa50736f826e0,0xf80084450000,0x13000,kbdclass,kbdclass,\\Driver\\kbdclass
0,0xa50736f89d80,0xf800847f0000,0xd000,NdisVirtualBus,NdisVirtualBus,\\Driver\\NdisVirtualBus
0,0xa50737703c30,0xf80084f30000,0x46000,mrxsmb20,mrxsmb20,\\FileSystem\\mrxsmb20
0,0xa5073783cd30,0xf80085210000,0x13000,condrv,condrv,\\Driver\\condrv
0,0xa50738408e30,0xf80085230000,0x1c000,WdNisDrv,WdNisDrv,\\Driver\\WdNisDrv
0,0xa507389e6da0,0xf80084cc0000,0x1a000,MsLldp,MsLldp,\\Driver\\MsLldp
0,0xa50738aeebb0,0xf800844b0000,0x13000,mouclass,mouclass,\\Driver\\mouclass
0,0xa50738af07b0,0xf80084060000,0x5f000,VBoxSF,VBoxSF,\\FileSystem\\VBoxSF
0,0xa50738af09e0,0xf80083e10000,0x11000,BasicRender,BasicRender,\\Driver\\BasicRender
0,0xa50738af2640,0xf800840c0000,0x7a000,rdbss,rdbss,\\FileSystem\\rdbss
0,0xa50738af28a0,0xf80083e30000,0x1c000,Npfs,Npfs,\\FileSystem\\Npfs
0,0xa50738af6060,0xf800841e0000,0x12000,nsiproxy,nsiproxy,\\Driver\\nsiproxy
0,0xa50738af62c0,0xf80083e50000,0x11000,Msfs,Msfs,\\FileSystem\\Msfs
0,0xa50739409dd0,0xf80084e70000,0x25000,bowser,bowser,\\FileSystem\\bowser
0,0xa5073940ad80,0xf80084ea0000,0x89000,mrxsmb,mrxsmb,\\FileSystem\\mrxsmb
0,0xa5073d4e5e40,0xf800852a0000,0x11000,MpKsla1a6ab12,MpKsla1a6ab12,\\Driver\\MpKsla1a6ab12
0,0xa507442efc40,0xf80083a10000,0x2e000,cdrom,cdrom,\\Driver\\cdrom
0,0xa507442f0710,0xf80083a40000,0x15000,FileCrypt,FileCrypt,\\FileSystem\\FileCrypt
0,0xa507442f2820,0xf80083e70000,0x27000,tdx,tdx,\\Driver\\tdx
0,0xa507442f2a40,0xf80083a70000,0xa000,Null,Null,\\Driver\\Null
0,0xa507442f35c0,0xf80084140000,0x94000,CSC,CSC,\\Driver\\CSC
0,0xa507442f3820,0xf80083a80000,0xa000,Beep,Beep,\\Driver\\Beep
0,0xa507442f5060,0xf80084200000,0xd000,npsvctrig,npsvctrig,\\Driver\\npsvctrig
0,0xa507442f52e0,0xf80083ec0000,0x51000,NetBT,NetBT,\\Driver\\NetBT
0,0xa507442fb9f0,0xf80084470000,0x3c000,VBoxMouse,VBoxMouse,\\Driver\\VBoxMouse
0,0xa507442fcca0,0xf80083f20000,0x13000,afunix,afunix,\\Driver\\afunix
0,0xa507442fdb50,0xf80083f40000,0xa6000,AFD,AFD,\\Driver\\AFD

