TreeDepth,Offset,Name
0,0xa50731e59890,\\CMNotify
0,0xa50731e98ab0,\\Windows\\System32\\drivers\\mslldp.sys
0,0xa507324f7210,\\$LogFile
0,0xa507324f7660,\\$Mft::$BITMAP
0,0xa507324f7ab0,\\$MftMirr
0,0xa507324f7c20,\\$Mft
0,0xa507324f7d90,\\$Secure:$SDS:$DATA
0,0xa507324f8350,\\$Secure:$SII:$INDEX_ALLOCATION
0,0xa507324f84c0,\\:$I30:$INDEX_ALLOCATION
0,0xa507324f8630,\\Windows\\System32\\DriverStore\\FileRepository\\basicdisplay.inf_amd64_5103ac179273be89\\BasicDisplay.sys
0,0xa507324f87a0,\\$BitMap
0,0xa507324f8a80,\\$Directory
0,0xa507324f8bf0,\\$Extend\\$RmMetadata\\$Repair
0,0xa507324f8d60,\\$Extend:$I30:$INDEX_ALLOCATION
0,0xa50732678b40,\\Users\\IEUser\\AppData\\Local\\Packages\\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\\AppData\\User\\Default\\Indexed DB\\edb.log
0,0xa50732679310,\\Users\\IEUser\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\GCM Store\\LOG
0,0xa5073267a5d0,\\Users\\IEUser\\AppData\\Local\\Packages\\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\\AppData\\User\\Default\\Indexed DB\\IndexedDB.jfm
0,0xa5073267b570,\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\clr.dll
0,0xa5073267ba20,\\Users\\IEUser\\AppData\\Local\\Packages\\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\\AppData\\User\\Default\\CacheStorage\\CacheStorage.edb
0,0xa5073267bbb0,\\$Directory
0,0xa5073267bed0,\\$Directory
0,0xa5073267e450,\\Users\\IEUser\\AppData\\Local\\Packages\\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\\AppData\\User\\Default\\Indexed DB\\IndexedDB.edb
0,0xa5073267e900,\\Windows\\System32\\UserDataTimeUtil.dll
0,0xa5073267f8a0,\\Users\\IEUser\\AppData\\Local\\Microsoft\\Internet Explorer\\CacheStorage\\edb.loglog
0,0xa5073267fd50,\\Windows\\SysWOW64\\vcruntime140_clr0400.dll
0,0xa5073267fee0,\\Users\\IEUser\\AppData\\Local\\Microsoft\\Internet Explorer\\CacheStorage\\edb.log
0,0xa507326811a0,\\Windows\\SysWOW64\\ucrtbase_clr0400.dll
0,0xa50732681330,\\Users\\IEUser\\AppData\\Local\\Packages\\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\\AppData\\User\\Default\\CacheStorage\\CacheStorage.jfm
0,0xa50732682dc0,\\Windows\\System32\\wbem\\NCProv.dll
0,0xa507326830e0,\\Users\\IEUser\\AppData\\Local\\Packages\\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\\AppData\\User\\Default\\CacheStorage\\CacheStorage.edb
0,0xa50732683270,\\PIPE_EVENTROOT\\CIMV2SCM EVENT PROVIDER
0,0xa507326843a0,\\Windows\\System32\\CompPkgSup.dll
