TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0xa50731e6b040,0x4,Process,0x1fffff,System Pid 4
0,4,System,0xa50731f27040,0x8,Thread,0x1fffff,Tid 28 Pid 4
0,4,System,0xa50731e9a8c0,0xc,Mutant,0x1f0001,BcdSyncMutant
0,4,System,0xdd0258e32170,0x10,Directory,0xf000f,-
0,4,System,0xdd0258e066b0,0x14,Directory,0xf000f,GLOBAL??
0,4,System,0xa50731e916c0,0x18,Partition,0x1f0003,MemoryPartition0
0,4,System,0xdd0258e32430,0x1c,Directory,0xf000f,KernelObjects
0,4,System,0xa50731e6efa0,0x20,Event,0x1f0003,LowPagedPoolCondition
0,4,System,0xa50731e6e0a0,0x24,Event,0x1f0003,HighPagedPoolCondition
0,4,System,0xa50731e6ed20,0x28,Event,0x1f0003,LowNonPagedPoolCondition
0,4,System,0xa50731e6e5a0,0x2c,Event,0x1f0003,HighNonPagedPoolCondition
0,4,System,0xa50731e6e820,0x30,Event,0x1f0003,LowMemoryCondition
0,4,System,0xa50731e6eba0,0x34,Event,0x1f0003,HighMemoryCondition
0,4,System,0xa50731e6e2a0,0x38,Event,0x1f0003,LowCommitCondition
0,4,System,0xa50731e6e8a0,0x3c,Event,0x1f0003,HighCommitCondition
0,4,System,0xa50731e6eda0,0x40,Event,0x1f0003,MaximumCommitCondition
0,4,System,0xa50731e6e620,0x44,Event,0x1f0003,MemoryErrors
0,4,System,0xa50731e6eca0,0x48,Event,0x1f0003,PhysicalMemoryChange
0,4,System,0xa50731f31300,0x4c,Thread,0x1fffff,Tid 52 Pid 4
0,4,System,0xa50731f94040,0x50,Process,0x1fffff,Registry Pid 68
0,4,System,0xdd0258e7f5b0,0x54,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0xdd0258e487c0,0x58,Key,0x0,-
0,4,System,0xa50732945540,0x5c,Process,0x102a,WindowsInterna Pid 2700
