TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xa50731e99980,UDPv4,0.0.0.0,5353,*,0,,756,svchost.exe,2023-04-01 17:11:50.000000 UTC
0,0xa50731e99980,UDPv6,::,5353,*,0,,756,svchost.exe,2023-04-01 17:11:50.000000 UTC
0,0xa50731fcdbe0,TCPv4,10.0.2.15,49912,204.79.197.203,443,CLOSED,-,-,N/A
0,0xa50732873b20,TCPv4,10.0.2.15,54068,13.107.237.64,443,ESTABLISHED,-,-,N/A
0,0xa50732948b40,TCPv4,10.0.2.15,54064,23.208.241.19,80,ESTABLISHED,-,-,N/A
0,0xa5073294cbe0,TCPv4,10.0.2.15,54046,142.250.179.238,443,ESTABLISHED,-,-,N/A
0,0xa5073298ebe0,TCPv4,10.0.2.15,54071,172.217.169.3,443,ESTABLISHED,-,-,N/A
0,0xa50732a35be0,TCPv4,10.0.2.15,54044,172.217.169.10,443,ESTABLISHED,-,-,N/A
0,0xa50732a92770,TCPv4,10.0.2.15,54001,216.58.213.3,443,ESTABLISHED,-,-,N/A
0,0xa50732ac9050,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,764,svchost.exe,2023-04-01 17:11:49.000000 UTC
0,0xa50732ac9ad0,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,448,wininit.exe,2023-04-01 17:11:49.000000 UTC
0,0xa50732aca400,UDPv4,0.0.0.0,0,*,0,,804,svchost.exe,2023-04-01 09:11:52.000000 UTC
0,0xa50732aca6a0,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,964,svchost.exe,2023-04-01 17:11:49.000000 UTC
0,0xa50732aca7f0,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,964,svchost.exe,2023-04-01 17:11:49.000000 UTC
0,0xa50732aca7f0,TCPv6,::,49665,::,0,LISTENING,964,svchost.exe,2023-04-01 17:11:49.000000 UTC
0,0xa50732acaa90,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,448,wininit.exe,2023-04-01 17:11:49.000000 UTC
0,0xa50732acaa90,TCPv6,::,49664,::,0,LISTENING,448,wininit.exe,2023-04-01 17:11:49.000000 UTC
0,0xa50732acabe0,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,2023-04-01 09:11:53.000000 UTC
0,0xa50732acabe0,TCPv6,::,445,::,0,LISTENING,4,System,2023-04-01 09:11:53.000000 UTC
0,0xa50732ad3bf0,TCPv4,10.0.2.15,52238,173.194.76.188,443,ESTABLISHED,-,-,N/A
0,0xa50732ad79a0,TCPv4,10.0.2.15,54066,13.107.3.254,443,ESTABLISHED,-,-,N/A
0,0xa50732adb010,TCPv4,10.0.2.15,49908,23.73.138.248,443,CLOSE_WAIT,-,-,N/A
0,0xa50732b20460,TCPv4,10.0.2.15,54049,142.250.179.234,443,ESTABLISHED,-,-,N/A
0,0xa50732c81be0,TCPv4,10.0.2.15,49917,37.252.171.53,443,CLOSE_WAIT,-,-,N/A
0,0xa50732c926d0,TCPv4,10.0.2.15,54048,142.250.179.234,443,ESTABLISHED,-,-,N/A
0,0xa50732c9b8b0,TCPv4,10.0.2.15,49904,204.79.197.203,443,CLOSED,-,-,N/A
0,0xa50732df9050,UDPv4,0.0.0.0,0,*,0,,756,svchost.exe,2023-04-01 17:11:50.000000 UTC
0,0xa50732df9050,UDPv6,::,0,*,0,,756,svchost.exe,2023-04-01 17:11:50.000000 UTC
0,0xa50732df91a0,UDPv4,0.0.0.0,5353,*,0,,7128,chrome.exe,2023-04-01 17:24:23.000000 UTC
0,0xa50732df91a0,UDPv6,::,5353,*,0,,7128,chrome.exe,2023-04-01 17:24:23.000000 UTC
0,0xa50732df96e0,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,804,svchost.exe,2023-04-01 17:11:50.000000 UTC
0,0xa50732df96e0,TCPv6,::,49666,::,0,LISTENING,804,svchost.exe,2023-04-01 17:11:50.000000 UTC
0,0xa50732df9980,UDPv4,0.0.0.0,4500,*,0,,804,svchost.exe,2023-04-01 09:11:52.000000 UTC
0,0xa50732df9980,UDPv6,::,4500,*,0,,804,svchost.exe,2023-04-01 09:11:52.000000 UTC
0,0xa50732df9c20,UDPv4,0.0.0.0,500,*,0,,804,svchost.exe,2023-04-01 09:11:52.000000 UTC
0,0xa50732df9d70,UDPv4,0.0.0.0,0,*,0,,1808,svchost.exe,2023-04-01 09:11:52.000000 UTC
0,0xa50732dfa160,UDPv4,0.0.0.0,4500,*,0,,804,svchost.exe,2023-04-01 09:11:52.000000 UTC
0,0xa50732dfa2b0,UDPv4,0.0.0.0,0,*,0,,1808,svchost.exe,2023-04-01 09:11:52.000000 UTC
0,0xa50732dfa2b0,UDPv6,::,0,*,0,,1808,svchost.exe,2023-04-01 09:11:52.000000 UTC
0,0xa50732dfa940,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,804,svchost.exe,2023-04-01 17:11:50.000000 UTC
0,0xa50732dfaa90,UDPv4,0.0.0.0,500,*,0,,804,svchost.exe,2023-04-01 09:11:52.000000 UTC
0,0xa50732dfaa90,UDPv6,::,500,*,0,,804,svchost.exe,2023-04-01 09:11:52.000000 UTC
0,0xa50732dfad30,UDPv4,0.0.0.0,5353,*,0,,756,svchost.exe,2023-04-01 17:11:50.000000 UTC
0,0xa50732feb060,UDPv6,::1,1900,*,0,,2148,svchost.exe,2023-04-01 09:12:24.000000 UTC
0,0xa50732feb1b0,UDPv4,0.0.0.0,5355,*,0,,756,svchost.exe,2023-04-02 21:09:14.000000 UTC
0,0xa50732feb1b0,UDPv6,::,5355,*,0,,756,svchost.exe,2023-04-02 21:09:14.000000 UTC
