TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0xa50731e6b040,92,-,N/A,False,2023-04-01 17:11:32.000000 UTC,N/A,-,-,-
1,288,4,smss.exe,0xa50732c56040,2,-,N/A,False,2023-04-01 17:11:32.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
1,68,4,Registry,0xa50731f94040,4,-,N/A,False,2023-04-01 17:11:30.000000 UTC,N/A,Registry,-,-
1,1332,4,MemCompression,0xa50735c4e040,54,-,N/A,False,2023-04-01 09:11:51.000000 UTC,N/A,MemCompression,-,-
0,380,372,csrss.exe,0xa50735e87140,9,-,0,False,2023-04-01 17:11:48.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,448,372,wininit.exe,0xa5073770f080,1,-,0,False,2023-04-01 17:11:49.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,552,448,lsass.exe,0xa50737710540,9,-,0,False,2023-04-01 17:11:49.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\lsass.exe,C:\\Windows\\system32\\lsass.exe,C:\\Windows\\system32\\lsass.exe
1,540,448,services.exe,0xa50736b02440,6,-,0,False,2023-04-01 17:11:49.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,1676,540,svchost.exe,0xa5073940b380,13,-,0,False,2023-04-01 09:11:52.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetworkFirewall -p,C:\\Windows\\system32\\svchost.exe
2,656,540,svchost.exe,0xa507387e9300,15,-,0,False,2023-04-01 17:11:49.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p,C:\\Windows\\system32\\svchost.exe
3,4608,656,Microsoft.Phot,0xa50739efb080,18,-,1,False,2023-04-01 09:18:19.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Program Files\\WindowsApps\\Microsoft.Windows.Photos_2023.10030.7003.0_x64__8wekyb3d8bbwe\\Microsoft.Photos.exe,-,-
3,5256,656,dllhost.exe,0xa50736c2c440,10,-,1,False,2023-04-01 09:13:18.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\dllhost.exe,C:\\Windows\\system32\\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F},C:\\Windows\\system32\\DllHost.exe
3,4620,656,RuntimeBroker.,0xa50739efa080,4,-,1,False,2023-04-01 09:13:05.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
3,2700,656,WindowsInterna,0xa50732945540,47,-,1,False,2023-04-01 09:24:06.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\SystemApps\\InputApp_cw5n1h2txyewy\\WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe,-,-
3,2448,656,dllhost.exe,0xa50736c350c0,2,-,1,False,2023-04-01 09:30:02.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\dllhost.exe,C:\\Windows\\system32\\DllHost.exe /Processid:{7E55A26D-EF95-4A45-9F55-21E52ADF9887},C:\\Windows\\system32\\DllHost.exe
3,536,656,RuntimeBroker.,0xa5073b8d9080,5,-,1,False,2023-04-01 09:18:20.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
3,3616,656,SearchUI.exe,0xa50738fc6080,42,-,1,False,2023-04-01 09:12:55.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\SystemApps\\Microsoft.Windows.Cortana_cw5n1h2txyewy\\SearchUI.exe,-,-
3,7080,656,MicrosoftEdgeC,0xa507354e6080,39,-,1,False,2023-04-01 09:29:33.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\MicrosoftEdgeCP.exe,-,-
3,3500,656,ShellExperienc,0xa50732ada080,27,-,1,False,2023-04-01 09:12:55.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\SystemApps\\ShellExperienceHost_cw5n1h2txyewy\\ShellExperienceHost.exe,-,-
3,6448,656,dllhost.exe,0xa507368be080,7,-,1,False,2023-04-02 21:12:08.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\dllhost.exe,-,-
3,3900,656,ApplicationFra,0xa50732c86400,6,-,1,False,2023-04-01 09:12:56.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\ApplicationFrameHost.exe,C:\\Windows\\system32\\ApplicationFrameHost.exe -Embedding,C:\\Windows\\system32\\ApplicationFrameHost.exe
