TreeDepth,Offset,FileFullPath,File output
0,0xdd0258e0c000,,Disabled
0,0xdd0258e33000,\\REGISTRY\\MACHINE\\SYSTEM,Disabled
0,0xdd0258ea4000,\\REGISTRY\\MACHINE\\HARDWARE,Disabled
0,0xdd02596ce000,\\Device\\HarddiskVolume1\\Boot\\BCD,Disabled
0,0xdd02596d2000,\\SystemRoot\\System32\\Config\\SOFTWARE,Disabled
0,0xdd025c1e5000,\\SystemRoot\\System32\\Config\\DEFAULT,Disabled
0,0xdd025c2b9000,\\SystemRoot\\System32\\Config\\SECURITY,Disabled
0,0xdd025c31f000,\\SystemRoot\\System32\\Config\\SAM,Disabled
0,0xdd025c4b6000,\\??\\C:\\Windows\\ServiceProfiles\\NetworkService\\NTUSER.DAT,Disabled
0,0xdd025c5b5000,\\??\\C:\\Windows\\ServiceProfiles\\LocalService\\NTUSER.DAT,Disabled
0,0xdd025c591000,\\SystemRoot\\System32\\Config\\BBI,Disabled
0,0xdd025ccdc000,\\??\\C:\\Windows\\AppCompat\\Programs\\Amcache.hve,Disabled
0,0xdd025f2d7000,\\??\\C:\\Users\\IEUser\\ntuser.dat,Disabled
0,0xdd025f2d5000,\\??\\C:\\Users\\IEUser\\AppData\\Local\\Microsoft\\Windows\\UsrClass.dat,Disabled
0,0xdd025f7c9000,\\REGISTRY\\A\\{64F49270-41BA-48B9-8740-175D28D4BE81},Disabled
0,0xdd025f7e6000,\\??\\C:\\Users\\IEUser\\AppData\\Local\\Packages\\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0xdd025f821000,\\REGISTRY\\A\\{D2576148-516D-4C7D-AFBA-AC1541DEEA93},Disabled
0,0xdd025f81d000,\\??\\C:\\Users\\IEUser\\AppData\\Local\\Packages\\Microsoft.Windows.Cortana_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0xdd02601cf000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.YourPhone_1.21062.152.0_x64__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0xdd0260318000,\\??\\C:\\Users\\IEUser\\AppData\\Local\\Packages\\Microsoft.YourPhone_8wekyb3d8bbwe\\Settings\\settings.dat,Disabled
0,0xdd02616e5000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\windows.immersivecontrolpanel_10.0.2.1000_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xdd0261a1c000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.Photos_2023.10030.7003.0_x64__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0xdd026178f000,\\??\\C:\\Users\\IEUser\\AppData\\Local\\Packages\\Microsoft.Windows.Photos_8wekyb3d8bbwe\\Settings\\settings.dat,Disabled
0,0xdd026176c000,\\REGISTRY\\A\\{0E93BFB8-3116-4606-806E-BDFFBFB7953A},Disabled
0,0xdd026177f000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\InputApp_1000.17763.1.0_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xdd025f6e6000,\\??\\C:\\Users\\IEUser\\AppData\\Local\\Packages\\InputApp_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0xdd025f9fc000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.MicrosoftEdge_44.17763.1.0_neutral__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0xdd025d879000,\\??\\C:\\Users\\IEUser\\AppData\\Local\\Packages\\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\\Settings\\settings.dat,Disabled

