TreeDepth,PID,Process,Args
0,4,System,-
0,100,Registry,-
0,432,smss.exe,\\SystemRoot\\System32\\smss.exe
0,576,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,648,wininit.exe,wininit.exe
0,656,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,720,winlogon.exe,winlogon.exe
0,792,services.exe,C:\\Windows\\system32\\services.exe
0,820,lsass.exe,C:\\Windows\\system32\\lsass.exe
0,944,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p
0,972,fontdrvhost.ex,"""fontdrvhost.exe"""
0,980,fontdrvhost.ex,"""fontdrvhost.exe"""
0,540,svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS -p
0,876,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p -s LSM
0,1040,LogonUI.exe,-
0,1048,dwm.exe,"""dwm.exe"""
0,1096,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s gpsvc
0,1112,svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService -p
0,1232,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
0,1252,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s Schedule
0,1280,svchost.exe,C:\\Windows\\system32\\svchost.exe -k UserProfileService -p -s ProfSvc
0,1320,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
0,1328,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s AppIDSvc
0,1372,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork -p
0,1404,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s UserManager
0,1436,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s nsi
