TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0xd20c152752a0,0xf80110690000,0x7a000,intelpep,intelpep,\\Driver\\intelpep
0,0xd20c152c8e30,0xf8010d200000,0x0,\\Driver\\PnpManager,PnpManager,\\Driver\\PnpManager
0,0xd20c152cfaf0,0xf80110930000,0x1c000,volmgr,volmgr,\\Driver\\volmgr
0,0xd20c152cfd00,0xf80110950000,0x64000,volmgrx,volmgrx,\\Driver\\volmgrx
0,0xd20c152d0630,0xf80111300000,0x35000,KSecPkg,KSecPkg,\\Driver\\KSecPkg
0,0xd20c152dfe20,0xf80110780000,0x1c000,vdrvroot,vdrvroot,\\Driver\\vdrvroot
0,0xd20c152e3da0,0xf80110760000,0x16000,pcw,pcw,\\Driver\\pcw
0,0xd20c1530ca30,0xf80110b70000,0x1c000,FileInfo,FileInfo,\\FileSystem\\FileInfo
0,0xd20c1530dd60,0xf80110b90000,0x47000,Wof,Wof,\\FileSystem\\Wof
0,0xd20c1530f5c0,0xf80110be0000,0x6e000,WdFilter,WdFilter,\\FileSystem\\WdFilter
0,0xd20c15320800,0xf80111000000,0x18f000,NDIS,NDIS,\\Driver\\NDIS
0,0xd20c15338e00,0xf8010d200000,0x0,\\Driver\\SoftwareDevice,SoftwareDevice,\\Driver\\SoftwareDevice
0,0xd20c1533ae00,0xf8010d200000,0x0,\\Driver\\DeviceApi,DeviceApi,\\Driver\\DeviceApi
0,0xd20c15353c70,0xf8010d200000,0x0,\\Driver\\WMIxWDM,WMIxWDM,\\Driver\\WMIxWDM
0,0xd20c15358b00,0xf8010d200000,0x0,\\Driver\\ACPI_HAL,ACPI_HAL,\\Driver\\ACPI_HAL
0,0xd20c1537cb00,0xf801102c0000,0x27000,acpiex,acpiex,\\Driver\\acpiex
0,0xd20c15382b00,0xf80110570000,0xb000,msisadrv,msisadrv,\\Driver\\msisadrv
0,0xd20c15384c10,0xf801102b0000,0xe000,PRM,PRM,\\Driver\\PRM
0,0xd20c1538be20,0xf801100e0000,0xbd000,CNG,CNG,\\Driver\\CNG
0,0xd20c15395b00,0xf801102f0000,0x5e000,MsSecFlt,MsSecFlt,\\Driver\\MsSecFlt
0,0xd20c1539eb00,0xf80116570000,0x5c000,ahcache,ahcache,\\Driver\\ahcache
0,0xd20c153a0b00,0xf80110350000,0x1c000,SgrmAgent,SgrmAgent,\\Driver\\SgrmAgent
0,0xd20c153a2b00,0xf80110370000,0xa000,lxss,lxss,\\Driver\\lxss
0,0xd20c153a6db0,0xf80110610000,0x57000,TPM,TPM,\\Driver\\TPM
0,0xd20c153afb00,0xf80110710000,0x18000,WindowsTrustedRT,WindowsTrustedRT,\\Driver\\WindowsTrustedRT
0,0xd20c153b5cd0,0x0,0x0,-,RAW,\\FileSystem\\RAW
0,0xd20c153cde30,0xf8010d200000,0x0,\\Driver\\WscVReg,WscVReg,\\Driver\\WscVReg
0,0xd20c153cf070,0xf80110800000,0x33000,partmgr,partmgr,\\Driver\\partmgr
0,0xd20c153cf660,0xf80110840000,0xe1000,spaceport,spaceport,\\Driver\\spaceport
0,0xd20c153d1480,0xf801107a0000,0x31000,pdc,pdc,\\Driver\\pdc
0,0xd20c153d58a0,0xf80111230000,0x33000,fse,fse,\\Driver\\fse
0,0xd20c153dae50,0xf80135e00000,0x3c000,MpKsle52ade94,MpKsle52ade94,\\Driver\\MpKsle52ade94
0,0xd20c153e6900,0xf8010a8c0000,0x6e000,CLFS,CLFS,\\Driver\\CLFS
0,0xd20c153e8070,0xf80110730000,0x13000,IntelPMT,IntelPMT,\\Driver\\IntelPMT
0,0xd20c153e8900,0xf80110750000,0xb000,WindowsTrustedRTProxy,WindowsTrustedRTProxy,\\Driver\\WindowsTrustedRTProxy
0,0xd20c153ea6f0,0xf801104a0000,0xb8000,ACPI,ACPI,\\Driver\\ACPI
0,0xd20c15402da0,0xf80113110000,0xa000,Beep,Beep,\\Driver\\Beep
0,0xd20c15406d60,0xf80110c50000,0x336000,Ntfs,Ntfs,\\FileSystem\\Ntfs
0,0xd20c1540ad60,0xf80110580000,0x8a000,pci,pci,\\Driver\\pci
0,0xd20c15422060,0xf801109c0000,0x1f000,mountmgr,mountmgr,\\Driver\\mountmgr
0,0xd20c15422620,0xf801109e0000,0x32000,storahci,storahci,\\Driver\\storahci
0,0xd20c15482e00,0xf801101a0000,0xc7000,Wdf01000,Wdf01000,\\Driver\\Wdf01000
0,0xd20c1548c060,0xf8010ff20000,0x2c000,KSecDD,KSecDD,\\Driver\\KSecDD
0,0xd20c1548c270,0xf80110f90000,0x5c000,VBoxGuest,VBoxGuest,\\Driver\\VBoxGuest
0,0xd20c15a5b5d0,0xf80110b40000,0x24000,EhStorClass,EhStorClass,\\Driver\\EhStorClass
0,0xd20c15a5ba10,0xf80110ff0000,0xf000,Fs_Rec,Fs_Rec,\\FileSystem\\Fs_Rec
0,0xd20c15a5d4f0,0xf8010a960000,0x76000,FltMgr,FltMgr,\\FileSystem\\FltMgr
0,0xd20c15a65a90,0xf801130c0000,0x16000,FileCrypt,FileCrypt,\\FileSystem\\FileCrypt
0,0xd20c15a67060,0xf801135d0000,0x17000,BasicDisplay,BasicDisplay,\\Driver\\BasicDisplay
0,0xd20c15a68060,0xf801135f0000,0x12000,BasicRender,BasicRender,\\Driver\\BasicRender
0,0xd20c15a688c0,0xf80113610000,0x1c000,Npfs,Npfs,\\FileSystem\\Npfs
0,0xd20c15a6a450,0xf80113630000,0x12000,Msfs,Msfs,\\FileSystem\\Msfs
0,0xd20c15a6add0,0xf80113650000,0x28000,CimFS,CimFS,\\FileSystem\\CimFS
0,0xd20c15a6cd20,0xf80113680000,0x24000,tdx,tdx,\\Driver\\tdx
0,0xd20c15a6f060,0xf801136d0000,0x51000,NetBT,NetBT,\\Driver\\NetBT
0,0xd20c15a6f270,0xf80115ea0000,0xf000,kdnic,kdnic,\\Driver\\kdnic
0,0xd20c15a6f720,0xf801162e0000,0x10000,rdpbus,rdpbus,\\Driver\\rdpbus
0,0xd20c15a8ece0,0xf80113730000,0x14000,afunix,afunix,\\Driver\\afunix
0,0xd20c15a8fe00,0xf801164e0000,0x6e000,fastfat,fastfat,\\FileSystem\\fastfat
0,0xd20c15a91d80,0xf80113750000,0xa9000,AFD,AFD,\\Driver\\AFD
0,0xd20c15a93ca0,0xf80113800000,0x1b000,vwififlt,vwififlt,\\Driver\\vwififlt
0,0xd20c15c07af0,0xf80111340000,0x330000,Tcpip,Tcpip,\\Driver\\Tcpip
0,0xd20c15c748f0,0xf801117e0000,0x70000,volsnap,volsnap,\\Driver\\volsnap
0,0xd20c15c74b00,0xf80111860000,0x51000,rdyboost,rdyboost,\\Driver\\rdyboost
0,0xd20c15c89d50,0xf801117d0000,0xb000,volume,volume,\\Driver\\volume
0,0xd20c15c95cc0,0xf801116f0000,0xd4000,fvevol,fvevol,\\Driver\\fvevol
0,0xd20c15c9b8f0,0xf801116c0000,0xf000,VmsProxy,VmsProxy,\\Driver\\VmsProxy
0,0xd20c15c9bd70,0xf801116d0000,0x10000,VMSNPXY,VMSNPXY,\\Driver\\VMSNPXY
0,0xd20c15cd7930,0xf80111680000,0x31000,WFPLWFS,WFPLWFS,\\Driver\\WFPLWFS
