TreeDepth,Offset,Name
0,0xd20c15a81210,\\Windows\\System32\\drivers\\ndiscap.sys
0,0xd20c15a81660,\\Windows\\System32\\drivers\\afunix.sys
0,0xd20c15a817d0,\\Windows\\System32\\drivers\\vwififlt.sys
0,0xd20c15a81c20,\\Windows\\System32\\drivers\\afd.sys
0,0xd20c15a824c0,\\Windows\\System32\\drivers\\vfpext.sys
0,0xd20c15a82910,\\Windows\\System32\\drivers\\pacer.sys
0,0xd20c15a82a80,\\Windows\\System32\\drivers\\netbt.sys
0,0xd20c15bde0a0,\\Windows\\System32\\drivers\\hvsocket.sys
0,0xd20c15bde210,\\$LogFile
0,0xd20c15bdf4c0,\\$Mft
0,0xd20c15bdfed0,\\$MftMirr
0,0xd20c15dc3570,\\Windows\\System32\\config\\SYSTEM.LOG2
0,0xd20c15dc3890,\\Windows
0,0xd20c15dc3a20,\\Sessions
0,0xd20c15e2a0a0,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops
0,0xd20c15e2a940,\\$Extend\\$RmMetadata\\$Txf:$I30:$INDEX_ALLOCATION
0,0xd20c15e2aab0,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,0xd20c15e2ac20,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
0,0xd20c15e2b4c0,\\Windows\\System32\\drivers\\filecrypt.sys
0,0xd20c15e2b910,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,0xd20c15e2ba80,TxfLog
0,0xd20c15e2c0a0,\\Device\\HarddiskVolume4\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xd20c15e2c210,\\$Directory
0,0xd20c15e2c660,\\Windows\\System32\\drivers\\crashdmp.sys
0,0xd20c15e2c7d0,\\$Directory
0,0xd20c15e2c940,\\$Directory
0,0xd20c15e2cab0,\\Windows\\System32\\drivers\\cdrom.sys
0,0xd20c15e2d1e0,KtmLog
0,0xd20c15e2d350,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops:$T:$DATA
0,0xd20c15e2d4c0,\\Device\\HarddiskVolume4\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xd20c15e2d630,\\:$I30:$INDEX_ALLOCATION
0,0xd20c15e2d7a0,\\$Directory
0,0xd20c15e2d910,\\Windows\\System32\\drivers\\en-US\\ntfs.sys.mui
0,0xd20c15e2da80,\\$Directory
0,0xd20c15e2dd60,\\$Directory
