TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0xd20c152c0040,0x4,Process,0x1fffff,System Pid 4
0,4,System,0xd20c15378080,0x8,Thread,0x1fffff,Tid 48 Pid 4
0,4,System,0xd20c152f2080,0xc,Thread,0x1fffff,Tid 92 Pid 4
0,4,System,0xd20c1527b6e0,0x10,Mutant,0x1f0001,BcdSyncMutant
0,4,System,0x99800081f5f0,0x14,Directory,0xf000f,GLOBAL??
0,4,System,0x99800082cd50,0x18,Directory,0xf000f,CpuPartitions
0,4,System,0xd20c152bf910,0x1c,Partition,0x1f0003,MemoryPartition0
0,4,System,0x998000855d10,0x20,Directory,0xf000f,-
0,4,System,0x998000848410,0x24,Directory,0xf000f,KernelObjects
0,4,System,0xd20c152c2ea0,0x28,Event,0x1f0003,LowPagedPoolCondition
0,4,System,0xd20c152c23a0,0x2c,Event,0x1f0003,HighPagedPoolCondition
0,4,System,0xd20c152c2420,0x30,Event,0x1f0003,LowNonPagedPoolCondition
0,4,System,0xd20c152c2f20,0x34,Event,0x1f0003,HighNonPagedPoolCondition
0,4,System,0xd20c152c2520,0x38,Event,0x1f0003,LowMemoryCondition
0,4,System,0xd20c152c2ba0,0x3c,Event,0x1f0003,HighMemoryCondition
0,4,System,0xd20c152c2ca0,0x40,Event,0x1f0003,LowCommitCondition
0,4,System,0xd20c152c20a0,0x44,Event,0x1f0003,HighCommitCondition
0,4,System,0xd20c152c2720,0x48,Event,0x1f0003,MaximumCommitCondition
0,4,System,0xd20c152c27a0,0x4c,Event,0x1f0003,MemoryErrors
0,4,System,0xd20c152c2920,0x50,Event,0x1f0003,PhysicalMemoryChange
0,4,System,0xd20c1547d080,0x54,Process,0x1fffff,Registry Pid 100
0,4,System,0x9980009911b0,0x58,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0x99800088c0c0,0x5c,Key,0x0,-
0,4,System,0xd20c19893e70,0x60,File,0x20003,\\Device\\HarddiskVolume4\\Windows\\System32\\config\\SOFTWARE
0,4,System,0xd20c15ded040,0x64,Thread,0x1fffff,Tid 328 Pid 4
0,4,System,0x998000c974f0,0x68,SymbolicLink,0xf0001,ACPI#FixedButton#2&daba3ff&0#{4afa3d53-74a7-11d0-be5e-00a0c9062857}
0,4,System,0x998000e6d890,0x6c,SymbolicLink,0xf0001,STORAGE#Volume#{969c2d5f-c3e8-11ed-a265-806e6f6e6963}#0000000019100000#{7f108a28-9833-4b3b-b780-2c6b5fa5c062}
0,4,System,0x998000e6dd10,0x70,SymbolicLink,0xf0001,STORAGE#Volume#{969c2d5f-c3e8-11ed-a265-806e6f6e6963}#0000000021100000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0x9980009915f0,0x74,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\NOTIFICATIONS
0,4,System,0x9980008c8410,0x78,SymbolicLink,0xf0001,DriverStores
0,4,System,0x998000991810,0x7c,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0xd20c15dee040,0x80,Thread,0x1fffff,Tid 332 Pid 4
0,4,System,0x998000d14ae0,0x84,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT
0,4,System,0xd20c15e02080,0x88,Thread,0x1fffff,Tid 336 Pid 4
0,4,System,0x998000e6d530,0x8c,SymbolicLink,0xf0001,STORAGE#Volume#{969c2d5f-c3e8-11ed-a265-806e6f6e6963}#0000000000100000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0x998000cec820,0x90,Key,0xf003f,MACHINE\\SYSTEM\\HARDWARECONFIG\\{A00EB73B-4EA6-42C1-B4CC-A4C5A1A665EE}\\PRODUCTIDS
0,4,System,0x998000c97c40,0x94,SymbolicLink,0xf0001,ACPI#MSFT0101#2&daba3ff&0#{699fb98e-500b-4a5a-ba05-5f26d51168ad}
0,4,System,0xd20c15e2aab0,0x98,File,0x12019f,\\Device\\HarddiskVolume4\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,4,System,0x998000991b40,0x9c,Key,0x2001f,MACHINE\\SYSTEM\\SETUP
0,4,System,0x998000990d70,0xa0,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT\\PREFETCHPARAMETERS
0,4,System,0x9980009902d0,0xa4,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LEAPSECONDINFORMATION
0,4,System,0xd20c1d5ee080,0xa8,Process,0x1fffff,msedge.exe Pid 7628
0,4,System,0xd20c153efb40,0xac,ALPC Port,0x1f0001,SleepstudyControlPort
0,4,System,0xd20c153efda0,0xb0,ALPC Port,0x1f0001,PowerPort
0,4,System,0xd20c1528db10,0xb4,ALPC Port,0x1f0001,PowerMonitorPort
0,4,System,0x998000990b50,0xb8,Key,0x11,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER
0,4,System,0x9980008fc9f0,0xbc,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0x998000ced4e0,0xc0,Key,0xf003f,MACHINE\\SYSTEM\\DRIVERDATABASE
0,4,System,0x9980008fc270,0xc4,Key,0xf003f,MACHINE\\SYSTEM
0,4,System,0x9980008fcae0,0xc8,Key,0xf003f,USER
0,4,System,0xd20c15280a50,0xcc,Event,0x1f0003,-
0,4,System,0x998000cec0b0,0xd0,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\ENUM
0,4,System,0x998000cecc60,0xd4,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0x9980008fc630,0xd8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0x998000cec4f0,0xdc,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECONTAINERS
0,4,System,0x998000cecb50,0xe0,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS
0,4,System,0x998000cecd70,0xe4,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICEPANELS
0,4,System,0x9980009901c0,0xe8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\PNP
0,4,System,0x998000cec3e0,0xec,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES
0,4,System,0x9980008f7d70,0xf0,Key,0xf003f,MACHINE\\SYSTEM\\HARDWARECONFIG
0,4,System,0x99800218aea0,0xf4,SymbolicLink,0xf0001,PCI#VEN_106B&DEV_003F&SUBSYS_00000000&REV_00#3&267a616a&0&30#{3abf6f2d-71c4-462a-8a92-1e6861e6af27}
0,4,System,0x998000d14090,0xf8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\HARDWARE PROFILES
0,4,System,0x998000ced1b0,0xfc,Key,0xf003f,MACHINE\\SYSTEM\\RNG
0,4,System,0x998000e6da40,0x100,SymbolicLink,0xf0001,STORAGE#Volume#{969c2d5f-c3e8-11ed-a265-806e6f6e6963}#0000000012D00000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
