TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xaf01800a4010,TCPv4,10.0.2.55,50165,3.211.40.3,443,CLOSED,-,-,N/A
0,0xd20c153d0520,TCPv4,10.0.2.55,50230,172.217.16.227,443,ESTABLISHED,-,-,N/A
0,0xd20c180c0310,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,820,lsass.exe,2023-04-01 04:13:06.000000 UTC
0,0xd20c180c05d0,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,540,svchost.exe,2023-04-01 04:13:06.000000 UTC
0,0xd20c180c10d0,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,820,lsass.exe,2023-04-01 04:13:06.000000 UTC
0,0xd20c180c10d0,TCPv6,::,49664,::,0,LISTENING,820,lsass.exe,2023-04-01 04:13:06.000000 UTC
0,0xd20c19ca21b0,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,648,wininit.exe,2023-04-01 04:13:06.000000 UTC
0,0xd20c19ca21b0,TCPv6,::,49665,::,0,LISTENING,648,wininit.exe,2023-04-01 04:13:06.000000 UTC
0,0xd20c19ca2890,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1252,svchost.exe,2023-04-01 04:13:06.000000 UTC
0,0xd20c19ca2890,TCPv6,::,49666,::,0,LISTENING,1252,svchost.exe,2023-04-01 04:13:06.000000 UTC
0,0xd20c19ca2cb0,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,1800,svchost.exe,2023-03-31 20:13:10.000000 UTC
0,0xd20c19ca2cb0,TCPv6,::,49667,::,0,LISTENING,1800,svchost.exe,2023-03-31 20:13:10.000000 UTC
0,0xd20c19ca30d0,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,540,svchost.exe,2023-04-01 04:13:06.000000 UTC
0,0xd20c19ca30d0,TCPv6,::,135,::,0,LISTENING,540,svchost.exe,2023-04-01 04:13:06.000000 UTC
0,0xd20c19ca3230,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1252,svchost.exe,2023-04-01 04:13:06.000000 UTC
0,0xd20c19ca3650,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,1800,svchost.exe,2023-03-31 20:13:10.000000 UTC
0,0xd20c19ca3a70,TCPv4,10.0.2.55,139,0.0.0.0,0,LISTENING,4,System,2023-03-31 20:13:10.000000 UTC
0,0xd20c19ca3bd0,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,648,wininit.exe,2023-04-01 04:13:06.000000 UTC
0,0xd20c19f0a480,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,2023-03-31 20:13:11.000000 UTC
0,0xd20c19f0a480,TCPv6,::,445,::,0,LISTENING,4,System,2023-03-31 20:13:11.000000 UTC
0,0xd20c19f0b240,TCPv4,0.0.0.0,5040,0.0.0.0,0,LISTENING,4696,svchost.exe,2023-03-31 20:13:16.000000 UTC
0,0xd20c19f0b660,TCPv4,0.0.0.0,7680,0.0.0.0,0,LISTENING,6624,svchost.exe,2023-03-31 20:19:24.000000 UTC
0,0xd20c19f0b660,TCPv6,::,7680,::,0,LISTENING,6624,svchost.exe,2023-03-31 20:19:24.000000 UTC
0,0xd20c19f0bbe0,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2932,spoolsv.exe,2023-03-31 20:13:10.000000 UTC
0,0xd20c19f0bea0,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,792,services.exe,2023-03-31 20:13:10.000000 UTC
0,0xd20c19f0bea0,TCPv6,::,49669,::,0,LISTENING,792,services.exe,2023-03-31 20:13:10.000000 UTC
0,0xd20c19f0c6e0,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2932,spoolsv.exe,2023-03-31 20:13:10.000000 UTC
0,0xd20c19f0c6e0,TCPv6,::,49668,::,0,LISTENING,2932,spoolsv.exe,2023-03-31 20:13:10.000000 UTC
0,0xd20c19f0cb00,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,792,services.exe,2023-03-31 20:13:10.000000 UTC
0,0xd20c1a042010,TCPv4,10.0.2.55,50165,3.211.40.3,443,CLOSED,-,-,N/A
0,0xd20c1a24e540,UDPv4,10.0.2.55,138,*,0,,4,System,2023-03-31 20:13:10.000000 UTC
0,0xd20c1a24ed10,UDPv4,10.0.2.55,137,*,0,,4,System,2023-03-31 20:13:10.000000 UTC
0,0xd20c1a256d30,UDPv4,127.0.0.1,60397,*,0,,1516,svchost.exe,2023-03-31 20:13:10.000000 UTC
0,0xd20c1a8c2c80,UDPv4,127.0.0.1,59819,*,0,,2484,svchost.exe,2023-03-31 20:13:11.000000 UTC
0,0xd20c1a9a7720,UDPv4,0.0.0.0,0,*,0,,1984,svchost.exe,2023-03-31 20:13:11.000000 UTC
0,0xd20c1a9a7720,UDPv6,::,0,*,0,,1984,svchost.exe,2023-03-31 20:13:11.000000 UTC
0,0xd20c1a9a7d60,UDPv4,0.0.0.0,5353,*,0,,1984,svchost.exe,2023-03-31 20:13:11.000000 UTC
0,0xd20c1a9a7d60,UDPv6,::,5353,*,0,,1984,svchost.exe,2023-03-31 20:13:11.000000 UTC
0,0xd20c1a9aa790,UDPv4,0.0.0.0,5353,*,0,,1984,svchost.exe,2023-03-31 20:13:11.000000 UTC
0,0xd20c1a9aadd0,UDPv4,0.0.0.0,51361,*,0,,1984,svchost.exe,2023-03-31 20:13:11.000000 UTC
0,0xd20c1a9aadd0,UDPv6,::,51361,*,0,,1984,svchost.exe,2023-03-31 20:13:11.000000 UTC
0,0xd20c1a9ad350,UDPv4,0.0.0.0,50023,*,0,,1984,svchost.exe,2023-03-31 20:13:11.000000 UTC
0,0xd20c1a9ad350,UDPv6,::,50023,*,0,,1984,svchost.exe,2023-03-31 20:13:11.000000 UTC
0,0xd20c1a9f5010,TCPv4,10.0.2.55,50065,192.229.221.95,80,CLOSED,-,-,N/A
0,0xd20c1ae114a0,UDPv4,0.0.0.0,54337,*,0,,8004,msedge.exe,2023-03-31 20:17:01.000000 UTC
0,0xd20c1ae1d020,UDPv4,0.0.0.0,5050,*,0,,4696,svchost.exe,2023-03-31 20:13:16.000000 UTC
0,0xd20c1ae281e0,TCPv4,10.0.2.55,49989,46.137.132.32,443,CLOSED,-,-,N/A
0,0xd20c1c5817c0,TCPv4,10.0.2.55,50149,96.17.178.183,443,CLOSED,-,-,N/A
0,0xd20c1c6f2010,TCPv4,10.0.2.55,50213,51.11.168.232,443,CLOSED,-,-,N/A
0,0xd20c1c78e010,TCPv4,10.0.2.55,50064,20.90.156.32,443,ESTABLISHED,-,-,N/A
0,0xd20c1c7ba560,TCPv4,10.0.2.55,49674,204.79.197.200,443,CLOSED,-,-,N/A
0,0xd20c1c8ecaa0,TCPv4,10.0.2.55,49744,172.217.16.238,443,ESTABLISHED,-,-,N/A
0,0xd20c1c979aa0,TCPv4,10.0.2.55,50209,51.11.168.232,443,CLOSED,-,-,N/A
0,0xd20c1c99eaa0,TCPv4,10.0.2.55,50190,96.17.178.193,443,CLOSED,-,-,N/A
