TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0xd20c152c0040,166,-,N/A,False,2023-04-01 04:13:04.000000 UTC,N/A,-,-,-
1,432,4,smss.exe,0xd20c1804b040,2,-,N/A,False,2023-04-01 04:13:04.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
1,100,4,Registry,0xd20c1547d080,4,-,N/A,False,2023-04-01 04:12:58.000000 UTC,N/A,Registry,-,-
1,1356,4,MemCompression,0xd20c1a07c040,18,-,N/A,False,2023-03-31 20:13:10.000000 UTC,N/A,MemCompression,-,-
0,576,564,csrss.exe,0xd20c19910140,10,-,0,False,2023-04-01 04:13:05.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,648,564,wininit.exe,0xd20c19aeb140,2,-,0,False,2023-04-01 04:13:05.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,792,648,services.exe,0xd20c19b5b1c0,7,-,0,False,2023-04-01 04:13:05.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,3088,792,sqlwriter.exe,0xd20c1a555080,4,-,0,False,2023-03-31 20:13:10.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Program Files\\Microsoft SQL Server\\90\\Shared\\sqlwriter.exe,"""C:\\Program Files\\Microsoft SQL Server\\90\\Shared\\sqlwriter.exe""",C:\\Program Files\\Microsoft SQL Server\\90\\Shared\\sqlwriter.exe
2,4112,792,svchost.exe,0xd20c1ac2d080,8,-,0,False,2023-03-31 20:13:15.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k WebThreatDefense -p -s webthreatdefsvc,C:\\Windows\\system32\\svchost.exe
2,4624,792,svchost.exe,0xd20c1abc2080,26,-,0,False,2023-03-31 20:13:15.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k wsappx -p -s AppXSvc,C:\\Windows\\system32\\svchost.exe
2,2072,792,svchost.exe,0xd20c1ac7d0c0,1,-,0,False,2023-03-31 20:13:17.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s Appinfo,C:\\Windows\\system32\\svchost.exe
3,6644,2072,consent.exe,0xd20c1db15080,0,-,1,False,2023-03-31 20:19:50.000000 UTC,2023-03-31 20:19:52.000000 UTC,\\Device\\HarddiskVolume4\\Windows\\System32\\consent.exe,-,-
2,540,792,svchost.exe,0xd20c19bba080,10,-,0,False,2023-04-01 04:13:06.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS -p,C:\\Windows\\system32\\svchost.exe
2,3612,792,svchost.exe,0xd20c1a9d9080,1,-,0,False,2023-03-31 20:13:11.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k netsvcs -p -s SharedAccess,C:\\Windows\\System32\\svchost.exe
2,5156,792,svchost.exe,0xd20c1c3c6080,13,-,0,False,2023-03-31 20:13:18.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc,C:\\Windows\\system32\\svchost.exe
2,2600,792,svchost.exe,0xd20c1a2ec080,16,-,0,False,2023-03-31 20:13:10.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s Winmgmt,C:\\Windows\\system32\\svchost.exe
2,5676,792,SecurityHealth,0xd20c1c9980c0,12,-,0,False,2023-03-31 20:13:35.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\SecurityHealthService.exe,C:\\Windows\\system32\\SecurityHealthService.exe,C:\\Windows\\system32\\SecurityHealthService.exe
2,3120,792,svchost.exe,0xd20c1a5a8080,3,-,0,False,2023-03-31 20:13:10.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks,C:\\Windows\\System32\\svchost.exe
2,1600,792,svchost.exe,0xd20c1a097080,3,-,0,False,2023-03-31 20:13:10.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s SENS,C:\\Windows\\system32\\svchost.exe
2,1096,792,svchost.exe,0xd20c19d38080,5,-,0,False,2023-04-01 04:13:06.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s gpsvc,C:\\Windows\\system32\\svchost.exe
2,8776,792,svchost.exe,0xd20c1a1f8080,9,-,0,False,2023-03-31 20:17:05.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k InvSvcGroup -p -s InventorySvc,C:\\Windows\\system32\\svchost.exe
2,3152,792,wlms.exe,0xd20c1a577080,2,-,0,False,2023-03-31 20:13:10.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\wlms\\wlms.exe,C:\\Windows\\system32\\wlms\\wlms.exe,C:\\Windows\\system32\\wlms\\wlms.exe
2,596,792,uhssvc.exe,0xd20c1cb06080,3,-,0,False,2023-03-31 20:15:11.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Program Files\\Microsoft Update Health Tools\\uhssvc.exe,"""C:\\Program Files\\Microsoft Update Health Tools\\uhssvc.exe""",C:\\Program Files\\Microsoft Update Health Tools\\uhssvc.exe
2,1112,792,svchost.exe,0xd20c19d5f0c0,9,-,0,False,2023-04-01 04:13:06.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService -p,C:\\Windows\\system32\\svchost.exe
2,4696,792,svchost.exe,0xd20c1aa39080,7,-,0,False,2023-03-31 20:13:16.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s CDPSvc,C:\\Windows\\system32\\svchost.exe
2,6748,792,MicrosoftEdgeU,0xd20c15db60c0,9,-,0,True,2023-03-31 20:19:18.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Program Files (x86)\\Microsoft\\EdgeUpdate\\MicrosoftEdgeUpdate.exe,"""C:\\Program Files (x86)\\Microsoft\\EdgeUpdate\\MicrosoftEdgeUpdate.exe"" /svc",C:\\Program Files (x86)\\Microsoft\\EdgeUpdate\\MicrosoftEdgeUpdate.exe
2,2148,792,svchost.exe,0xd20c1a063080,2,-,0,False,2023-03-31 20:13:10.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder,C:\\Windows\\System32\\svchost.exe
2,3172,792,svchost.exe,0xd20c1a611080,9,-,0,False,2023-03-31 20:13:10.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s WpnService,C:\\Windows\\system32\\svchost.exe
2,2156,792,svchost.exe,0xd20c1a066080,8,-,0,False,2023-03-31 20:13:10.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s FontCache,C:\\Windows\\system32\\svchost.exe
2,3204,792,svchost.exe,0xd20c1a622080,6,-,0,False,2023-03-31 20:13:10.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s LanmanServer,C:\\Windows\\system32\\svchost.exe
2,7816,792,svchost.exe,0xd20c1c6ec080,5,-,0,False,2023-03-31 20:13:58.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s lfsvc,C:\\Windows\\system32\\svchost.exe
2,2704,792,svchost.exe,0xd20c1a553080,11,-,0,False,2023-03-31 20:13:10.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k utcsvc -p,C:\\Windows\\System32\\svchost.exe
3,3688,2704,AggregatorHost,0xd20c1aa0c080,1,-,0,False,2023-03-31 20:13:11.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\AggregatorHost.exe,AggregatorHost.exe,C:\\Windows\\System32\\AggregatorHost.exe
2,2196,792,svchost.exe,0xd20c1a1a1080,5,-,0,False,2023-03-31 20:13:10.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp,C:\\Windows\\system32\\svchost.exe
2,1692,792,NisSrv.exe,0xd20c1ac2f080,4,-,0,False,2023-03-31 20:13:14.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Program Files\\Windows Defender\\NisSrv.exe,"""C:\\Program Files\\Windows Defender\\NisSrv.exe""",C:\\Program Files\\Windows Defender\\NisSrv.exe
2,1700,792,VBoxService.ex,0xd20c19f7e080,11,-,0,False,2023-04-01 04:13:06.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\VBoxService.exe,C:\\Windows\\System32\\VBoxService.exe,C:\\Windows\\System32\\VBoxService.exe
2,4264,792,svchost.exe,0xd20c1ac3a080,11,-,1,False,2023-03-31 20:13:15.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup -s CDPUserSvc,C:\\Windows\\system32\\svchost.exe
2,7352,792,svchost.exe,0xd20c1c674080,18,-,0,False,2023-03-31 20:13:36.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k netsvcs -p -s BITS,C:\\Windows\\System32\\svchost.exe
2,2748,792,svchost.exe,0xd20c1a3dc140,4,-,0,False,2023-03-31 20:13:10.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p,C:\\Windows\\system32\\svchost.exe
2,2756,792,svchost.exe,0xd20c1a3e10c0,3,-,0,False,2023-03-31 20:13:10.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p,C:\\Windows\\System32\\svchost.exe
2,4300,792,svchost.exe,0xd20c1ac39080,4,-,1,False,2023-03-31 20:13:15.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s webthreatdefusersvc,C:\\Windows\\system32\\svchost.exe
2,1232,792,svchost.exe,0xd20c19df2080,2,-,0,False,2023-04-01 04:13:06.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService,C:\\Windows\\System32\\svchost.exe
2,3796,792,svchost.exe,0xd20c1ac2e080,7,-,0,False,2023-03-31 20:13:15.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc,C:\\Windows\\System32\\svchost.exe
2,2268,792,svchost.exe,0xd20c1a1be080,6,-,0,False,2023-03-31 20:13:10.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetSvcs -p -s hns,C:\\Windows\\system32\\svchost.exe
2,5344,792,SearchIndexer.,0xd20c1c415080,11,-,0,False,2023-03-31 20:13:21.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\SearchIndexer.exe,C:\\Windows\\system32\\SearchIndexer.exe /Embedding,C:\\Windows\\system32\\SearchIndexer.exe
