TreeDepth,Offset,FileFullPath,File output
0,0x9980008a8000,,Disabled
0,0x998000867000,\\REGISTRY\\MACHINE\\SYSTEM,Disabled
0,0x9980009ae000,\\REGISTRY\\MACHINE\\HARDWARE,Disabled
0,0x998002366000,\\SystemRoot\\System32\\Config\\SAM,Disabled
0,0x998002364000,\\SystemRoot\\System32\\Config\\DEFAULT,Disabled
0,0x998002362000,\\SystemRoot\\System32\\Config\\SECURITY,Disabled
0,0x998002360000,\\SystemRoot\\System32\\Config\\SOFTWARE,Disabled
0,0x998003155000,\\Device\\HarddiskVolume2\\EFI\\Microsoft\\Boot\\BCD,Disabled
0,0x99800369e000,\\??\\C:\\Windows\\ServiceProfiles\\NetworkService\\NTUSER.DAT,Disabled
0,0x9980039ce000,\\SystemRoot\\System32\\Config\\BBI,Disabled
0,0x9980039bd000,\\??\\C:\\Windows\\ServiceProfiles\\LocalService\\NTUSER.DAT,Disabled
0,0x998005cc7000,\\??\\C:\\Windows\\AppCompat\\Programs\\Amcache.hve,Disabled
0,0x9980060b3000,\\??\\C:\\Users\\User\\ntuser.dat,Disabled
0,0x99800606b000,\\??\\C:\\Users\\User\\AppData\\Local\\Microsoft\\Windows\\UsrClass.dat,Disabled
0,0x998006f0a000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.Core_1000.22634.1000.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x998006f0c000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.CBS_1000.22639.1000.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x99800710c000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.WebExperience_423.3400.0.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x99800718d000,\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-1859324099-630148697-3492067259-1000\\SystemAppData\\Helium\\Cache\\6561d07fe1bc57c0.dat,Disabled
0,0x99800719d000,\\??\\C:\\Users\\User\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\SystemAppData\\Helium\\User.dat,Disabled
0,0x9980071a5000,\\??\\C:\\Users\\User\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\SystemAppData\\Helium\\UserClasses.dat,Disabled
0,0x99800723c000,\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-1859324099-630148697-3492067259-1000\\SystemAppData\\Helium\\Cache\\6561d07fe1bc57c0_COM15.dat,Disabled
0,0x998007243000,\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-1859324099-630148697-3492067259-1000\\SystemAppData\\Helium\\Cache\\6561d07fe1bc57c0.dat,Disabled
0,0x99800736b000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.StartMenuExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x99800732b000,\\??\\C:\\Users\\User\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0x99800735f000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.UI.Xaml.CBS_8.2207.29001.0_x64__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0x998007510000,\\??\\C:\\Users\\User\\AppData\\Local\\Packages\\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0x99800a8a7000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.Photos_21.21030.25003.0_x64__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0x99800903f000,\\??\\C:\\Users\\User\\AppData\\Local\\Packages\\Microsoft.Windows.Photos_8wekyb3d8bbwe\\Settings\\settings.dat,Disabled
0,0x998008cab000,\\REGISTRY\\A\\{31E720B4-99BA-4B9B-977F-946440A8A157},Disabled
0,0x99800b284000,\\??\\C:\\Users\\User\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0x9980080a1000,\\??\\C:\\Windows\\ServiceProfiles\\NetworkService\\AppData\\Local\\Microsoft\\Windows\\DeliveryOptimization\\State\\dosvcState.dat,Disabled

