TreeDepth,Index,Address,Module,Symbol
0,0,0xf8010d494af0,ntoskrnl,NtAccessCheck
0,1,0xf8010d572f30,ntoskrnl,NtWorkerFactoryWorkerReady
0,2,0xf8010d9fab10,ntoskrnl,NtAcceptConnectPort
0,3,0xf8010dc34f20,ntoskrnl,NtMapUserPhysicalPagesScatter
0,4,0xf8010d8d9010,ntoskrnl,NtWaitForSingleObject
0,5,0xf8010d62df80,ntoskrnl,NtCallbackReturn
0,6,0xf8010d9b9670,ntoskrnl,NtReadFile
0,7,0xf8010d8d9810,ntoskrnl,NtDeviceIoControlFile
0,8,0xf8010d937c60,ntoskrnl,NtWriteFile
0,9,0xf8010d8ca600,ntoskrnl,NtRemoveIoCompletion
0,10,0xf8010d996400,ntoskrnl,NtReleaseSemaphore
0,11,0xf8010d8f9160,ntoskrnl,NtReplyWaitReceivePort
0,12,0xf8010d9f11c0,ntoskrnl,NtReplyPort
0,13,0xf8010d8c5460,ntoskrnl,NtSetInformationThread
0,14,0xf8010d9be020,ntoskrnl,NtSetEvent
0,15,0xf8010d8d9880,ntoskrnl,NtClose
0,16,0xf8010d8ff850,ntoskrnl,NtQueryObject
0,17,0xf8010d8e5400,ntoskrnl,NtQueryInformationFile
0,18,0xf8010d9bc9b0,ntoskrnl,NtOpenKey
0,19,0xf8010d961be0,ntoskrnl,NtEnumerateValueKey
0,20,0xf8010d9d4470,ntoskrnl,NtFindAtom
0,21,0xf8010d9e5cb0,ntoskrnl,NtQueryDefaultLocale
0,22,0xf8010d8d69f0,ntoskrnl,NtQueryKey
0,23,0xf8010d8d7100,ntoskrnl,NtQueryValueKey
0,24,0xf8010d8a1a20,ntoskrnl,NtAllocateVirtualMemory
0,25,0xf8010d91d960,ntoskrnl,NtQueryInformationProcess
0,26,0xf8010d9e0300,ntoskrnl,NtWaitForMultipleObjects32
0,27,0xf8010da036a0,ntoskrnl,NtWriteFileGather
0,28,0xf8010d89eef0,ntoskrnl,NtSetInformationProcess
0,29,0xf8010d948100,ntoskrnl,NtCreateKey
0,30,0xf8010d8cc7f0,ntoskrnl,NtFreeVirtualMemory
0,31,0xf8010db6e350,ntoskrnl,NtImpersonateClientOfPort
0,32,0xf8010d8c9ad0,ntoskrnl,NtReleaseMutant
0,33,0xf8010d8c7190,ntoskrnl,NtQueryInformationToken
0,34,0xf8010d8f7da0,ntoskrnl,NtRequestWaitReplyPort
0,35,0xf8010d8b0da0,ntoskrnl,NtQueryVirtualMemory
0,36,0xf8010d8e84a0,ntoskrnl,NtOpenThreadToken
0,37,0xf8010d8a9d10,ntoskrnl,NtQueryInformationThread
0,38,0xf8010d8e76b0,ntoskrnl,NtOpenProcess
0,39,0xf8010d4b4c50,ntoskrnl,NtSetInformationFile
0,40,0xf8010d8ae170,ntoskrnl,NtMapViewOfSection
0,41,0xf8010d9d9930,ntoskrnl,NtAccessCheckAndAuditAlarm
0,42,0xf8010d8fbf90,ntoskrnl,NtUnmapViewOfSection
0,43,0xf8010d8f9180,ntoskrnl,NtReplyWaitReceivePortEx
0,44,0xf8010d89c3f0,ntoskrnl,NtTerminateProcess
0,45,0xf8010dbf0ff0,ntoskrnl,NtSetEventBoostPriority
0,46,0xf8010da020f0,ntoskrnl,NtReadFileScatter
0,47,0xf8010d8e84c0,ntoskrnl,NtOpenThreadTokenEx
0,48,0xf8010d8bcaa0,ntoskrnl,NtOpenProcessTokenEx
0,49,0xf8010d9d0310,ntoskrnl,NtQueryPerformanceCounter
0,50,0xf8010d92dfc0,ntoskrnl,NtEnumerateKey
0,51,0xf8010d8bdf70,ntoskrnl,NtOpenFile
0,52,0xf8010d8d1a10,ntoskrnl,NtDelayExecution
0,53,0xf8010d9e2d20,ntoskrnl,NtQueryDirectoryFile
0,54,0xf8010d8b99f0,ntoskrnl,NtQuerySystemInformation
0,55,0xf8010d98bf50,ntoskrnl,NtOpenSection
0,56,0xf8010dbf0de0,ntoskrnl,NtQueryTimer
0,57,0xf8010d9cbc90,ntoskrnl,NtFsControlFile
0,58,0xf8010d9bac20,ntoskrnl,NtWriteVirtualMemory
0,59,0xf8010d9dbbb0,ntoskrnl,NtCloseObjectAuditAlarm
0,60,0xf8010d8cd0a0,ntoskrnl,NtDuplicateObject
0,61,0xf8010d9388d0,ntoskrnl,NtQueryAttributesFile
0,62,0xf8010d9c1b40,ntoskrnl,NtClearEvent
0,63,0xf8010d9bac50,ntoskrnl,NtReadVirtualMemory
0,64,0xf8010d98be80,ntoskrnl,NtOpenEvent
0,65,0xf8010d9656b0,ntoskrnl,NtAdjustPrivilegesToken
0,66,0xf8010d8e60b0,ntoskrnl,NtDuplicateToken
0,67,0xf8010d629b30,ntoskrnl,NtContinue
0,68,0xf8010da1a430,ntoskrnl,NtQueryDefaultUILanguage
0,69,0xf8010d9419e0,ntoskrnl,NtQueueApcThread
0,70,0xf8010d563f30,ntoskrnl,NtYieldExecution
0,71,0xf8010dbf6730,ntoskrnl,NtAddAtom
0,72,0xf8010d8e6e60,ntoskrnl,NtCreateEvent
0,73,0xf8010d8ca130,ntoskrnl,NtQueryVolumeInformationFile
0,74,0xf8010d8e9620,ntoskrnl,NtCreateSection
0,75,0xf8010d9d8260,ntoskrnl,NtFlushBuffersFile
0,76,0xf8010d9894d0,ntoskrnl,NtApphelpCacheControl
0,77,0xf8010dba3540,ntoskrnl,NtCreateProcessEx
0,78,0xf8010dba35e0,ntoskrnl,NtCreateThread
0,79,0xf8010d9f2e60,ntoskrnl,NtIsProcessInJob
0,80,0xf8010d8b1c50,ntoskrnl,NtProtectVirtualMemory
0,81,0xf8010d9e4170,ntoskrnl,NtQuerySection
0,82,0xf8010d9d7500,ntoskrnl,NtResumeThread
0,83,0xf8010d8a28a0,ntoskrnl,NtTerminateThread
0,84,0xf8010db6e450,ntoskrnl,NtReadRequestData
0,85,0xf8010d8c1830,ntoskrnl,NtCreateFile
0,86,0xf8010d9eb7c0,ntoskrnl,NtQueryEvent
0,87,0xf8010db6e5d0,ntoskrnl,NtWriteRequestData
0,88,0xf8010d98bfe0,ntoskrnl,NtOpenDirectoryObject
0,89,0xf8010d9dfea0,ntoskrnl,NtAccessCheckByTypeAndAuditAlarm
0,90,0xf8010dbed890,ntoskrnl,NtQuerySystemTime
0,91,0xf8010d9bb330,ntoskrnl,NtWaitForMultipleObjects
0,92,0xf8010d99f950,ntoskrnl,NtSetInformationObject
0,93,0xf8010d9f4e60,ntoskrnl,NtCancelIoFile
0,94,0xf8010d49b840,ntoskrnl,NtTraceEvent
