TreeDepth,PID,Process,Offset,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,Parent,File,File output
0,4,System,0xffffd20c152b2790,0x7ffe5000,0x7ffe5fff,VadS,PAGE_READONLY,1,1,0x0,N/A,Disabled
0,4,System,0xffffd20c152b2650,0x7ffe0000,0x7ffe0fff,VadS,PAGE_READONLY,1,1,0xffffd20c152b2790,N/A,Disabled
0,4,System,0xffffd20c152659c0,0x36780000,0x3692efff,Vad ,PAGE_READONLY,0,0,0xffffd20c152b2650,\\Windows\\SysWOW64\\ntdll.dll,Disabled
0,4,System,0xffffd20c15acb4c0,0x1b5b69a0000,0x1b5b69d4fff,Vad ,PAGE_READONLY,0,0,0xffffd20c152b2790,\\Windows\\System32\\vertdll.dll,Disabled
0,4,System,0xffffd20c15265920,0x1b5b6780000,0x1b5b6993fff,Vad ,PAGE_READONLY,0,0,0xffffd20c15acb4c0,\\Windows\\System32\\ntdll.dll,Disabled
0,4,System,0xffffd20c19b85690,0x1b5b69e0000,0x1b5b69e0fff,Vad ,PAGE_READWRITE,0,0,0xffffd20c15acb4c0,N/A,Disabled
0,100,Registry,0xffffd20c194d1380,0x1bf94320000,0x1bf9451ffff,Vad ,PAGE_READONLY,35,0,0x0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffd20c18074960,0x1bf92320000,0x1bf9251ffff,Vad ,PAGE_READONLY,32,0,0xffffd20c194d1380,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffd20c18073880,0x1bf90320000,0x1bf9051ffff,Vad ,PAGE_READONLY,88,0,0xffffd20c18074960,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffd20c18074140,0x1bf8f320000,0x1bf8f51ffff,Vad ,PAGE_READONLY,36,0,0xffffd20c18073880,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffd20c18073420,0x1bf8eb20000,0x1bf8ed1ffff,Vad ,PAGE_READONLY,111,0,0xffffd20c18074140,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffd20c18073b00,0x1bf8ea90000,0x1bf8ea9ffff,Vad ,PAGE_READONLY,0,0,0xffffd20c18073420,\\Windows\\System32\\config\\SECURITY,Disabled
0,100,Registry,0xffffd20c180736a0,0x1bf8ea80000,0x1bf8ea8ffff,Vad ,PAGE_READONLY,6,0,0xffffd20c18073b00,\\Windows\\System32\\config\\SAM,Disabled
0,100,Registry,0xffffd20c18073740,0x1bf8eaa0000,0x1bf8eb1ffff,Vad ,PAGE_READONLY,4,0,0xffffd20c18073b00,\\Windows\\System32\\config\\DEFAULT,Disabled
