TreeDepth,PID,Process,Args
0,4,System,-
0,100,Registry,-
0,436,smss.exe,\\SystemRoot\\System32\\smss.exe
0,588,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,660,wininit.exe,wininit.exe
0,680,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,760,winlogon.exe,winlogon.exe
0,804,services.exe,C:\\Windows\\system32\\services.exe
0,832,lsass.exe,C:\\Windows\\system32\\lsass.exe
0,948,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p
0,964,fontdrvhost.ex,"""fontdrvhost.exe"""
0,960,fontdrvhost.ex,"""fontdrvhost.exe"""
0,544,svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS -p
0,888,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p -s LSM
0,1044,LogonUI.exe,-
0,1052,dwm.exe,"""dwm.exe"""
0,1152,svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService -p
0,1224,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork -p
0,1232,svchost.exe,-
0,1292,svchost.exe,-
0,1304,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s Schedule
0,1360,svchost.exe,C:\\Windows\\system32\\svchost.exe -k UserProfileService -p -s ProfSvc
0,1368,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
0,1376,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
0,1512,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s UserManager
0,1540,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s nsi
0,1640,svchost.exe,C:\\Windows\\System32\\svchost.exe -k netprofm -p -s netprofm
0,1648,svchost.exe,-
0,1860,VBoxService.ex,C:\\Windows\\System32\\VBoxService.exe
