TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,436,smss.exe,0x7ff6016e0000,0x2b000,smss.exe,\\SystemRoot\\System32\\smss.exe,-1,2023-04-01 04:33:39.000000 UTC,Disabled
0,436,smss.exe,0x7ffd4cdd0000,0x214000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2023-04-01 04:33:39.000000 UTC,Disabled
0,588,csrss.exe,0x7ff780ee0000,0x7000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4cdd0000,0x214000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4a1f0000,0x19000,CSRSRV.dll,C:\\Windows\\SYSTEM32\\CSRSRV.dll,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4a1d0000,0x16000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4a1b0000,0x15000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4a720000,0x39c000,kernelbase.dll,C:\\Windows\\SYSTEM32\\kernelbase.dll,-1,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4b920000,0xc3000,kernel32.dll,C:\\Windows\\SYSTEM32\\kernel32.dll,-1,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4a180000,0x25000,winsrvext.dll,C:\\Windows\\SYSTEM32\\winsrvext.dll,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4a5d0000,0x26000,win32u.dll,C:\\Windows\\system32\\win32u.dll,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4b820000,0x29000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4a4b0000,0x113000,gdi32full.dll,C:\\Windows\\SYSTEM32\\gdi32full.dll,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4ab40000,0x9a000,msvcp_win.dll,C:\\Windows\\system32\\msvcp_win.dll,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4a600000,0x111000,ucrtbase.dll,C:\\Windows\\SYSTEM32\\ucrtbase.dll,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4aeb0000,0x1ad000,USER32.dll,C:\\Windows\\system32\\USER32.dll,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4a170000,0xf000,sxssrv.DLL,C:\\Windows\\system32\\sxssrv.DLL,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4a000000,0xac000,sxs.dll,C:\\Windows\\system32\\sxs.dll,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4cbc0000,0xae000,ADVAPI32.dll,C:\\Windows\\system32\\ADVAPI32.dll,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4b870000,0xa7000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4ba50000,0xa4000,sechost.dll,C:\\Windows\\SYSTEM32\\sechost.dll,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4cc70000,0x115000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd49f00000,0xf3000,ServicingCommon.dll,C:\\Windows\\system32\\ServicingCommon.dll,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,588,csrss.exe,0x7ffd4aac0000,0x7b000,bcryptPrimitives.dll,C:\\Windows\\SYSTEM32\\bcryptPrimitives.dll,-1,2023-04-01 04:33:41.000000 UTC,Disabled
0,660,wininit.exe,0x7ff7a9370000,0x8c000,wininit.exe,C:\\Windows\\system32\\wininit.exe,-1,2023-04-01 04:33:41.000000 UTC,Disabled
0,660,wininit.exe,0x7ffd4cdd0000,0x214000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2023-04-01 04:33:41.000000 UTC,Disabled
0,660,wininit.exe,0x7ffd4b920000,0xc3000,KERNEL32.DLL,C:\\Windows\\SYSTEM32\\KERNEL32.DLL,-1,2023-04-01 04:33:41.000000 UTC,Disabled
0,660,wininit.exe,0x7ffd4a720000,0x39c000,KERNELBASE.dll,C:\\Windows\\SYSTEM32\\KERNELBASE.dll,-1,2023-04-01 04:33:41.000000 UTC,Disabled
0,660,wininit.exe,0x7ffd4a600000,0x111000,ucrtbase.dll,C:\\Windows\\SYSTEM32\\ucrtbase.dll,6,2023-04-01 04:33:41.000000 UTC,Disabled
0,660,wininit.exe,0x7ffd4cc70000,0x115000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,6,2023-04-01 04:33:41.000000 UTC,Disabled
