TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0xc10acec9ad60,0xf80641f00000,0xb000,msisadrv,msisadrv,\\Driver\\msisadrv
0,0xc10acecbbe30,0xf8063ca00000,0x0,\\Driver\\PnpManager,PnpManager,\\Driver\\PnpManager
0,0xc10acecc8480,0xf80642130000,0x31000,pdc,pdc,\\Driver\\pdc
0,0xc10acecd4180,0xf80642920000,0x5c000,VBoxGuest,VBoxGuest,\\Driver\\VBoxGuest
0,0xc10acecd4be0,0xf806424d0000,0x24000,EhStorClass,EhStorClass,\\Driver\\EhStorClass
0,0xc10acecd84f0,0xf80663020000,0xd1000,PEAUTH,PEAUTH,\\Driver\\PEAUTH
0,0xc10acecd8dc0,0xf80642980000,0xf000,Fs_Rec,Fs_Rec,\\FileSystem\\Fs_Rec
0,0xc10acecd9280,0xf80641810000,0x76000,FltMgr,FltMgr,\\FileSystem\\FltMgr
0,0xc10acece5da0,0xf806420f0000,0x16000,pcw,pcw,\\Driver\\pcw
0,0xc10acece6af0,0xf806422c0000,0x1c000,volmgr,volmgr,\\Driver\\volmgr
0,0xc10acece6d00,0xf806422e0000,0x64000,volmgrx,volmgrx,\\Driver\\volmgrx
0,0xc10aced03060,0xf80642190000,0x33000,partmgr,partmgr,\\Driver\\partmgr
0,0xc10aced03650,0xf806421d0000,0xe1000,spaceport,spaceport,\\Driver\\spaceport
0,0xc10aced0acb0,0xf80642110000,0x1c000,vdrvroot,vdrvroot,\\Driver\\vdrvroot
0,0xc10aced0b060,0xf80641890000,0x2c000,KSecDD,KSecDD,\\Driver\\KSecDD
0,0xc10aced0c060,0xf806425e0000,0x336000,Ntfs,Ntfs,\\FileSystem\\Ntfs
0,0xc10aced15a30,0xf80642500000,0x1c000,FileInfo,FileInfo,\\FileSystem\\FileInfo
0,0xc10aced16d60,0xf80642520000,0x47000,Wof,Wof,\\FileSystem\\Wof
0,0xc10aced185c0,0xf80642570000,0x6e000,WdFilter,WdFilter,\\FileSystem\\WdFilter
0,0xc10aced1cc10,0xf8063ca00000,0x0,\\Driver\\ACPI_HAL,ACPI_HAL,\\Driver\\ACPI_HAL
0,0xc10aced1ce20,0xf8063ca00000,0x0,\\Driver\\WMIxWDM,WMIxWDM,\\Driver\\WMIxWDM
0,0xc10aced3ae00,0xf8063ca00000,0x0,\\Driver\\DeviceApi,DeviceApi,\\Driver\\DeviceApi
0,0xc10aced52e50,0xf80662e20000,0x26000,bowser,bowser,\\FileSystem\\bowser
0,0xc10aced6be30,0xf806420c0000,0x13000,IntelPMT,IntelPMT,\\Driver\\IntelPMT
0,0xc10aced73b00,0xf80641c50000,0x27000,acpiex,acpiex,\\Driver\\acpiex
0,0xc10aced73d10,0xf80642020000,0x7a000,intelpep,intelpep,\\Driver\\intelpep
0,0xc10aced79e50,0xf80662f70000,0x2e000,Ndu,Ndu,\\Driver\\Ndu
0,0xc10aced7edf0,0xf80641a70000,0xbd000,CNG,CNG,\\Driver\\CNG
0,0xc10aced80c10,0xf80641c40000,0xe000,PRM,PRM,\\Driver\\PRM
0,0xc10aced86e30,0xf806420a0000,0x18000,WindowsTrustedRT,WindowsTrustedRT,\\Driver\\WindowsTrustedRT
0,0xc10aced8db00,0xf80641c80000,0x5e000,MsSecFlt,MsSecFlt,\\Driver\\MsSecFlt
0,0xc10aced97b00,0xf80641ce0000,0x1c000,SgrmAgent,SgrmAgent,\\Driver\\SgrmAgent
0,0xc10aced9cb00,0xf80641d00000,0xa000,lxss,lxss,\\Driver\\lxss
0,0xc10aceda4d20,0xf80641f10000,0x8a000,pci,pci,\\Driver\\pci
0,0xc10acedadd60,0xf80641fa0000,0x57000,TPM,TPM,\\Driver\\TPM
0,0xc10acedc4730,0xf80642990000,0x18f000,NDIS,NDIS,\\Driver\\NDIS
0,0xc10aceddb900,0xf80641650000,0x6e000,CLFS,CLFS,\\Driver\\CLFS
0,0xc10acedec7c0,0xf806420e0000,0xb000,WindowsTrustedRTProxy,WindowsTrustedRTProxy,\\Driver\\WindowsTrustedRTProxy
0,0xc10acedece30,0xf80641e30000,0xb8000,ACPI,ACPI,\\Driver\\ACPI
0,0xc10acedf1cb0,0x0,0x0,-,RAW,\\FileSystem\\RAW
0,0xc10acedfce50,0xf8064f9e0000,0x19000,MsLldp,MsLldp,\\Driver\\MsLldp
0,0xc10acee19e20,0xf8063ca00000,0x0,\\Driver\\SoftwareDevice,SoftwareDevice,\\Driver\\SoftwareDevice
0,0xc10acee22060,0xf80642350000,0x1f000,mountmgr,mountmgr,\\Driver\\mountmgr
0,0xc10acee22620,0xf80642370000,0x32000,storahci,storahci,\\Driver\\storahci
0,0xc10acee82e00,0xf80641b30000,0xc7000,Wdf01000,Wdf01000,\\Driver\\Wdf01000
0,0xc10acee82e40,0xf80641bed010,0x0,-,-,區荈⃬譈뢂
0,0xc10acf45d890,0xf80643280000,0x13000,iorate,iorate,\\Driver\\iorate
0,0xc10acf45dcb0,0xf806432c0000,0x20000,disk,disk,\\Driver\\disk
0,0xc10acf471e10,0xf80644b90000,0xa000,Beep,Beep,\\Driver\\Beep
0,0xc10acf47ed50,0xf80644b40000,0x16000,FileCrypt,FileCrypt,\\FileSystem\\FileCrypt
0,0xc10acf480d90,0xf80644b00000,0x32000,cdrom,cdrom,\\Driver\\cdrom
0,0xc10acf486a10,0xf806478b0000,0xe000,hvsocketcontrol,hvsocketcontrol,\\Driver\\hvsocketcontrol
0,0xc10acf4892d0,0xf80644b80000,0xb000,Null,Null,\\Driver\\Null
0,0xc10acf48baa0,0xf80648380000,0x1c000,Npfs,Npfs,\\FileSystem\\Npfs
0,0xc10acf48bcb0,0xf806483a0000,0x12000,Msfs,Msfs,\\FileSystem\\Msfs
0,0xc10acf48d830,0xf806479f0000,0x5c000,ahcache,ahcache,\\Driver\\ahcache
0,0xc10acf48da80,0xf806483c0000,0x28000,CimFS,CimFS,\\FileSystem\\CimFS
0,0xc10acf48ecf0,0xf80647870000,0x10000,npsvctrig,npsvctrig,\\Driver\\npsvctrig
0,0xc10acf48fd20,0xf80647200000,0x24000,tdx,tdx,\\Driver\\tdx
0,0xc10acf5ecaf0,0xf80642bc0000,0x33000,fse,fse,\\Driver\\fse
0,0xc10acf5edd20,0xf80642c90000,0x35000,KSecPkg,KSecPkg,\\Driver\\KSecPkg
0,0xc10acf5eeaf0,0xf80642cd0000,0x330000,Tcpip,Tcpip,\\Driver\\Tcpip
0,0xc10acf67ad50,0xf80643160000,0xb000,volume,volume,\\Driver\\volume
0,0xc10acf680cc0,0xf80643080000,0xd4000,fvevol,fvevol,\\Driver\\fvevol
0,0xc10acf6928f0,0xf80643050000,0xf000,VmsProxy,VmsProxy,\\Driver\\VmsProxy
0,0xc10acf692d70,0xf80643060000,0x10000,VMSNPXY,VMSNPXY,\\Driver\\VMSNPXY
0,0xc10acf6d28f0,0xf806633f0000,0x9000,ad_driver,ad_driver,\\Driver\\ad_driver
0,0xc10acf6da960,0xf80643010000,0x31000,WFPLWFS,WFPLWFS,\\Driver\\WFPLWFS
0,0xc10acf6de8f0,0xf80643170000,0x70000,volsnap,volsnap,\\Driver\\volsnap
0,0xc10acf6deb00,0xf806431f0000,0x51000,rdyboost,rdyboost,\\Driver\\rdyboost
0,0xc10acf6f4d00,0xf80643250000,0x27000,Mup,Mup,\\FileSystem\\Mup
0,0xc10acf6fbe40,0xf80647a50000,0x13000,HidUsb,HidUsb,\\Driver\\HidUsb
0,0xc10acf7c4060,0xf80662f20000,0x4e000,mrxsmb20,mrxsmb20,\\FileSystem\\mrxsmb20
0,0xc10acf7e8d80,0xf80647960000,0x6e000,fastfat,fastfat,\\FileSystem\\fastfat
0,0xc10acf7ecd00,0xf80647e90000,0x479000,DXGKrnl,DXGKrnl,\\Driver\\DXGKrnl
0,0xc10acf7edd40,0x854d01600000,0x0,\\Driver\\Win32k,Win32k,\\Driver\\Win32k
0,0xc10acf981b10,0xf8063ca00000,0x0,\\Driver\\WscVReg,WscVReg,\\Driver\\WscVReg
0,0xc10acf98ac90,0xf80647570000,0x15000,NdisCap,NdisCap,\\Driver\\NdisCap
0,0xc10acf99bb40,0xf80647630000,0xc8000,Vid,Vid,\\Driver\\Vid
0,0xc10acf99bd50,0xf80647730000,0x7d000,rdbss,rdbss,\\FileSystem\\rdbss
0,0xc10acf99cd80,0xf80647c60000,0x24080,E1G60,E1G60,\\Driver\\E1G60
0,0xc10acf99ee20,0xf806477b0000,0x94000,CSC,CSC,\\Driver\\CSC
0,0xc10acf9aae10,0xf806479d0000,0x1a000,bam,bam,\\Driver\\bam
0,0xc10acf9ab060,0xf80647d70000,0x4d000,intelppm,intelppm,\\Driver\\intelppm
0,0xc10acfa67e30,0xf80648340000,0x17000,BasicDisplay,BasicDisplay,\\Driver\\BasicDisplay
0,0xc10acfa75d80,0xf80648360000,0x12000,BasicRender,BasicRender,\\Driver\\BasicRender
0,0xc10acfb3c060,0xf80662fa0000,0x16000,MMCSS,MMCSS,\\Driver\\MMCSS
0,0xc10acfbc6a50,0xf80647890000,0x11000,mssmbios,mssmbios,\\Driver\\mssmbios
0,0xc10acfbc6d20,0xf80647250000,0x51000,NetBT,NetBT,\\Driver\\NetBT
0,0xc10acfbc88f0,0xf80647850000,0x13000,nsiproxy,nsiproxy,\\Driver\\nsiproxy
0,0xc10acfbc9ce0,0xf806472b0000,0x14000,afunix,afunix,\\Driver\\afunix
0,0xc10acfbcacc0,0xf806478f0000,0x2d000,Dfsc,Dfsc,\\FileSystem\\Dfsc
0,0xc10acfbccd80,0xf806472d0000,0xa9000,AFD,AFD,\\Driver\\AFD
0,0xc10acfbd0e00,0xf80647380000,0x1b000,vwififlt,vwififlt,\\Driver\\vwififlt
0,0xc10acfbd1e00,0xf806473a0000,0x193000,VfpExt,VfpExt,\\Driver\\VfpExt
0,0xc10acfbd7c90,0xf80647590000,0x15000,NetBIOS,NetBIOS,\\FileSystem\\NetBIOS
0,0xc10acfbe0c90,0xf806475b0000,0x7e000,VBoxSF,VBoxSF,\\FileSystem\\VBoxSF
0,0xc10acfbe3db0,0xf80647540000,0x2b000,Psched,Psched,\\Driver\\Psched
0,0xc10acfc30b90,0xf80647b00000,0x17000,umbus,umbus,\\Driver\\umbus
0,0xc10acfc30da0,0xf80647b20000,0x27000,i8042prt,i8042prt,\\Driver\\i8042prt
0,0xc10acfc32c70,0xf80647b50000,0x15000,kbdclass,kbdclass,\\Driver\\kbdclass
0,0xc10acfc34b50,0xf80647b70000,0x4d000,VBoxMouse,VBoxMouse,\\Driver\\VBoxMouse
0,0xc10acfc34d60,0xf80647bc0000,0x15000,mouclass,mouclass,\\Driver\\mouclass
0,0xc10acfc3ad90,0xf80647d30000,0x12000,CmBatt,CmBatt,\\Driver\\CmBatt
0,0xc10acfc5fe30,0xf80647c90000,0x10000,usbohci,usbohci,\\Driver\\usbohci
0,0xc10acfc62e20,0xf80647ad0000,0x14000,CompositeBus,CompositeBus,\\Driver\\CompositeBus
0,0xc10acfc63e30,0xf80647af0000,0xf000,kdnic,kdnic,\\Driver\\kdnic
0,0xc10acfc6ade0,0xf80647be0000,0x7f000,VBoxWddm,VBoxWddm,\\Driver\\VBoxWddm
0,0xc10acfc6ae30,0xf806482183b0,0x48015a50,-,-,荈⣬譈쟊あ쀀툳௨룿쀀荈⣄쳃쳌쳌쳌쳌쳌쳌쳌쳌荈⣬譈ꢉ
0,0xc10acfcaa060,0xf80647dc0000,0x39000,vpcivsp,vpcivsp,\\Driver\\vpcivsp
0,0xc10acfcaa9a0,0xf80644eb0000,0xd4000,srv2,srv2,\\FileSystem\\srv2
0,0xc10acfcaddf0,0xf80647e00000,0x41000,storvsp,storvsp,\\Driver\\storvsp
0,0xc10acfcaee00,0xf80647e80000,0xe000,NdisVirtualBus,NdisVirtualBus,\\Driver\\NdisVirtualBus
0,0xc10acfcb7060,0xf806483f0000,0xc000,swenum,swenum,\\Driver\\swenum
0,0xc10acfcb7920,0xf80647920000,0x10000,rdpbus,rdpbus,\\Driver\\rdpbus
0,0xc10ad347be30,0xf80644c30000,0x86000,usbhub,usbhub,\\Driver\\usbhub
0,0xc10ad39b1440,0xf80644ce0000,0x11000,mouhid,mouhid,\\Driver\\mouhid
0,0xc10ad39b8e50,0xf8064f970000,0x1b000,storqosflt,storqosflt,\\FileSystem\\storqosflt
0,0xc10ad39b8ed0,0xf8063cd71de0,0x3cd71de0,-,\\FileSystem\\storqosflt,荈⣬譈쟊あ쀀툳௨룿쀀荈⣄쳃쳌쳌쳌쳌쳌쳌쳌쳌荈⣬譈ꢉ
0,0xc10ad39c0e30,0xf80644e90000,0x1e000,monitor,monitor,\\Driver\\monitor
0,0xc10ad39c0eb0,0xf80641b37ac0,0x41b37ac0,-,\\Driver\\monitor,襈⑜䠈沉ᠤ襈⑴圠荈䃬譈䣚曆譈뢒
0,0xc10ad3dece30,0xf80662e70000,0xa0000,mrxsmb,mrxsmb,\\FileSystem\\mrxsmb
0,0xc10ad3e26e30,0xf80662e50000,0x1b000,mpsdrv,mpsdrv,\\Driver\\mpsdrv
