TreeDepth,Offset,Name
0,0xc10acf4640a0,\\Windows\\System32\\drivers\\pacer.sys
0,0xc10acf464380,\\Windows\\System32\\drivers\\VBoxSF.sys
0,0xc10acf464ab0,\\Windows\\System32\\drivers\\ndiscap.sys
0,0xc10acf464d90,\\Windows\\System32\\drivers\\vfpext.sys
0,0xc10acf465630,\\Windows\\System32\\drivers\\netbios.sys
0,0xc10acf465bf0,\\Windows\\System32\\drivers\\vwififlt.sys
0,0xc10acf49b210,\\Windows\\System32\\drivers\\cimfs.sys
0,0xc10acf49b660,\\Windows\\System32\\drivers\\npfs.sys
0,0xc10acf49b7d0,\\Windows\\System32\\drivers\\netbt.sys
0,0xc10acf49bc20,\\Windows\\System32\\drivers\\afunix.sys
0,0xc10acf49c350,\\Windows\\System32\\drivers\\tdx.sys
0,0xc10acf49ca80,\\Windows\\System32\\drivers\\tdi.sys
0,0xc10acf49cbf0,\\Windows\\System32\\drivers\\afd.sys
0,0xc10acf49ced0,\\Windows\\System32\\drivers\\msfs.sys
0,0xc10acf5d8940,\\$Mft
0,0xc10acf5d9a80,\\$MftMirr
0,0xc10acf5d9d60,\\Windows\\System32\\drivers\\dumpfve.sys
0,0xc10acf5d9ed0,\\$LogFile
0,0xc10acf724bb0,\\Windows\\System32\\config\\SYSTEM.LOG2
0,0xc10acf724ed0,\\Windows
0,0xc10acf8290a0,\\$Extend\\$RmMetadata\\$Repair:$Verify:$DATA
0,0xc10acf8294f0,\\Device\\HarddiskVolume4\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xc10acf829660,\\Windows\\System32\\drivers\\storahci.sys
0,0xc10acf8297d0,\\$Extend\\$RmMetadata\\$Repair:$Corrupt:$DATA
0,0xc10acf829940,\\$BitMap
0,0xc10acf829c20,\\$Extend\\$RmMetadata\\$Repair
0,0xc10acf829d90,\\$Mft::$BITMAP
0,0xc10acf82a070,\\$Secure:$SII:$INDEX_ALLOCATION
0,0xc10acf82a350,\\:$I30:$INDEX_ALLOCATION
0,0xc10acf82a4c0,\\$Extend:$I30:$INDEX_ALLOCATION
0,0xc10acf82a630,\\$Directory
0,0xc10acf82a7a0,\\$Extend\\$Deleted:$I30:$INDEX_ALLOCATION
0,0xc10acf82aa80,\\$Extend\\$UsnJrnl:$J:$DATA
0,0xc10acf82ad60,\\$Secure:$SDS:$DATA
0,0xc10acf82aed0,\\$Directory
0,0xc10acf9090c0,\\Windows\\SysWOW64\\comdlg32.dll
0,0xc10acf909250,\\Windows\\SysWOW64\\KernelBase.dll
0,0xc10acf9093e0,\\Windows\\SysWOW64\\combase.dll
0,0xc10acf909570,\\Windows\\SysWOW64\\msvcp_win.dll
0,0xc10acf909700,\\Windows\\SysWOW64\\ucrtbase.dll
0,0xc10acf909890,\\ProtectedPrefix
0,0xc10acf909a20,\\Windows\\SysWOW64\\imagehlp.dll
0,0xc10acf909bb0,\\Windows\\SysWOW64\\psapi.dll
0,0xc10acf909d40,\\Windows\\SysWOW64\\coml2.dll
0,0xc10acf909ed0,\\Windows\\SysWOW64\\shlwapi.dll
0,0xc10acf90a1f0,\\ProtectedPrefix
0,0xc10acf90a380,\\ProtectedPrefix\\Administrators
0,0xc10acf90a510,\\ProtectedPrefix\\Administrators
0,0xc10acf90a6a0,\\Windows\\SysWOW64\\clbcatq.dll
0,0xc10acf90a830,\\ProtectedPrefix\\LocalService
0,0xc10acf90a9c0,\\Windows\\SysWOW64\\nsi.dll
0,0xc10acf90ab50,\\ProtectedPrefix\\LocalService
0,0xc10acf90ace0,\\ProtectedPrefix\\NetWorkService
0,0xc10acf90ae70,\\Windows\\SysWOW64\\Wldap32.dll
0,0xc10acfa080a0,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops
0,0xc10acfa08380,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops:$T:$DATA
0,0xc10acfa084f0,KtmLog
0,0xc10acfa087d0,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,0xc10acfa08c20,\\$Directory
0,0xc10acfa08d90,\\$Extend\\$RmMetadata\\$Txf:$I30:$INDEX_ALLOCATION
0,0xc10acfa094c0,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
0,0xc10acfa09630,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,0xc10acfa09910,\\Device\\HarddiskVolume4\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xc10acfa09a80,TxfLog
0,0xc10acfa09bf0,\\Device\\HarddiskVolume4\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xc10acfa09d60,\\Windows\\System32\\drivers\\crashdmp.sys
0,0xc10acfa0a4f0,\\$Secure:$SDH:$INDEX_ALLOCATION
0,0xc10acfa0a660,\\Windows\\System32\\drivers\\Diskdump.sys
0,0xc10acfa0a7d0,\\$Directory
0,0xc10acfa0ad90,\\$Extend\\$Reparse:$R:$INDEX_ALLOCATION
0,0xc10acfa0b350,\\:$I30:$INDEX_ALLOCATION
0,0xc10acfa0b630,\\$Directory
0,0xc10acfa0bbf0,\\$Directory
0,0xc10acfa0bed0,\\Windows\\System32\\drivers\\en-US\\ntfs.sys.mui
0,0xc10acfab6660,\\$Directory
0,0xc10acfab6c20,\\Windows\\System32\\DriverStore\\FileRepository\\basicdisplay.inf_amd64_02da009b3d736cc1\\BasicDisplay.sys
0,0xc10acfab6d90,\\Windows\\System32\\DriverStore\\FileRepository\\basicrender.inf_amd64_f7df692e0f5ee07f\\BasicRender.sys
0,0xc10acfab7910,\\Windows\\System32\\drivers\\beep.sys
0,0xc10acfab7a80,\\Windows\\System32\\drivers\\watchdog.sys
0,0xc10acfab7bf0,\\Windows\\System32\\drivers\\null.sys
0,0xc10acfab7d60,\\Windows\\System32\\drivers\\dxgkrnl.sys
0,0xc10acfae84f0,\\Windows\\System32\\vertdll.dll
0,0xc10acfae8660,\\Windows\\System32\\drivers\\cdrom.sys
0,0xc10acfae8d90,\\Windows\\System32\\drivers\\tbs.sys
0,0xc10acfae91e0,\\Windows\\System32\\drivers\\filecrypt.sys
0,0xc10acfae94c0,\\$Directory
0,0xc10acfae9630,\\Windows\\System32\\ntdll.dll
0,0xc10acfae9910,\\Windows\\SysWOW64\\ntdll.dll
0,0xc10acfae9bf0,\\$Directory
0,0xc10acfba90d0,\\Windows\\System32\\basesrv.dll
0,0xc10acfba9260,\\Windows\\System32\\en-US\\winsrv.dll.mui
0,0xc10acfba9580,\\$Directory
0,0xc10acfba9710,\\Windows\\System32
0,0xc10acfba98a0,\\Windows\\System32
