TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0xc10acecb4040,0x4,Process,0x1fffff,System Pid 4
0,4,System,0xc10aced45080,0x8,Thread,0x1fffff,Tid 48 Pid 4
0,4,System,0x9f093b41c5c0,0xc,Section,0x17,-
0,4,System,0xc10acec7b460,0x10,Mutant,0x1f0001,BcdSyncMutant
0,4,System,0x9f0938e1f5f0,0x14,Directory,0xf000f,GLOBAL??
0,4,System,0x9f0938e2cd50,0x18,Directory,0xf000f,CpuPartitions
0,4,System,0xc10aceca9370,0x1c,Partition,0x1f0003,MemoryPartition0
0,4,System,0x9f0938e55d10,0x20,Directory,0xf000f,-
0,4,System,0x9f0938e48410,0x24,Directory,0xf000f,KernelObjects
0,4,System,0xc10acecb8aa0,0x28,Event,0x1f0003,LowPagedPoolCondition
0,4,System,0xc10acecb8ca0,0x2c,Event,0x1f0003,HighPagedPoolCondition
0,4,System,0xc10acecb8620,0x30,Event,0x1f0003,LowNonPagedPoolCondition
0,4,System,0xc10acecb8c20,0x34,Event,0x1f0003,HighNonPagedPoolCondition
0,4,System,0xc10acecb80a0,0x38,Event,0x1f0003,LowMemoryCondition
0,4,System,0xc10acecb83a0,0x3c,Event,0x1f0003,HighMemoryCondition
0,4,System,0xc10acecb8b20,0x40,Event,0x1f0003,LowCommitCondition
0,4,System,0xc10acecb8120,0x44,Event,0x1f0003,HighCommitCondition
0,4,System,0xc10acecb81a0,0x48,Event,0x1f0003,MaximumCommitCondition
0,4,System,0xc10acecb8720,0x4c,Event,0x1f0003,MemoryErrors
0,4,System,0xc10acecb8220,0x50,Event,0x1f0003,PhysicalMemoryChange
0,4,System,0xc10acee7d080,0x54,Process,0x1fffff,Registry Pid 100
0,4,System,0xc10acecc6080,0x58,Thread,0x1fffff,Tid 92 Pid 4
0,4,System,0x9f0938e8c1a0,0x5c,Key,0x0,-
0,4,System,0x9f0939296bb0,0x60,SymbolicLink,0xf0001,ACPI#MSFT0101#2&daba3ff&0#{699fb98e-500b-4a5a-ba05-5f26d51168ad}
0,4,System,0x9f0938f90e80,0x64,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0x9f09394496e0,0x68,SymbolicLink,0xf0001,ROOT#spaceport#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0x9f09392eee70,0x6c,Key,0xf003f,MACHINE\\SYSTEM\\HARDWARECONFIG\\{A00EB73B-4EA6-42C1-B4CC-A4C5A1A665EE}\\PRODUCTIDS
0,4,System,0x9f0939296e80,0x70,SymbolicLink,0xf0001,ACPI#FixedButton#2&daba3ff&0#{4afa3d53-74a7-11d0-be5e-00a0c9062857}
0,4,System,0xc10acecc88c0,0x74,ALPC Port,0x1f0001,PdcPort
0,4,System,0x9f0938f91b40,0x78,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\NOTIFICATIONS
0,4,System,0x9f0938ec8150,0x7c,SymbolicLink,0xf0001,DriverStores
0,4,System,0x9f0938f912c0,0x80,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0x9f0938f910a0,0x84,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LEAPSECONDINFORMATION
0,4,System,0x9f0939384460,0x88,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\MUP
0,4,System,0x9f0938f91d60,0x8c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT\\PREFETCHPARAMETERS
0,4,System,0x9f0938f911b0,0x90,Key,0x2001f,MACHINE\\SYSTEM\\SETUP
0,4,System,0xc10acec77b60,0x94,ALPC Port,0x1f0001,PowerPort
0,4,System,0xc10ad4115560,0x98,Event,0x1f0003,-
0,4,System,0xc10acec9b590,0x9c,ALPC Port,0x1f0001,SleepstudyControlPort
0,4,System,0xc10acec77dc0,0xa0,ALPC Port,0x1f0001,PowerMonitorPort
0,4,System,0x9f0938f91700,0xa4,Key,0x11,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER
0,4,System,0x9f0938efbdb0,0xa8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0x9f0938ef7e80,0xac,Key,0xf003f,MACHINE\\SYSTEM\\DRIVERDATABASE
0,4,System,0x9f0938efbea0,0xb0,Key,0xf003f,MACHINE\\SYSTEM
0,4,System,0x9f0938efb090,0xb4,Key,0xf003f,USER
0,4,System,0xc10acec810f0,0xb8,Event,0x1f0003,-
0,4,System,0x9f0938f90d70,0xbc,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\ENUM
0,4,System,0x9f09392ee4e0,0xc0,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0x9f0938efb810,0xc4,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0x9f09392ed3e0,0xc8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECONTAINERS
0,4,System,0x9f09392ed4f0,0xcc,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS
0,4,System,0x9f09392ee700,0xd0,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICEPANELS
0,4,System,0x9f09392edc60,0xd4,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\PNP
0,4,System,0x9f09392ede80,0xd8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES
0,4,System,0x9f09392ed710,0xdc,Key,0xf003f,MACHINE\\SYSTEM\\HARDWARECONFIG
0,4,System,0x9f093942b1c0,0xe0,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{D4140C81-EBBA-4E60-8561-6918290359CD}\\{35037BB4-9528-481D-8CB2-8FCC63A9DD81}
0,4,System,0x9f0938efb360,0xe4,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\HARDWARE PROFILES
0,4,System,0x9f093966d420,0xe8,SymbolicLink,0xf0001,PCI#VEN_8086&DEV_100E&SUBSYS_001E8086&REV_02#3&267a616a&0&18#{ad498944-762f-11d0-8dcb-00c04fc3358c}
0,4,System,0x9f0939296a00,0xec,SymbolicLink,0xf0001,ACPI_HAL#PNP0C08#0#{15c5e253-b8c4-452e-99df-461d0f5078c8}
0,4,System,0x9f09392eed60,0xf0,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\WMI\\SECURITY
0,4,System,0x9f093942bc60,0xf4,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{0DA965DC-8FCF-4C0B-8EFE-8DD5E7BC959A}\\{7E01ADEF-81E6-4E1B-8075-56F373584694}
0,4,System,0xc10acecb85a0,0xf8,Event,0x1f0003,HvlWithdrawAllowed
0,4,System,0x9f093942ca30,0xfc,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{8BC6262C-C026-411D-AE3B-7E2F70811A13}\\{C072EEBB-1955-4FA9-B4BA-421E96E1D674}
0,4,System,0x9f09392ee5f0,0x100,Key,0xf003f,MACHINE\\SYSTEM\\RNG
0,4,System,0x9f09392ee810,0x104,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\ACPI\\PARAMETERS
0,4,System,0x9f093942b2d0,0x108,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{0AABB002-A307-447E-9B81-1D819DF6C6D0}\\{CE74AA52-A71A-4036-BEEF-B6C411010E28}
0,4,System,0x9f093942b3e0,0x10c,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{EE1E4F72-E368-46B1-B3C6-5048B11C2DBD}\\{9C1F0DBA-33E9-43AF-9EDA-A607AA5139DA}
0,4,System,0x9f093944a190,0x110,SymbolicLink,0xf0001,ROOT#vdrvroot#0000#{2e34d650-5819-42ca-84ae-d30803bae505}
0,4,System,0x9f093942b600,0x114,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{2E92E666-C3F6-42C3-89BD-94D40FABCDE5}\\{8E1DE581-98C4-4290-A68B-7B7F1730E894}
0,4,System,0xc10acfa82ca0,0x118,ALPC Port,0x1f0001,SeRmCommandPort
0,4,System,0xc10acece6040,0x11c,Thread,0x1fffff,Tid 276 Pid 4
0,4,System,0x9f09394494a0,0x120,SymbolicLink,0xf0001,ROOT#spaceport#0000#{ef66a56f-88d1-4cd8-98c4-49faf57ad8af}
0,4,System,0x9f09392882f0,0x124,Token,0xe,-
0,4,System,0xc10acf9af580,0x128,Thread,0x1fffff,Tid 408 Pid 4
0,4,System,0x9f0939445e70,0x12c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\{7746D80F-97E0-4E26-9543-26B41FC22F79}\\{59AEE675-B203-4D61-9A1F-04518A20F359}
0,4,System,0xc10acfc881d0,0x130,File,0x12019f,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,4,System,0xc10acfc71960,0x134,Event,0x1f0003,-
0,4,System,0x9f09398622c0,0x138,Key,0x9,MACHINE\\SOFTWARE\\MICROSOFT\\WINDOWS NT\\CURRENTVERSION\\IMAGE FILE EXECUTION OPTIONS
0,4,System,0xc10ad3b53140,0x13c,Process,0x40,csrss.exe Pid 588
0,4,System,0x9f0938f87640,0x140,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\FILESYSTEM
0,4,System,0x9f093950a4f0,0x144,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\{7746D80F-97E0-4E26-9543-26B41FC22F79}\\{A25AE4F2-1B96-4CED-8007-AA30E9B1A218}
0,4,System,0xc10acf9ac040,0x148,Thread,0x1fffff,Tid 424 Pid 4
0,4,System,0x9f093b41d060,0x14c,Section,0x17,-
0,4,System,0xc10acfc8acf0,0x150,File,0x13008b,\\Device\\HarddiskVolume4\\Windows\\System32\\LogFiles\\WMI\\RtBackup\\EtwRTDiagLog.etl
0,4,System,0x9f093950a3e0,0x154,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\DFSC\\PARAMETERS
0,4,System,0xc10acfc81040,0x158,Thread,0x1fffff,Tid 496 Pid 4
0,4,System,0x9f093950a930,0x15c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\{7746D80F-97E0-4E26-9543-26B41FC22F79}\\{D73E01AC-F5A0-4D80-928B-33C1920C38BA}
0,4,System,0x9f093942c810,0x160,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\{7746D80F-97E0-4E26-9543-26B41FC22F79}\\{FB9F5B62-B48B-45F5-8586-E514958C92E2}
0,4,System,0xc10acfc9a610,0x164,File,0x12019f,\\Device\\Tcp
0,4,System,0xc10acfbe8080,0x168,File,0x120116,\\Device\\Mup
0,4,System,0x9f0939444930,0x16c,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LSA
0,4,System,0xc10acfc6b040,0x170,Process,0x102a,smss.exe Pid 436
0,4,System,0xc10acf464660,0x174,File,0x120116,\\Device\\Mup
0,4,System,0x9f093950aa40,0x178,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\{7746D80F-97E0-4E26-9543-26B41FC22F79}\\{221601AB-48C7-4970-B0EC-96E66F578407}
0,4,System,0xc10ad39e61d0,0x17c,File,0x12019f,\\Device\\HarddiskVolume4\\Windows\\System32\\config\\TxR\\{a2332ecf-cdbf-11ec-8680-002248483d79}.TxR.blf
0,4,System,0x9f093966dae0,0x180,SymbolicLink,0xf0001,PCI#VEN_8086&DEV_100E&SUBSYS_001E8086&REV_02#3&267a616a&0&18#{cac88484-7515-4c03-82e6-71a87abac361}
