TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xc10acec821b0,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,1040,svchost.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10acec82b50,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,1040,svchost.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10acec82b50,TCPv6,::,49667,::,0,LISTENING,1040,svchost.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10aceebf230,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,544,svchost.exe,2023-04-01 04:33:41.000000 UTC
0,0xc10acfcf6050,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,832,lsass.exe,2023-04-01 04:33:41.000000 UTC
0,0xc10acfcf6050,TCPv6,::,49664,::,0,LISTENING,832,lsass.exe,2023-04-01 04:33:41.000000 UTC
0,0xc10acfcf7e90,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,832,lsass.exe,2023-04-01 04:33:41.000000 UTC
0,0xc10ad3d05aa0,TCPv4,10.0.2.55,49941,68.219.88.225,443,ESTABLISHED,-,-,N/A
0,0xc10ad3eb31b0,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1304,svchost.exe,2023-04-01 04:33:41.000000 UTC
0,0xc10ad3eb3310,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1304,svchost.exe,2023-04-01 04:33:41.000000 UTC
0,0xc10ad3eb3310,TCPv6,::,49666,::,0,LISTENING,1304,svchost.exe,2023-04-01 04:33:41.000000 UTC
0,0xc10ad3eb39f0,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,544,svchost.exe,2023-04-01 04:33:41.000000 UTC
0,0xc10ad3eb39f0,TCPv6,::,135,::,0,LISTENING,544,svchost.exe,2023-04-01 04:33:41.000000 UTC
0,0xc10ad3eb3e10,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,660,wininit.exe,2023-04-01 04:33:41.000000 UTC
0,0xc10ad3eb3e10,TCPv6,::,49665,::,0,LISTENING,660,wininit.exe,2023-04-01 04:33:41.000000 UTC
0,0xc10ad3eb4390,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,660,wininit.exe,2023-04-01 04:33:41.000000 UTC
0,0xc10ad3eb4bd0,TCPv4,10.0.2.55,139,0.0.0.0,0,LISTENING,4,System,2023-03-31 20:33:45.000000 UTC
0,0xc10ad4218aa0,TCPv4,10.0.2.55,49930,204.79.197.200,443,CLOSED,-,-,N/A
0,0xc10ad42b8290,UDPv4,0.0.0.0,0,*,0,,1868,svchost.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10ad42b8290,UDPv6,::,0,*,0,,1868,svchost.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10ad42b90a0,UDPv4,10.0.2.55,137,*,0,,4,System,2023-03-31 20:33:45.000000 UTC
0,0xc10ad42ba680,UDPv4,10.0.2.55,138,*,0,,4,System,2023-03-31 20:33:45.000000 UTC
0,0xc10ad42bc430,UDPv4,0.0.0.0,5353,*,0,,1868,svchost.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10ad42bc430,UDPv6,::,5353,*,0,,1868,svchost.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10ad42be500,UDPv4,0.0.0.0,5353,*,0,,1868,svchost.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10ad43d54e0,TCPv4,10.0.2.55,49813,23.48.165.32,443,CLOSED,-,-,N/A
0,0xc10ad43e5050,UDPv4,127.0.0.1,51513,*,0,,1640,svchost.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10ad457f740,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2728,spoolsv.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10ad457f740,TCPv6,::,49668,::,0,LISTENING,2728,spoolsv.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10ad457fa00,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,804,services.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10ad457fa00,TCPv6,::,49669,::,0,LISTENING,804,services.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10ad457fcc0,TCPv4,0.0.0.0,5040,0.0.0.0,0,LISTENING,4500,svchost.exe,2023-03-31 20:33:49.000000 UTC
0,0xc10ad4580500,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2728,spoolsv.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10ad4580660,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,804,services.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10ad4581840,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,2023-03-31 20:33:45.000000 UTC
0,0xc10ad4581840,TCPv6,::,445,::,0,LISTENING,4,System,2023-03-31 20:33:45.000000 UTC
0,0xc10ad49d8db0,UDPv4,0.0.0.0,64957,*,0,,1868,svchost.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10ad49d8db0,UDPv6,::,64957,*,0,,1868,svchost.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10ad49f54a0,UDPv4,127.0.0.1,51515,*,0,,3004,svchost.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10ad49f8b50,UDPv4,0.0.0.0,50710,*,0,,1868,svchost.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10ad49f8b50,UDPv6,::,50710,*,0,,1868,svchost.exe,2023-03-31 20:33:45.000000 UTC
0,0xc10ad4ff2b60,UDPv4,0.0.0.0,5050,*,0,,4500,svchost.exe,2023-03-31 20:33:49.000000 UTC
0,0xc10ad62bf4e0,TCPv4,10.0.2.55,49933,20.140.147.204,443,ESTABLISHED,-,-,N/A
0,0xc10ad636dbb0,UDPv4,0.0.0.0,54232,*,0,,1868,svchost.exe,2023-03-31 20:33:49.000000 UTC
0,0xc10ad636dbb0,UDPv6,::,54232,*,0,,1868,svchost.exe,2023-03-31 20:33:49.000000 UTC
0,0xc10ad64f7010,TCPv4,10.0.2.55,49799,20.90.152.133,443,ESTABLISHED,-,-,N/A
0,0xc10ad6ac9ae0,TCPv4,10.0.2.55,49929,192.229.221.95,80,ESTABLISHED,-,-,N/A
0,0xc10ad6b43010,TCPv4,10.0.2.55,49731,172.217.169.10,443,ESTABLISHED,-,-,N/A
0,0xc10ad70347d0,TCPv4,10.0.2.55,49932,13.107.238.64,443,ESTABLISHED,-,-,N/A
0,0xc10ad7154920,UDPv6,fe80::2daf:7b00:c56f:babb,52100,*,0,,7188,svchost.exe,2023-03-31 20:34:13.000000 UTC
0,0xc10ad715a230,UDPv6,::1,52101,*,0,,7188,svchost.exe,2023-03-31 20:34:13.000000 UTC
0,0xc10ad7160630,UDPv4,10.0.2.55,52102,*,0,,7188,svchost.exe,2023-03-31 20:34:13.000000 UTC
0,0xc10ad71660d0,UDPv4,127.0.0.1,52103,*,0,,7188,svchost.exe,2023-03-31 20:34:13.000000 UTC
0,0xc10ad716a400,UDPv4,10.0.2.55,1900,*,0,,7188,svchost.exe,2023-03-31 20:34:13.000000 UTC
0,0xc10ad716a8b0,UDPv6,::1,1900,*,0,,7188,svchost.exe,2023-03-31 20:34:13.000000 UTC
0,0xc10ad716aa40,UDPv6,fe80::2daf:7b00:c56f:babb,1900,*,0,,7188,svchost.exe,2023-03-31 20:34:13.000000 UTC
0,0xc10ad716c020,UDPv4,127.0.0.1,1900,*,0,,7188,svchost.exe,2023-03-31 20:34:13.000000 UTC
0,0xc10ad71f8010,TCPv4,10.0.2.55,49937,20.190.159.73,443,ESTABLISHED,-,-,N/A
0,0xc10ad7255010,TCPv4,10.0.2.55,49952,140.82.121.4,443,ESTABLISHED,-,-,N/A
0,0xc10ad7263520,TCPv4,10.0.2.55,49942,104.116.253.39,443,ESTABLISHED,-,-,N/A
0,0xc10ad72beae0,TCPv4,10.0.2.55,49928,13.107.21.200,443,ESTABLISHED,-,-,N/A
0,0xc10ad73078e0,TCPv4,10.0.2.55,49950,8.238.164.254,80,ESTABLISHED,-,-,N/A
0,0xc10ad7329010,TCPv4,10.0.2.55,49947,8.247.189.126,80,CLOSED,-,-,N/A
0,0xc10ad74d0ab0,TCPv4,10.0.2.55,49931,204.79.197.254,443,ESTABLISHED,-,-,N/A
0,0xc10ad7514010,TCPv4,10.0.2.55,49935,23.48.165.34,443,ESTABLISHED,-,-,N/A
0,0xc10ad758d9a0,TCPv4,10.0.2.55,49936,13.107.21.200,443,ESTABLISHED,-,-,N/A
0,0xc10ad7632870,UDPv4,0.0.0.0,5353,*,0,,6496,msedge.exe,2023-03-31 20:34:10.000000 UTC
0,0xc10ad7632870,UDPv6,::,5353,*,0,,6496,msedge.exe,2023-03-31 20:34:10.000000 UTC
0,0xc10ad76339a0,UDPv4,0.0.0.0,5353,*,0,,6496,msedge.exe,2023-03-31 20:34:10.000000 UTC
0,0xc10ad763bce0,UDPv4,0.0.0.0,52027,*,0,,1868,svchost.exe,2023-03-31 21:06:57.000000 UTC
0,0xc10ad763bce0,UDPv6,::,52027,*,0,,1868,svchost.exe,2023-03-31 21:06:57.000000 UTC
0,0xc10ad76e1630,TCPv4,10.0.2.55,49927,204.79.197.222,443,ESTABLISHED,-,-,N/A
0,0xc10ad77df010,TCPv4,10.0.2.55,49943,52.113.194.132,443,ESTABLISHED,-,-,N/A
0,0xc10ad7877270,TCPv4,10.0.2.55,49791,20.90.152.133,443,ESTABLISHED,-,-,N/A
0,0xc10ad7949200,UDPv4,0.0.0.0,0,*,0,,1860,VBoxService.ex,2023-03-31 21:14:33.000000 UTC
0,0xc10ad79a1d90,UDPv4,0.0.0.0,0,*,0,,2180,InfinityCrypt.,2023-03-31 21:12:56.000000 UTC
0,0xc10ad79a31e0,UDPv4,0.0.0.0,0,*,0,,3696,InfinityCrypt.,2023-03-31 21:12:56.000000 UTC
0,0xc10ad79a3690,UDPv4,0.0.0.0,0,*,0,,2180,InfinityCrypt.,2023-03-31 21:12:56.000000 UTC
0,0xc10ad79a3690,UDPv6,::,0,*,0,,2180,InfinityCrypt.,2023-03-31 21:12:56.000000 UTC
0,0xc10ad79a4ae0,UDPv4,0.0.0.0,0,*,0,,3696,InfinityCrypt.,2023-03-31 21:12:56.000000 UTC
0,0xc10ad79a4ae0,UDPv6,::,0,*,0,,3696,InfinityCrypt.,2023-03-31 21:12:56.000000 UTC
0,0xc10ad8148ae0,TCPv4,10.0.2.55,49934,23.48.165.34,443,CLOSE_WAIT,-,-,N/A
0,0xc10ad8162aa0,TCPv4,10.0.2.55,49882,185.199.109.154,443,CLOSED,-,-,N/A
0,0xc10ad8197aa0,TCPv4,10.0.2.55,49949,142.250.178.10,443,ESTABLISHED,-,-,N/A
0,0xc10ad824baa0,TCPv4,10.0.2.55,49896,20.108.130.238,443,CLOSED,-,-,N/A
0,0xc10ad837aaa0,TCPv4,10.0.2.55,49876,20.108.130.238,443,CLOSED,-,-,N/A
0,0xc10ad83c9aa0,TCPv4,10.0.2.55,49844,152.199.19.161,80,CLOSED,-,-,N/A
0,0xc10ad86c1630,UDPv4,0.0.0.0,0,*,0,,3388,InfinityCrypt.,2023-03-31 21:13:07.000000 UTC
0,0xc10ad86c9010,UDPv4,0.0.0.0,0,*,0,,3388,InfinityCrypt.,2023-03-31 21:13:07.000000 UTC
0,0xc10ad86c9010,UDPv6,::,0,*,0,,3388,InfinityCrypt.,2023-03-31 21:13:07.000000 UTC
0,0xc10ad881aae0,TCPv4,10.0.2.55,49948,8.238.160.254,80,CLOSED,-,-,N/A
0,0xc10ad8b44750,UDPv4,0.0.0.0,5355,*,0,,1868,svchost.exe,2023-03-31 21:08:44.000000 UTC
0,0xc10ad8b45240,UDPv4,0.0.0.0,5355,*,0,,1868,svchost.exe,2023-03-31 21:08:44.000000 UTC
0,0xc10ad8b45240,UDPv6,::,5355,*,0,,1868,svchost.exe,2023-03-31 21:08:44.000000 UTC
