TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,4,0,System,0xc10acecb4040,156,-,N/A,False,2023-04-01 04:33:39.000000 UTC,N/A,Disabled
0,100,4,Registry,0xc10acee7d080,4,-,N/A,False,2023-04-01 04:33:32.000000 UTC,N/A,Disabled
0,436,4,smss.exe,0xc10acfc6b040,2,-,N/A,False,2023-04-01 04:33:39.000000 UTC,N/A,Disabled
0,588,576,csrss.exe,0xc10ad3b53140,11,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,660,576,wininit.exe,0xc10ad3cc8080,2,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,680,652,csrss.exe,0xc10ad3cd9080,16,-,1,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,760,652,winlogon.exe,0xc10ad3d3a080,5,-,1,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,804,660,services.exe,0xc10ad3d1b1c0,6,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,832,660,lsass.exe,0xc10ad3d39080,11,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,948,804,svchost.exe,0xc10ad3de8080,26,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,964,660,fontdrvhost.ex,0xc10ad3e360c0,5,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,960,760,fontdrvhost.ex,0xc10ad3e32080,5,-,1,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,544,804,svchost.exe,0xc10ad3ea3080,11,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,888,804,svchost.exe,0xc10ad3eda0c0,5,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,1044,760,LogonUI.exe,0xc10ad3f701c0,0,-,1,False,2023-04-01 04:33:41.000000 UTC,2023-03-31 20:33:53.000000 UTC,Disabled
0,1052,760,dwm.exe,0xc10ad3f72080,20,-,1,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,1152,804,svchost.exe,0xc10ad3fbd080,10,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,1224,804,svchost.exe,0xc10ad3fe5080,3,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,1232,804,svchost.exe,0xc10ad3fe8080,4,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,1292,804,svchost.exe,0xc10ad3ff3080,5,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,1304,804,svchost.exe,0xc10ad3ffa080,8,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,1360,804,svchost.exe,0xc10ad403e0c0,5,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,1368,804,svchost.exe,0xc10ad4019080,2,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,1376,804,svchost.exe,0xc10ad403f080,2,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
0,1512,804,svchost.exe,0xc10ad40a30c0,9,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,Disabled
