TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0xc10acecb4040,156,-,N/A,False,2023-04-01 04:33:39.000000 UTC,N/A,-,-,-
1,2164,4,MemCompression,0xc10aced76040,56,-,N/A,False,2023-03-31 20:33:45.000000 UTC,N/A,MemCompression,-,-
1,436,4,smss.exe,0xc10acfc6b040,2,-,N/A,False,2023-04-01 04:33:39.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
1,100,4,Registry,0xc10acee7d080,4,-,N/A,False,2023-04-01 04:33:32.000000 UTC,N/A,Registry,-,-
0,588,576,csrss.exe,0xc10ad3b53140,11,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,660,576,wininit.exe,0xc10ad3cc8080,2,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,832,660,lsass.exe,0xc10ad3d39080,11,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\lsass.exe,C:\\Windows\\system32\\lsass.exe,C:\\Windows\\system32\\lsass.exe
1,964,660,fontdrvhost.ex,0xc10ad3e360c0,5,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\fontdrvhost.exe,"""fontdrvhost.exe""",C:\\Windows\\system32\\fontdrvhost.exe
1,804,660,services.exe,0xc10ad3d1b1c0,6,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,1540,804,svchost.exe,0xc10ad40b1080,5,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s nsi,C:\\Windows\\system32\\svchost.exe
2,2052,804,svchost.exe,0xc10acedd0080,5,-,0,False,2023-03-31 20:33:45.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain,C:\\Windows\\system32\\svchost.exe
2,2568,804,svchost.exe,0xc10ad44ea140,3,-,0,False,2023-03-31 20:33:45.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p,C:\\Windows\\System32\\svchost.exe
2,1040,804,svchost.exe,0xc10acedfa080,6,-,0,False,2023-04-01 04:33:42.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog,C:\\Windows\\System32\\svchost.exe
2,2576,804,svchost.exe,0xc10ad44e70c0,4,-,0,False,2023-03-31 20:33:45.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p,C:\\Windows\\system32\\svchost.exe
2,2068,804,svchost.exe,0xc10acfd37080,8,-,0,False,2023-03-31 20:33:45.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k appmodel -p -s StateRepository,C:\\Windows\\system32\\svchost.exe
2,7188,804,svchost.exe,0xc10ad78140c0,7,-,0,False,2023-03-31 20:34:13.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceAndNoImpersonation -p -s SSDPSRV,C:\\Windows\\system32\\svchost.exe
2,544,804,svchost.exe,0xc10ad3ea3080,11,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS -p,C:\\Windows\\system32\\svchost.exe
2,4128,804,svchost.exe,0xc10ad4f83080,6,-,1,False,2023-03-31 20:33:48.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup -s WpnUserService,C:\\Windows\\system32\\svchost.exe
2,7732,804,svchost.exe,0xc10ad7854080,13,-,0,False,2023-03-31 20:34:09.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc,C:\\Windows\\system32\\svchost.exe
2,6200,804,uhssvc.exe,0xc10ad3aa60c0,3,-,0,False,2023-03-31 20:35:46.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Program Files\\Microsoft Update Health Tools\\uhssvc.exe,"""C:\\Program Files\\Microsoft Update Health Tools\\uhssvc.exe""",C:\\Program Files\\Microsoft Update Health Tools\\uhssvc.exe
2,2108,804,svchost.exe,0xc10aceda9080,5,-,0,False,2023-03-31 20:33:45.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetSvcs -p -s hns,C:\\Windows\\system32\\svchost.exe
2,2628,804,svchost.exe,0xc10ad4510080,3,-,0,False,2023-03-31 20:33:45.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k netsvcs -p -s ShellHWDetection,C:\\Windows\\System32\\svchost.exe
2,3068,804,wlms.exe,0xc10ad4775080,2,-,0,False,2023-03-31 20:33:45.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\wlms\\wlms.exe,C:\\Windows\\system32\\wlms\\wlms.exe,C:\\Windows\\system32\\wlms\\wlms.exe
2,2132,804,svchost.exe,0xc10ad4797080,6,-,0,False,2023-03-31 20:33:45.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s WpnService,C:\\Windows\\system32\\svchost.exe
2,7764,804,svchost.exe,0xc10ad77d00c0,8,-,0,False,2023-03-31 20:35:46.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s wscsvc,C:\\Windows\\System32\\svchost.exe
2,4184,804,svchost.exe,0xc10ad4f81080,7,-,0,False,2023-03-31 20:33:48.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s TokenBroker,C:\\Windows\\system32\\svchost.exe
2,2140,804,svchost.exe,0xc10aced9f080,5,-,0,False,2023-03-31 20:33:45.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc,C:\\Windows\\system32\\svchost.exe
2,1116,804,svchost.exe,0xc10ad71f0080,4,-,1,False,2023-03-31 21:06:43.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s NPSMSvc,C:\\Windows\\system32\\svchost.exe
2,2148,804,svchost.exe,0xc10ad4788080,6,-,0,False,2023-03-31 20:33:45.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s LanmanServer,C:\\Windows\\system32\\svchost.exe
2,1640,804,svchost.exe,0xc10ad4133080,14,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k netprofm -p -s netprofm,C:\\Windows\\System32\\svchost.exe
2,1648,804,svchost.exe,0xc10ad417d080,2,-,0,False,2023-04-01 04:33:41.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,-,-
