TreeDepth,Offset,FileFullPath,File output
0,0x9f0938ea8000,,Disabled
0,0x9f0938e67000,\\REGISTRY\\MACHINE\\SYSTEM,Disabled
0,0x9f0938fb0000,\\REGISTRY\\MACHINE\\HARDWARE,Disabled
0,0x9f09399ca000,\\SystemRoot\\System32\\Config\\SAM,Disabled
0,0x9f09399c8000,\\SystemRoot\\System32\\Config\\DEFAULT,Disabled
0,0x9f09399c6000,\\SystemRoot\\System32\\Config\\SECURITY,Disabled
0,0x9f09399cc000,\\SystemRoot\\System32\\Config\\SOFTWARE,Disabled
0,0x9f093b85a000,\\Device\\HarddiskVolume2\\EFI\\Microsoft\\Boot\\BCD,Disabled
0,0x9f093bd4c000,\\??\\C:\\Windows\\ServiceProfiles\\NetworkService\\NTUSER.DAT,Disabled
0,0x9f093d052000,\\??\\C:\\Windows\\ServiceProfiles\\LocalService\\NTUSER.DAT,Disabled
0,0x9f093d012000,\\SystemRoot\\System32\\Config\\BBI,Disabled
0,0x9f093e2e4000,\\??\\C:\\Windows\\AppCompat\\Programs\\Amcache.hve,Disabled
0,0x9f093e888000,\\??\\C:\\Users\\User\\ntuser.dat,Disabled
0,0x9f093e891000,\\??\\C:\\Users\\User\\AppData\\Local\\Microsoft\\Windows\\UsrClass.dat,Disabled
0,0x9f093f1e3000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.Core_1000.22634.1000.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x9f093f1e5000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.CBS_1000.22639.1000.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x9f093f4f7000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.WebExperience_423.3400.0.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x9f093f8ac000,\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-1859324099-630148697-3492067259-1000\\SystemAppData\\Helium\\Cache\\6561d07fe1bc57c0.dat,Disabled
0,0x9f093f817000,\\??\\C:\\Users\\User\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0x9f093f8b6000,\\??\\C:\\Users\\User\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\SystemAppData\\Helium\\User.dat,Disabled
0,0x9f093f819000,\\??\\C:\\Users\\User\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\SystemAppData\\Helium\\UserClasses.dat,Disabled
0,0x9f093f57a000,\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-1859324099-630148697-3492067259-1000\\SystemAppData\\Helium\\Cache\\6561d07fe1bc57c0_COM15.dat,Disabled
0,0x9f093f57d000,\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-1859324099-630148697-3492067259-1000\\SystemAppData\\Helium\\Cache\\6561d07fe1bc57c0.dat,Disabled
0,0x9f093f8bf000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.StartMenuExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x9f093f583000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.UI.Xaml.CBS_8.2207.29001.0_x64__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0x9f093fb89000,\\??\\C:\\Users\\User\\AppData\\Local\\Packages\\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0x9f0941463000,\\??\\C:\\Users\\User\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0x9f09433f5000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\windows.immersivecontrolpanel_10.0.6.1000_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x9f0943a6e000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.Apprep.ChxApp_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x9f0945aba000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x9f0948a5d000,\\??\\C:\\Users\\User\\AppData\\Local\\Packages\\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\\Settings\\settings.dat,Disabled

