TreeDepth,Index,Address,Module,Symbol
0,0,0xf8063cc94af0,ntoskrnl,NtAccessCheck
0,1,0xf8063cd72f30,ntoskrnl,NtWorkerFactoryWorkerReady
0,2,0xf8063d1fab10,ntoskrnl,NtAcceptConnectPort
0,3,0xf8063d434f20,ntoskrnl,NtMapUserPhysicalPagesScatter
0,4,0xf8063d0d9010,ntoskrnl,NtWaitForSingleObject
0,5,0xf8063ce2df80,ntoskrnl,NtCallbackReturn
0,6,0xf8063d1b9670,ntoskrnl,NtReadFile
0,7,0xf8063d0d9810,ntoskrnl,NtDeviceIoControlFile
0,8,0xf8063d137c60,ntoskrnl,NtWriteFile
0,9,0xf8063d0ca600,ntoskrnl,NtRemoveIoCompletion
0,10,0xf8063d196400,ntoskrnl,NtReleaseSemaphore
0,11,0xf8063d0f9160,ntoskrnl,NtReplyWaitReceivePort
0,12,0xf8063d1f11c0,ntoskrnl,NtReplyPort
0,13,0xf8063d0c5460,ntoskrnl,NtSetInformationThread
0,14,0xf8063d1be020,ntoskrnl,NtSetEvent
0,15,0xf8063d0d9880,ntoskrnl,NtClose
0,16,0xf8063d0ff850,ntoskrnl,NtQueryObject
0,17,0xf8063d0e5400,ntoskrnl,NtQueryInformationFile
0,18,0xf8063d1bc9b0,ntoskrnl,NtOpenKey
0,19,0xf8063d161be0,ntoskrnl,NtEnumerateValueKey
0,20,0xf8063d1d4470,ntoskrnl,NtFindAtom
0,21,0xf8063d1e5cb0,ntoskrnl,NtQueryDefaultLocale
0,22,0xf8063d0d69f0,ntoskrnl,NtQueryKey
0,23,0xf8063d0d7100,ntoskrnl,NtQueryValueKey
0,24,0xf8063d0a1a20,ntoskrnl,NtAllocateVirtualMemory
0,25,0xf8063d11d960,ntoskrnl,NtQueryInformationProcess
0,26,0xf8063d1e0300,ntoskrnl,NtWaitForMultipleObjects32
0,27,0xf8063d2036a0,ntoskrnl,NtWriteFileGather
0,28,0xf8063d09eef0,ntoskrnl,NtSetInformationProcess
0,29,0xf8063d148100,ntoskrnl,NtCreateKey
0,30,0xf8063d0cc7f0,ntoskrnl,NtFreeVirtualMemory
0,31,0xf8063d36e350,ntoskrnl,NtImpersonateClientOfPort
0,32,0xf8063d0c9ad0,ntoskrnl,NtReleaseMutant
0,33,0xf8063d0c7190,ntoskrnl,NtQueryInformationToken
0,34,0xf8063d0f7da0,ntoskrnl,NtRequestWaitReplyPort
0,35,0xf8063d0b0da0,ntoskrnl,NtQueryVirtualMemory
0,36,0xf8063d0e84a0,ntoskrnl,NtOpenThreadToken
0,37,0xf8063d0a9d10,ntoskrnl,NtQueryInformationThread
0,38,0xf8063d0e76b0,ntoskrnl,NtOpenProcess
0,39,0xf8063ccb4c50,ntoskrnl,NtSetInformationFile
0,40,0xf8063d0ae170,ntoskrnl,NtMapViewOfSection
0,41,0xf8063d1d9930,ntoskrnl,NtAccessCheckAndAuditAlarm
0,42,0xf8063d0fbf90,ntoskrnl,NtUnmapViewOfSection
0,43,0xf8063d0f9180,ntoskrnl,NtReplyWaitReceivePortEx
0,44,0xf8063d09c3f0,ntoskrnl,NtTerminateProcess
0,45,0xf8063d3f0ff0,ntoskrnl,NtSetEventBoostPriority
0,46,0xf8063d2020f0,ntoskrnl,NtReadFileScatter
0,47,0xf8063d0e84c0,ntoskrnl,NtOpenThreadTokenEx
0,48,0xf8063d0bcaa0,ntoskrnl,NtOpenProcessTokenEx
0,49,0xf8063d1d0310,ntoskrnl,NtQueryPerformanceCounter
0,50,0xf8063d12dfc0,ntoskrnl,NtEnumerateKey
0,51,0xf8063d0bdf70,ntoskrnl,NtOpenFile
0,52,0xf8063d0d1a10,ntoskrnl,NtDelayExecution
0,53,0xf8063d1e2d20,ntoskrnl,NtQueryDirectoryFile
0,54,0xf8063d0b99f0,ntoskrnl,NtQuerySystemInformation
0,55,0xf8063d18bf50,ntoskrnl,NtOpenSection
0,56,0xf8063d3f0de0,ntoskrnl,NtQueryTimer
0,57,0xf8063d1cbc90,ntoskrnl,NtFsControlFile
0,58,0xf8063d1bac20,ntoskrnl,NtWriteVirtualMemory
0,59,0xf8063d1dbbb0,ntoskrnl,NtCloseObjectAuditAlarm
0,60,0xf8063d0cd0a0,ntoskrnl,NtDuplicateObject
0,61,0xf8063d1388d0,ntoskrnl,NtQueryAttributesFile
0,62,0xf8063d1c1b40,ntoskrnl,NtClearEvent
0,63,0xf8063d1bac50,ntoskrnl,NtReadVirtualMemory
0,64,0xf8063d18be80,ntoskrnl,NtOpenEvent
0,65,0xf8063d1656b0,ntoskrnl,NtAdjustPrivilegesToken
0,66,0xf8063d0e60b0,ntoskrnl,NtDuplicateToken
0,67,0xf8063ce29b30,ntoskrnl,NtContinue
0,68,0xf8063d21a430,ntoskrnl,NtQueryDefaultUILanguage
0,69,0xf8063d1419e0,ntoskrnl,NtQueueApcThread
0,70,0xf8063cd63f30,ntoskrnl,NtYieldExecution
0,71,0xf8063d3f6730,ntoskrnl,NtAddAtom
0,72,0xf8063d0e6e60,ntoskrnl,NtCreateEvent
0,73,0xf8063d0ca130,ntoskrnl,NtQueryVolumeInformationFile
0,74,0xf8063d0e9620,ntoskrnl,NtCreateSection
0,75,0xf8063d1d8260,ntoskrnl,NtFlushBuffersFile
0,76,0xf8063d1894d0,ntoskrnl,NtApphelpCacheControl
0,77,0xf8063d3a3540,ntoskrnl,NtCreateProcessEx
0,78,0xf8063d3a35e0,ntoskrnl,NtCreateThread
0,79,0xf8063d1f2e60,ntoskrnl,NtIsProcessInJob
0,80,0xf8063d0b1c50,ntoskrnl,NtProtectVirtualMemory
0,81,0xf8063d1e4170,ntoskrnl,NtQuerySection
0,82,0xf8063d1d7500,ntoskrnl,NtResumeThread
0,83,0xf8063d0a28a0,ntoskrnl,NtTerminateThread
0,84,0xf8063d36e450,ntoskrnl,NtReadRequestData
0,85,0xf8063d0c1830,ntoskrnl,NtCreateFile
0,86,0xf8063d1eb7c0,ntoskrnl,NtQueryEvent
0,87,0xf8063d36e5d0,ntoskrnl,NtWriteRequestData
0,88,0xf8063d18bfe0,ntoskrnl,NtOpenDirectoryObject
0,89,0xf8063d1dfea0,ntoskrnl,NtAccessCheckByTypeAndAuditAlarm
0,90,0xf8063d3ed890,ntoskrnl,NtQuerySystemTime
0,91,0xf8063d1bb330,ntoskrnl,NtWaitForMultipleObjects
0,92,0xf8063d19f950,ntoskrnl,NtSetInformationObject
0,93,0xf8063d1f4e60,ntoskrnl,NtCancelIoFile
0,94,0xf8063cc9b840,ntoskrnl,NtTraceEvent
0,95,0xf8063d100900,ntoskrnl,NtPowerInformation
0,96,0xf8063d134380,ntoskrnl,NtSetValueKey
0,97,0xf8063cc90ea0,ntoskrnl,NtCancelTimer
0,98,0xf8063cde7520,ntoskrnl,NtSetTimer
0,99,0xf8063cd71e80,ntoskrnl,NtAccessCheckByType
0,100,0xf8063cfa5330,ntoskrnl,NtAccessCheckByTypeResultList
0,101,0xf8063d3c36a0,ntoskrnl,NtAccessCheckByTypeResultListAndAuditAlarm
0,102,0xf8063d3c3750,ntoskrnl,NtAccessCheckByTypeResultListAndAuditAlarmByHandle
0,103,0xf8063d3fa620,ntoskrnl,NtAcquireCrossVmMutant
0,104,0xf8063d2748b0,ntoskrnl,NtAcquireProcessActivityReference
0,105,0xf8063d0f23a0,ntoskrnl,NtAddAtomEx
0,106,0xf8063d3f3ea0,ntoskrnl,NtAddBootEntry
0,107,0xf8063d3f3ed0,ntoskrnl,NtAddDriverEntry
0,108,0xf8063d1e0920,ntoskrnl,NtAdjustGroupsToken
0,109,0xf8063d20c2c0,ntoskrnl,?GetPnpProperty@NT_DISK@@UEAAJPEAXPEAPEAX@Z
0,109,0xf8063d20c2c0,ntoskrnl,NtAdjustTokenClaimsAndDeviceGroups
0,109,0xf8063d20c2c0,ntoskrnl,NtCreateEventPair
