TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0x11a5dd710,0xf8000205a000,0x21000,WdNisDrv,WdNisDrv,\\Driver\\WdNisDrv
0,0x11a7f95e0,0xf8000208b000,0x9000,ad_driver,ad_driver,\\Driver\\ad_driver
0,0x11a82bdd0,0xf80002200000,0xad000,srv2,srv2,\\FileSystem\\srv2
0,0x11a860c80,0xf800020bc000,0x98000,srv,srv,\\FileSystem\\srv
0,0x11a9cce60,0xf8000202d000,0x2d000,tunnel,tunnel,\\Driver\\tunnel
0,0x11aa47a10,0xf80001c46000,0x18000,rspndr,rspndr,\\Driver\\rspndr
0,0x11aac8930,0xf80001c32000,0x14000,lltdio,lltdio,\\Driver\\lltdio
0,0x11ab232b0,0xf80001ebe000,0xfa000,HTTP,HTTP,\\Driver\\HTTP
0,0x11ab29e60,0xf80001c5e000,0x1d000,Ndu,Ndu,\\Driver\\Ndu
0,0x11ab7b980,0xf80001e6d000,0x39000,mrxsmb20,mrxsmb20,\\FileSystem\\mrxsmb20
0,0x11ab855d0,0xf80001e00000,0x6d000,mrxsmb,mrxsmb,\\FileSystem\\mrxsmb
0,0x11ab89060,0xf80001fd8000,0x17000,mpsdrv,mpsdrv,\\Driver\\mpsdrv
0,0x11abc8670,0xf800022b2000,0xa9000,PEAUTH,PEAUTH,\\Driver\\PEAUTH
0,0x11abcbbc0,0xf80002366000,0x43000,srvnet,srvnet,\\FileSystem\\srvnet
0,0x11abcc9e0,0xf800001b4000,0x4b000,mrxsmb10,mrxsmb10,\\FileSystem\\mrxsmb10
0,0x11abe9060,0xf800023a9000,0x12000,tcpipreg,tcpipreg,\\Driver\\tcpipreg
0,0x11abfe060,0xf8000235b000,0xb000,secdrv,secdrv,\\Driver\\secdrv
0,0x11adc6b70,0xf80001c0e000,0x24000,luafv,luafv,\\FileSystem\\luafv
0,0x11ae79cd0,0xf80001ca3000,0x78000,USBHUB3,USBHUB3,\\Driver\\USBHUB3
0,0x11aecf230,0xf96000105000,0x0,\\Driver\\Win32k,Win32k,\\Driver\\Win32k
0,0x11b443470,0xf800016ab000,0xc000,Msfs,Msfs,\\FileSystem\\Msfs
0,0x11b4717b0,0xf80001400000,0x70000,rdbss,rdbss,\\FileSystem\\rdbss
0,0x11b476060,0xf80001aed000,0x6380,CmBatt,CmBatt,\\Driver\\CmBatt
0,0x11b47f060,0xf8000185a000,0x10000,mouclass,mouclass,\\Driver\\mouclass
0,0x11b4846b0,0xf8000184a000,0x10000,kbdclass,kbdclass,\\Driver\\kbdclass
0,0x11b487d10,0xf8000182b000,0x1f000,i8042prt,i8042prt,\\Driver\\i8042prt
0,0x11b48c230,0xf8000181a000,0x11000,umbus,umbus,\\Driver\\umbus
0,0x11b495210,0xf8000188f000,0x19000,HDAudBus,HDAudBus,\\Driver\\HDAudBus
