TreeDepth,Offset,Name
0,0x18e980,\\$Directory
0,0x12846c0,\\Windows\\System32\\en-US\\usbceip.dll.mui
0,0x33e5430,\\Windows\\SoftwareDistribution\\DataStore\\Logs\\edb.log
0,0x33e5b40,\\Windows\\SoftwareDistribution\\DataStore\\DataStore.edb
0,0x445b050,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-CoreSystem-WOW64-Mincore-Package~31bf3856ad364e35~amd64~en-US~6.3.9600.16384.cat
0,0x445b680,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-ProfessionalEdition~31bf3856ad364e35~amd64~~6.3.9600.16384.cat
0,0x59903e0,\\$Directory
0,0x5e5b810,\\Windows\\WinSxS\\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.9600.16384_none_62475f7becb72503
0,0x6347050,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-SMB1-Package~31bf3856ad364e35~amd64~~6.3.9600.16384.cat
0,0x73865a0,\\Windows\\System32\\oobe\\SetupCleanupTask.dll
0,0x7dc2070,\\Users\\Mark\\AppData\\LocalLow\\Microsoft\\CryptnetUrlCache\\MetaData\\B363E346B43755F918E68AC3AA10D686_EC5AE2CA3DE6BE080A2513EAD490F3EF
0,0x7dc2c90,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-Kernel-PnP%4Configuration.evtx
0,0xb56c810,\\Windows\\System32\\certCredProvider.dll
0,0xbe1c270,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-SnippingTool-Package~31bf3856ad364e35~amd64~~6.3.9600.16384.cat
0,0xbe1c3c0,\\Users\\Mark\\AppData\\LocalLow\\Microsoft\\CryptnetUrlCache\\MetaData\\6BADA8974A10C4BD62CC921D13E43B18_711ED44619924BA6DC33E69F97E7FF63
0,0xc8d0f20,\\Users\\Mark\\AppData\\Local\\Microsoft\\Windows\\INetCache\\counters.dat
0,0xcabb880,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-CoreSystem-WOW64-DS-Package~31bf3856ad364e35~amd64~~6.3.9600.16384.cat
0,0xcfb1c90,\\$Mft::$BITMAP
0,0xd0fce00,\\Windows\\System32\\Tasks\\Microsoft\\Windows\\Customer Experience Improvement Program\\Uploader
0,0xec666c0,\\Windows\\Prefetch\\SVCHOST.EXE-B73F0C38.pf
0,0xec66bf0,\\Program Files (x86)\\AccessData\\FTK Imager\\LMS.dll
0,0xf183580,\\$Directory
0,0xf2c1430,\\Windows\\WindowsUpdate.log
0,0xfc5c6f0,\\Extend\\$RmMetadata\\$Repair:$Verify:$DATA
0,0xff2f340,\\$Directory
0,0xff2f530,\\Windows\\System32\\synceng.dll
0,0x1013d650,\\$Directory
0,0x1109ff20,\\Windows\\WinSxS\\FileMaps\\$$_servicing_fc2045b9046cc796.cdf-ms
0,0x11b54700,\\$Secure:$SDS:$DATA
0,0x13784610,\\Windows\\System32\\en-US\\aepdu.dll.mui
0,0x14b98e00,\\Windows\\System32\\accessibilitycpl.dll
0,0x17965710,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-CoreSystem-WOW64-Com-Package~31bf3856ad364e35~amd64~en-US~6.3.9600.16384.cat
0,0x1a3e8f20,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Identity-Foundation-Package~31bf3856ad364e35~amd64~~6.3.9600.16384.cat
0,0x1b0e5580,\\Windows\\System32\\SettingSyncHost.exe
0,0x1d8a3050,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-StorageService-Package~31bf3856ad364e35~amd64~~6.3.9600.16384.cat
0,0x1d8a3250,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-SMB1-Package~31bf3856ad364e35~amd64~en-US~6.3.9600.16384.cat
0,0x1d8a3430,\\Windows\\System32\\nsi.dll
0,0x20f20070,\\Users\\Mark\\AppData\\Local\\Microsoft\\Windows\\Explorer\\iconcache_32.db
0,0x20f201d0,\\Windows\\System32\\dxgi.dll
0,0x2151e3c0,\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\fusion.dll
0,0x21cf3f20,\\Windows\\System32\\wuaext.dll
0,0x26298c90,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Client-EEFContainer-Base-Package~31bf3856ad364e35~amd64~en-US~6.3.9600.16384.cat
0,0x2a326430,\\Windows\\System32\\RstrtMgr.dll
0,0x2a326960,\\Windows\\System32\\Tasks\\Microsoft\\Windows\\WS\\License Validation
0,0x2a326ab0,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-SnippingTool-Package~31bf3856ad364e35~amd64~en-US~6.3.9600.16384.cat
0,0x2b1ce050,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Package_592_for_KB2883200~31bf3856ad364e35~amd64~~6.3.1.18.cat
0,0x38fc86f0,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-RestartManager%4Operational.evtx
0,0x38fc8e00,\\$ConvertToNonresident
0,0x3b522f20,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-MediaPlayback-OC-Package~31bf3856ad364e35~amd64~en-US~6.3.9600.16384.cat
0,0x41564580,\\Windows\\System32
0,0x4a0b0a30,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Cache\\Cache_Data\\f_000032
0,0x4b4ee9f0,\\Users\\Mark\\AppData\\Local\\Temp\\chrome_ComponentUnpacker_BeginUnzipping1480_890563489\\manifest.fingerprint
0,0x527ee810,\\$Mft
0,0x64681050,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Package_456_for_KB2883200~31bf3856ad364e35~amd64~~6.3.1.18.cat
0,0x69579f20,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Client-Features-Package-AutoMerged-minkernel~31bf3856ad364e35~amd64~en-US~6.3.9600.16384.cat
0,0x6d137580,\\Windows\\System32\\Windows.Web.dll
0,0x6ff6d050,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-ImageBasedSetup-IE-Package-enduser~31bf3856ad364e35~amd64~en-US~6.3.9600.16384.cat
0,0x6ff6d1c0,\\$Directory
0,0x72b7e250,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-SNMP-Package~31bf3856ad364e35~amd64~en-US~6.3.9600.16384.cat
0,0x76034a30,\\$LogFile
0,0x76056070,\\$Directory
0,0x773ba5a0,\\CMApi
0,0x77b6aad0,\\:$I30:$INDEX_ALLOCATION
0,0x77b6aca0,\\Windows\\Media\\Windows User Account Control.wav
