TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0xe000000d2900,92,-,N/A,False,2023-03-29 00:11:24.000000 UTC,N/A,-,-,-
1,248,4,smss.exe,0xe00001685040,3,-,N/A,False,2023-03-29 00:11:24.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
0,340,324,csrss.exe,0xe000015e5900,9,-,0,False,2023-03-29 00:11:25.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,392,324,wininit.exe,0xe00000166080,1,-,0,False,2023-03-29 00:11:25.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,484,392,services.exe,0xe00001de9880,5,-,0,False,2023-03-29 00:11:25.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,768,484,svchost.exe,0xe0000203c7c0,51,-,0,False,2023-03-29 00:11:26.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs,C:\\Windows\\system32\\svchost.exe
3,1864,768,taskeng.exe,0xe000026df080,2,-,0,False,2023-03-29 00:19:09.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\taskeng.exe,taskeng.exe {AA9168A2-9270-487D-BF27-62107D0F79F7},C:\\Windows\\system32\\taskeng.exe
3,1672,768,taskhost.exe,0xe00000d48400,11,-,0,False,2023-03-29 00:20:26.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\taskhost.exe,taskhost.exe $(Arg0),C:\\Windows\\system32\\taskhost.exe
3,1836,768,taskhostex.exe,0xe000023a43c0,10,-,1,False,2023-03-29 00:11:38.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\taskhostex.exe,taskhostex.exe ,C:\\Windows\\system32\\taskhostex.exe
3,2060,768,GoogleUpdate.e,0xe000025c8080,2,-,0,True,2023-03-29 00:19:09.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Google\\Update\\GoogleUpdate.exe,"""C:\\Program Files (x86)\\Google\\Update\\GoogleUpdate.exe"" /c",C:\\Program Files (x86)\\Google\\Update\\GoogleUpdate.exe
2,640,484,svchost.exe,0xe00000c7e080,7,-,0,False,2023-03-29 00:20:32.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k wsappx,C:\\Windows\\system32\\svchost.exe
