TreeDepth,PID,Process,Offset,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,Parent,File,File output
0,4,System,0xffffe000000dfe30,0x4e0ec40000,0x4e0ec62fff,Vad ,PAGE_READWRITE,0,0,0x0,N/A,Disabled
0,4,System,0xffffe000015c5da0,0x77710000,0x77877fff,Vad ,PAGE_EXECUTE_WRITECOPY,7,0,0xffffe000000dfe30,\\Windows\\SysWOW64\\ntdll.dll,Disabled
0,4,System,0xffffe00000069940,0x7ffe0000,0x7ffeffff,VadS,PAGE_READONLY,2147483647,1,0xffffe000015c5da0,N/A,Disabled
0,4,System,0xffffe00002754010,0x4e0ece0000,0x4e0ecfffff,Vad ,PAGE_READWRITE,0,0,0xffffe000000dfe30,N/A,Disabled
0,4,System,0xffffe00000499390,0x4e0ec80000,0x4e0ecaffff,Vad ,PAGE_READWRITE,0,0,0xffffe00002754010,N/A,Disabled
0,4,System,0xffffe00001f51d10,0x4e0ec70000,0x4e0ec70fff,Vad ,PAGE_READWRITE,0,0,0xffffe00000499390,N/A,Disabled
0,4,System,0xffffe0000230d100,0x4e0ecb0000,0x4e0ecdffff,Vad ,PAGE_READWRITE,0,0,0xffffe00000499390,N/A,Disabled
0,4,System,0xffffe000015bf300,0x7ffb9e350000,0x7ffb9e4f8fff,Vad ,PAGE_EXECUTE_WRITECOPY,10,0,0xffffe00002754010,\\Windows\\System32\\ntdll.dll,Disabled
0,4,System,0xffffe00002cea560,0x4e0ed00000,0x4e0ed1ffff,Vad ,PAGE_READWRITE,0,0,0xffffe000015bf300,N/A,Disabled
0,248,smss.exe,0xffffe000016872c0,0x7ff610550000,0x7ff610572fff,Vad ,PAGE_READONLY,0,0,0x0,N/A,Disabled
0,248,smss.exe,0xffffe00001689670,0x1d84ea0000,0x1d84eaefff,Vad ,PAGE_READONLY,0,0,0xffffe000016872c0,N/A,Disabled
0,248,smss.exe,0xffffe0000177eea0,0x1d84e80000,0x1d84e80fff,Vad ,PAGE_READWRITE,0,0,0xffffe00001689670,N/A,Disabled
0,248,smss.exe,0xffffe000014da600,0x7ffe0000,0x7ffeffff,VadS,PAGE_READONLY,2147483647,1,0xffffe0000177eea0,N/A,Disabled
0,248,smss.exe,0xffffe000016b5e70,0x1d84e90000,0x1d84e9cfff,VadS,PAGE_READWRITE,2,1,0xffffe0000177eea0,N/A,Disabled
0,248,smss.exe,0xffffe00001ce3180,0x1d84fb0000,0x1d8502ffff,VadS,PAGE_READWRITE,6,1,0xffffe00001689670,N/A,Disabled
0,248,smss.exe,0xffffe0000168a3c0,0x1d84eb0000,0x1d84f2ffff,VadS,PAGE_READWRITE,6,1,0xffffe00001ce3180,N/A,Disabled
0,248,smss.exe,0xffffe00001ca6190,0x1d85030000,0x1d850affff,VadS,PAGE_READWRITE,6,1,0xffffe00001ce3180,N/A,Disabled
0,248,smss.exe,0xffffe0000167b800,0x1d850c0000,0x1d851bffff,VadS,PAGE_READWRITE,25,1,0xffffe00001ca6190,N/A,Disabled
0,248,smss.exe,0xffffe00001687810,0x7ff61057d000,0x7ff61057efff,Vadl,PAGE_READWRITE,2,1,0xffffe000016872c0,N/A,Disabled
0,248,smss.exe,0xffffe00001cacd70,0x7ff610579000,0x7ff61057afff,Vadl,PAGE_READWRITE,2,1,0xffffe00001687810,N/A,Disabled
0,248,smss.exe,0xffffe00001cdb280,0x7ff610577000,0x7ff610578fff,Vadl,PAGE_READWRITE,2,1,0xffffe00001cacd70,N/A,Disabled
0,248,smss.exe,0xffffe000015eecf0,0x7ff6106c0000,0x7ff6106e4fff,Vad ,PAGE_EXECUTE_WRITECOPY,3,0,0xffffe00001687810,\\Windows\\System32\\smss.exe,Disabled
0,248,smss.exe,0xffffe00001687230,0x7ff61057f000,0x7ff61057ffff,Vadl,PAGE_READWRITE,1,1,0xffffe000015eecf0,N/A,Disabled
0,248,smss.exe,0xffffe000014cf7c0,0x7ffb9e350000,0x7ffb9e4f8fff,Vad ,PAGE_EXECUTE_WRITECOPY,10,0,0xffffe000015eecf0,\\Windows\\System32\\ntdll.dll,Disabled
0,340,csrss.exe,0xffffe00002021140,0xeeb02e0000,0xeeb02effff,Vad ,PAGE_READWRITE,0,0,0x0,N/A,Disabled
0,340,csrss.exe,0xffffe00001dffa20,0xeeb0090000,0xeeb0090fff,VadS,PAGE_READWRITE,1,1,0xffffe00002021140,N/A,Disabled
0,340,csrss.exe,0xffffe000000d7420,0xeeae8b0000,0xeeae8effff,VadS,PAGE_READWRITE,11,1,0xffffe00001dffa20,N/A,Disabled
0,340,csrss.exe,0xffffe000016c7bd0,0xeeae4f0000,0xeeae5effff,VadS,PAGE_READWRITE,190,1,0xffffe000000d7420,N/A,Disabled
0,340,csrss.exe,0xffffe00000164d70,0xeeae480000,0xeeae48cfff,VadS,PAGE_READWRITE,3,1,0xffffe000016c7bd0,N/A,Disabled
0,340,csrss.exe,0xffffe00001686540,0x7ffe0000,0x7ffeffff,VadS,PAGE_READONLY,2147483647,1,0xffffe00000164d70,N/A,Disabled
0,340,csrss.exe,0xffffe000015ef010,0xeeae4a0000,0xeeae4aefff,Vad ,PAGE_READONLY,0,0,0xffffe00000164d70,N/A,Disabled
0,340,csrss.exe,0xffffe00001671210,0xeeae490000,0xeeae490fff,Vad ,PAGE_READONLY,0,0,0xffffe000015ef010,\\Windows\\System32\\en-US\\csrss.exe.mui,Disabled
0,340,csrss.exe,0xffffe0000012fa70,0xeeae4b0000,0xeeae4effff,VadS,PAGE_READWRITE,11,1,0xffffe000015ef010,N/A,Disabled
0,340,csrss.exe,0xffffe0000005ac60,0xeeae810000,0xeeae810fff,VadS,PAGE_READWRITE,1,1,0xffffe000016c7bd0,N/A,Disabled
0,340,csrss.exe,0xffffe00001cd4100,0xeeae670000,0xeeae7f0fff,Vad ,PAGE_READONLY,0,0,0xffffe0000005ac60,N/A,Disabled
0,340,csrss.exe,0xffffe000015b7db0,0xeeae5f0000,0xeeae66dfff,Vad ,PAGE_READONLY,0,0,0xffffe00001cd4100,\\Windows\\System32\\locale.nls,Disabled
0,340,csrss.exe,0xffffe00001cdef80,0xeeae800000,0xeeae801fff,Vad ,PAGE_READONLY,0,0,0xffffe00001cd4100,\\Windows\\System32\\en-US\\winsrv.dll.mui,Disabled
0,340,csrss.exe,0xffffe000014da1c0,0xeeae830000,0xeeae86ffff,VadS,PAGE_READWRITE,11,1,0xffffe0000005ac60,N/A,Disabled
0,340,csrss.exe,0xffffe00000075810,0xeeae820000,0xeeae821fff,Vad ,PAGE_READONLY,0,0,0xffffe000014da1c0,\\Windows\\Fonts\\vgasys.fon,Disabled
0,340,csrss.exe,0xffffe00001dddcd0,0xeeae870000,0xeeae8affff,VadS,PAGE_READWRITE,11,1,0xffffe000014da1c0,N/A,Disabled
0,340,csrss.exe,0xffffe000001521a0,0xeeaeb20000,0xeeaeb5ffff,VadS,PAGE_READWRITE,11,1,0xffffe000000d7420,N/A,Disabled
0,340,csrss.exe,0xffffe0000014c480,0xeeaead0000,0xeeaeadffff,Vad ,PAGE_READWRITE,0,0,0xffffe000001521a0,N/A,Disabled
0,340,csrss.exe,0xffffe00000137950,0xeeae930000,0xeeaeab7fff,Vad ,PAGE_READONLY,0,0,0xffffe0000014c480,N/A,Disabled
0,340,csrss.exe,0xffffe00000134540,0xeeae8f0000,0xeeae92ffff,VadS,PAGE_READWRITE,11,1,0xffffe00000137950,N/A,Disabled
0,340,csrss.exe,0xffffe0000012fa00,0xeeaeac0000,0xeeaeac0fff,VadS,PAGE_READWRITE,1,1,0xffffe00000137950,N/A,Disabled
0,340,csrss.exe,0xffffe00001f27ef0,0xeeaeae0000,0xeeaeb1ffff,VadS,PAGE_READWRITE,11,1,0xffffe0000014c480,N/A,Disabled
0,340,csrss.exe,0xffffe00000152950,0xeeaec70000,0xeeaec87fff,Vad ,PAGE_READONLY,0,0,0xffffe000001521a0,N/A,Disabled
0,340,csrss.exe,0xffffe00000126b10,0xeeaec30000,0xeeaec36fff,Vad ,PAGE_READONLY,0,0,0xffffe00000152950,\\Windows\\Fonts\\marlett.ttf,Disabled
0,340,csrss.exe,0xffffe00001f28ec0,0xeeaeb60000,0xeeaec2dfff,Vad ,PAGE_READONLY,0,0,0xffffe00000126b10,\\Windows\\Fonts\\segoeui.ttf,Disabled
0,340,csrss.exe,0xffffe0000015d8b0,0xeeaec40000,0xeeaec6ffff,Vad ,PAGE_READONLY,0,0,0xffffe00000126b10,N/A,Disabled
0,340,csrss.exe,0xffffe0000014f760,0xeeaec90000,0xeeb008ffff,Vad ,PAGE_READONLY,0,0,0xffffe00000152950,N/A,Disabled
0,340,csrss.exe,0xffffe00001f28cc0,0xeeb00f0000,0xeeb00fffff,Vad ,PAGE_READWRITE,0,0,0xffffe00001dffa20,N/A,Disabled
