TreeDepth,PID,Process,Args
0,4,System,-
0,248,smss.exe,\\SystemRoot\\System32\\smss.exe
0,340,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,392,wininit.exe,wininit.exe
0,400,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,428,winlogon.exe,winlogon.exe
0,484,services.exe,C:\\Windows\\system32\\services.exe
0,492,lsass.exe,C:\\Windows\\system32\\lsass.exe
0,564,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch
0,596,svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS
0,700,dwm.exe,"""dwm.exe"""
0,716,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted
0,768,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs
0,812,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService
0,884,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted
0,1000,svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService
0,576,spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe
0,828,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork
0,1128,MsMpEng.exe,"""C:\\Program Files\\Windows Defender\\MsMpEng.exe"""
0,1620,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceAndNoImpersonation
0,1748,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServicePeerNet
0,1836,taskhostex.exe,taskhostex.exe 
0,1928,explorer.exe,C:\\Windows\\Explorer.EXE
0,2388,RestoreOptIn.e,-
0,2564,SearchIndexer.,C:\\Windows\\system32\\SearchIndexer.exe /Embedding
0,3348,WSHost.exe,C:\\Windows\\WinStore\\WSHost.exe -Embedding
0,3692,SettingSyncHos,"""C:\\Windows\\System32\\SettingSyncHost.exe"" -Embedding"
0,1960,wmpnetwk.exe,"""C:\\Program Files\\Windows Media Player\\wmpnetwk.exe"""
0,3848,NisSrv.exe,"""C:\\Program Files\\Windows Defender\\NisSrv.exe"""
0,2912,audiodg.exe,C:\\Windows\\system32\\AUDIODG.EXE 0x210
