TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,340,csrss.exe,0x7ff74e780000,0x7000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,340,csrss.exe,0x7ffb9e350000,0x1a9000,-,-,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,340,csrss.exe,0x7ffb9b760000,0x16000,CSRSRV.dll,C:\\Windows\\system32\\CSRSRV.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,340,csrss.exe,0x7ffb9b740000,0x13000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,340,csrss.exe,0x7ffb9b700000,0x32000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,340,csrss.exe,0x7ffb9bbe0000,0x171000,USER32.dll,C:\\Windows\\system32\\USER32.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,340,csrss.exe,0x7ffb9bad0000,0x10e000,kernelbase.dll,C:\\Windows\\SYSTEM32\\kernelbase.dll,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,340,csrss.exe,0x7ffb9e060000,0x139000,kernel32.dll,C:\\Windows\\SYSTEM32\\kernel32.dll,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,340,csrss.exe,0x7ffb9e1a0000,0x145000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,340,csrss.exe,0x7ffb9b6f0000,0xd000,sxssrv.DLL,C:\\Windows\\system32\\sxssrv.DLL,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,340,csrss.exe,0x7ffb9b540000,0x97000,sxs.dll,C:\\Windows\\system32\\sxs.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,340,csrss.exe,0x7ffb9bfc0000,0x136000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,340,csrss.exe,0x7ffb9b660000,0xa000,CRYPTBASE.dll,C:\\Windows\\system32\\CRYPTBASE.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,340,csrss.exe,0x7ffb9b4e0000,0x5e000,bcryptPrimitives.dll,C:\\Windows\\system32\\bcryptPrimitives.dll,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,392,wininit.exe,0x7ff7aed60000,0x26000,wininit.exe,C:\\Windows\\system32\\wininit.exe,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,392,wininit.exe,0x7ffb9e350000,0x1a9000,-,-,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,392,wininit.exe,0x7ffb9e060000,0x139000,KERNEL32.DLL,C:\\Windows\\system32\\KERNEL32.DLL,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,392,wininit.exe,0x7ffb9bad0000,0x10e000,KERNELBASE.dll,C:\\Windows\\system32\\KERNELBASE.dll,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,392,wininit.exe,0x7ffb9dda0000,0xa7000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,392,wininit.exe,0x7ffb9bfc0000,0x136000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,392,wininit.exe,0x7ffb9c100000,0x57000,sechost.dll,C:\\Windows\\SYSTEM32\\sechost.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,392,wininit.exe,0x7ffb9b6d0000,0x14000,profapi.dll,C:\\Windows\\system32\\profapi.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,392,wininit.exe,0x7ffb9b670000,0xa000,wininitext.dll,C:\\Windows\\SYSTEM32\\wininitext.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,392,wininit.exe,0x7ffb9bbe0000,0x171000,USER32.dll,C:\\Windows\\system32\\USER32.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,392,wininit.exe,0x7ffb9e1a0000,0x145000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,392,wininit.exe,0x7ffb9bf40000,0x58000,WS2_32.dll,C:\\Windows\\system32\\WS2_32.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,392,wininit.exe,0x7ffb9c4e0000,0x9000,NSI.dll,C:\\Windows\\system32\\NSI.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,392,wininit.exe,0x7ffb9af30000,0x58000,mswsock.dll,C:\\Windows\\system32\\mswsock.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,392,wininit.exe,0x7ffb9b4b0000,0x2b000,sspicli.dll,C:\\Windows\\system32\\sspicli.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,400,csrss.exe,0x7ff74e780000,0x7000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,400,csrss.exe,0x7ffb9e350000,0x1a9000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,400,csrss.exe,0x7ffb9b760000,0x16000,CSRSRV.dll,C:\\Windows\\system32\\CSRSRV.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,400,csrss.exe,0x7ffb9b740000,0x13000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,400,csrss.exe,0x7ffb9b700000,0x32000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,400,csrss.exe,0x7ffb9bbe0000,0x171000,USER32.dll,C:\\Windows\\system32\\USER32.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,400,csrss.exe,0x7ffb9bad0000,0x10e000,kernelbase.dll,C:\\Windows\\SYSTEM32\\kernelbase.dll,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,400,csrss.exe,0x7ffb9e060000,0x139000,kernel32.dll,C:\\Windows\\SYSTEM32\\kernel32.dll,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,400,csrss.exe,0x7ffb9e1a0000,0x145000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,400,csrss.exe,0x7ffb9b6f0000,0xd000,sxssrv.DLL,C:\\Windows\\system32\\sxssrv.DLL,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,400,csrss.exe,0x7ffb9b540000,0x97000,sxs.dll,C:\\Windows\\system32\\sxs.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,400,csrss.exe,0x7ffb9bfc0000,0x136000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,400,csrss.exe,0x7ffb9b660000,0xa000,CRYPTBASE.dll,C:\\Windows\\system32\\CRYPTBASE.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,400,csrss.exe,0x7ffb9b4e0000,0x5e000,bcryptPrimitives.dll,C:\\Windows\\system32\\bcryptPrimitives.dll,-1,2023-03-29 00:11:26.000000 UTC,Disabled
0,428,winlogon.exe,0x7ff7cf090000,0x90000,winlogon.exe,C:\\Windows\\system32\\winlogon.exe,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9e350000,0x1a9000,-,-,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9e060000,0x139000,KERNEL32.DLL,C:\\Windows\\system32\\KERNEL32.DLL,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9bad0000,0x10e000,KERNELBASE.dll,C:\\Windows\\system32\\KERNELBASE.dll,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9dda0000,0xa7000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9df00000,0xa5000,advapi32.dll,C:\\Windows\\SYSTEM32\\advapi32.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9c100000,0x57000,sechost.dll,C:\\Windows\\SYSTEM32\\sechost.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9b680000,0x45000,powrprof.dll,C:\\Windows\\SYSTEM32\\powrprof.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9bfc0000,0x136000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9b640000,0x18000,winlogonext.dll,C:\\Windows\\SYSTEM32\\winlogonext.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9bbe0000,0x171000,USER32.dll,C:\\Windows\\system32\\USER32.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9e1a0000,0x145000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9de50000,0x34000,IMM32.DLL,C:\\Windows\\system32\\IMM32.DLL,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9da30000,0x138000,MSCTF.dll,C:\\Windows\\system32\\MSCTF.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9b6d0000,0x14000,profapi.dll,C:\\Windows\\system32\\profapi.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9b5e0000,0x57000,winsta.dll,C:\\Windows\\SYSTEM32\\winsta.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9a580000,0x16000,uxinit.dll,C:\\Windows\\SYSTEM32\\uxinit.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9a420000,0x122000,UxTheme.dll,C:\\Windows\\system32\\UxTheme.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9c160000,0x1d7000,combase.dll,C:\\Windows\\SYSTEM32\\combase.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9b8f0000,0x1d7000,CRYPT32.dll,C:\\Windows\\system32\\CRYPT32.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9b780000,0x12000,MSASN1.dll,C:\\Windows\\system32\\MSASN1.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9a390000,0x9000,DPAPI.dll,C:\\Windows\\system32\\DPAPI.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9b660000,0xa000,CRYPTBASE.dll,C:\\Windows\\system32\\CRYPTBASE.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9b4e0000,0x5e000,bcryptPrimitives.dll,C:\\Windows\\system32\\bcryptPrimitives.dll,-1,2023-03-29 00:11:26.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9b4b0000,0x2b000,SspiCli.dll,C:\\Windows\\system32\\SspiCli.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb9a300000,0x8b000,apphelp.dll,C:\\Windows\\system32\\apphelp.dll,-1,2023-03-29 00:11:26.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb971e0000,0x30000,ntmarta.dll,C:\\Windows\\SYSTEM32\\ntmarta.dll,6,2023-03-29 00:11:38.000000 UTC,Disabled
0,428,winlogon.exe,0x7ffb93200000,0x1b000,MPR.dll,C:\\Windows\\system32\\MPR.dll,6,2023-03-29 00:11:38.000000 UTC,Disabled
0,484,services.exe,0x7ff795ce0000,0x65000,services.exe,C:\\Windows\\system32\\services.exe,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,484,services.exe,0x7ffb9e350000,0x1a9000,-,-,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,484,services.exe,0x7ffb9e060000,0x139000,KERNEL32.DLL,C:\\Windows\\system32\\KERNEL32.DLL,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,484,services.exe,0x7ffb9bad0000,0x10e000,KERNELBASE.dll,C:\\Windows\\system32\\KERNELBASE.dll,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,484,services.exe,0x7ffb9bfc0000,0x136000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,484,services.exe,0x7ffb9b4b0000,0x2b000,SspiCli.dll,C:\\Windows\\system32\\SspiCli.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,484,services.exe,0x7ffb9b6d0000,0x14000,profapi.dll,C:\\Windows\\system32\\profapi.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,484,services.exe,0x7ffb9c100000,0x57000,sechost.dll,C:\\Windows\\SYSTEM32\\sechost.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,484,services.exe,0x7ffb9b660000,0xa000,CRYPTBASE.dll,C:\\Windows\\system32\\CRYPTBASE.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,484,services.exe,0x7ffb9b4e0000,0x5e000,bcryptPrimitives.dll,C:\\Windows\\system32\\bcryptPrimitives.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,484,services.exe,0x7ffb9b490000,0x10000,scext.dll,C:\\Windows\\system32\\scext.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,484,services.exe,0x7ffb9b320000,0x8000,DABAPI.dll,C:\\Windows\\system32\\DABAPI.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,484,services.exe,0x7ffb9b310000,0xb000,EventAggregation.dll,C:\\Windows\\system32\\EventAggregation.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,484,services.exe,0x7ffb9b2e0000,0x25000,srvcli.dll,C:\\Windows\\system32\\srvcli.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,484,services.exe,0x7ffb9dda0000,0xa7000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,484,services.exe,0x7ffb9b1f0000,0x1d000,spinf.dll,C:\\Windows\\SYSTEM32\\spinf.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,484,services.exe,0x7ffb9a9e0000,0x88000,scesrv.dll,C:\\Windows\\SYSTEM32\\scesrv.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,484,services.exe,0x7ffb9a990000,0x48000,AUTHZ.dll,C:\\Windows\\system32\\AUTHZ.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,484,services.exe,0x7ffb9bf40000,0x58000,WS2_32.dll,C:\\Windows\\system32\\WS2_32.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,484,services.exe,0x7ffb9c4e0000,0x9000,NSI.dll,C:\\Windows\\system32\\NSI.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,484,services.exe,0x7ffb9af30000,0x58000,mswsock.dll,C:\\Windows\\system32\\mswsock.dll,6,2023-03-29 00:11:26.000000 UTC,Disabled
0,484,services.exe,0x7ffb9ad00000,0x3d000,logoncli.dll,C:\\Windows\\system32\\logoncli.dll,6,2023-03-29 00:14:08.000000 UTC,Disabled
0,484,services.exe,0x7ffb9a300000,0x8b000,apphelp.dll,C:\\Windows\\system32\\apphelp.dll,-1,2023-03-29 00:14:09.000000 UTC,Disabled
0,492,lsass.exe,0x7ff674f00000,0xe000,lsass.exe,C:\\Windows\\system32\\lsass.exe,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,492,lsass.exe,0x7ffb9e350000,0x1a9000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,492,lsass.exe,0x7ffb9e060000,0x139000,KERNEL32.DLL,C:\\Windows\\system32\\KERNEL32.DLL,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,492,lsass.exe,0x7ffb9bad0000,0x10e000,KERNELBASE.dll,C:\\Windows\\system32\\KERNELBASE.dll,-1,2023-03-29 00:11:25.000000 UTC,Disabled
0,492,lsass.exe,0x7ffb9bfc0000,0x136000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,492,lsass.exe,0x7ffb9b4a0000,0xb000,SspiSrv.dll,C:\\Windows\\system32\\SspiSrv.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,492,lsass.exe,0x7ffb9b330000,0x15d000,lsasrv.dll,C:\\Windows\\system32\\lsasrv.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
0,492,lsass.exe,0x7ffb9dda0000,0xa7000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,6,2023-03-29 00:11:25.000000 UTC,Disabled
