TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0xe000000d2900,0x4,Process,0x1fffff,System Pid 4
0,4,System,0xe000014f9cd0,0x8,File,0x12019f,\\Device\\clfs\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0xc0000000c860,0xc,Directory,0xf000f,GLOBAL??
0,4,System,0xe000000e0d00,0x10,Mutant,0x1f0001,BcdSyncMutant
0,4,System,0xc000000471c0,0x14,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0xc00000010d00,0x18,Key,0x0,-
0,4,System,0xe00001488f20,0x1c,File,0x12019f,\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,4,System,0xc00000088ce0,0x20,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT\\PREFETCHPARAMETERS
0,4,System,0xe000014fc330,0x24,File,0x12019f,\\Device\\clfsTxfLog
0,4,System,0xc00000092610,0x28,Key,0x2001f,MACHINE\\SYSTEM\\SETUP
0,4,System,0xe00000136e40,0x30,ALPC Port,0x1f0001,PowerMonitorPort
0,4,System,0xc000000926f0,0x34,Key,0xf003f,MACHINE\\SYSTEM\\DRIVERDATABASE
0,4,System,0xe0000013be40,0x38,ALPC Port,0x1f0001,PowerPort
0,4,System,0xc00000090e40,0x3c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0xc0000008fec0,0x40,Key,0xf003f,MACHINE\\SYSTEM
0,4,System,0xc0000008f6f0,0x44,Key,0xf003f,USER
0,4,System,0xe0000005bc60,0x48,Event,0x1f0003,-
0,4,System,0xc00000068190,0x4c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\ENUM
0,4,System,0xc00000090a20,0x50,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0xc000001b8420,0x54,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECONTAINERS
0,4,System,0xc000001ba800,0x58,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS
0,4,System,0xc000001bdb10,0x5c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES
0,4,System,0xe000016ad690,0x60,File,0x3,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\SECURITY.LOG1
0,4,System,0xc000001abc20,0x64,Key,0x2,MACHINE\\SYSTEM\\RNG
0,4,System,0xc00000124d50,0x68,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\NOTIFICATIONS
0,4,System,0xe000014fbbc0,0x6c,File,0x1,\\Device\\HarddiskVolume2\\Extend\\$RmMetadata\\$Txf:$I30:$INDEX_ALLOCATION
0,4,System,0xc000001be370,0x70,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\WMI\\SECURITY
0,4,System,0xe000016b8ea0,0x74,File,0x20003,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\SOFTWARE
0,4,System,0xc00000132af0,0x78,Token,0xe,-
0,4,System,0xe000014d9050,0x7c,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0xc00000122c60,0x80,SymbolicLink,0xf0001,ACPI#FixedButton#2&daba3ff&2#{4afa3d53-74a7-11d0-be5e-00a0c9062857}
0,4,System,0xc00000129040,0x84,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\FILESYSTEM
0,4,System,0xc0000017be60,0x88,Key,0xb,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\NDIS\\IFTYPES\\131
0,4,System,0xc000001a5b20,0x8c,Key,0xf003f,MACHINE\\HARDWARE\\DEVICEMAP\\SCSI\\SCSI PORT 0\\SCSI BUS 0
0,4,System,0xe00001703900,0x90,File,0x3,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\SECURITY.LOG2
0,4,System,0xe00001478490,0x94,File,0x20003,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\SECURITY
0,4,System,0xe000016fb430,0x98,File,0x10003,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\RegBack\\SAM
0,4,System,0xe00001706a40,0x9c,File,0x3,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\DEFAULT.LOG1
0,4,System,0xe00001706b70,0xa0,File,0x3,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\SYSTEM.LOG1
0,4,System,0xe000016b9040,0xa4,TmTm,0xf003f,-
0,4,System,0xe000016b9820,0xa8,TmRm,0x1f007f,-
0,4,System,0xe000016c9ca0,0xac,File,0x12019f,\\Device\\clfsKtmLog
0,4,System,0xe000016ba320,0xb0,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0xe000016b0050,0xb4,File,0x20003,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\DEFAULT
0,4,System,0xe000016c8b10,0xb8,File,0x20003,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\SAM
0,4,System,0xe0000179de00,0xbc,File,0x120089,\\Device\\HarddiskVolume2\\Windows\\System32\\drivers\\en-US\\USBXHCI.SYS.mui
0,4,System,0xe000016b0810,0xc0,File,0x12019f,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
0,4,System,0xe000016c85b0,0xc4,File,0x12019f,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,4,System,0xe000016b1ab0,0xc8,File,0x12019f,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,4,System,0xc00000eb32c0,0xcc,Token,0xe,-
0,4,System,0xe00000160bf0,0xd0,Session,0x0,Session1
0,4,System,0xe000016c8d30,0xd4,TmRm,0x12007f,-
0,4,System,0xe000017018c0,0xd8,File,0x3,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\DEFAULT.LOG2
0,4,System,0xe000000d9070,0xdc,ALPC Port,0x1f0001,-
0,4,System,0xe000016bc380,0xe0,File,0x1,\\Device\\HarddiskVolume1\\Extend\\$RmMetadata\\$Txf:$I30:$INDEX_ALLOCATION
0,4,System,0xe00001f2d7c0,0xe4,Event,0x1f0003,EventShutDownCSRSS
0,4,System,0xe000015c2a90,0xe8,TmRm,0x12007f,-
0,4,System,0xe000016c2050,0xec,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0xe000016ba9a0,0xf0,File,0x12019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0xe000016c92d0,0xf4,File,0x12019f,\\Device\\clfsTxfLog
0,4,System,0xe000014f9250,0xf8,TmTm,0xf003f,-
0,4,System,0xe00001523db0,0xfc,TmRm,0x1f007f,-
0,4,System,0xe000014d9c10,0x100,File,0x12019f,\\Device\\clfsKtmLog
0,4,System,0xc000001e6980,0x104,SymbolicLink,0xf0001,ROOT#vdrvroot#0000#{2e34d650-5819-42ca-84ae-d30803bae505}
0,4,System,0xe00000092b50,0x108,File,0x12019f,\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
0,4,System,0xc00000209c90,0x10c,SymbolicLink,0xf0001,PCI#VEN_8086&DEV_2829&SUBSYS_00000000&REV_02#3&267a616a&2&68#{2accfe60-c130-11d2-b082-00a0c91efb8b}
0,4,System,0xc000001834e0,0x110,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0xe000014dc770,0x114,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0xc00000129970,0x118,Key,0xf003f,MACHINE\\HARDWARE\\DEVICEMAP\\SCSI\\SCSI PORT 0\\SCSI BUS 1
0,4,System,0xe000005bda40,0x11c,ALPC Port,0x1f0001,PdcPort
0,4,System,0xe00001701c90,0x120,File,0x3,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\SYSTEM.LOG2
0,4,System,0xc0000020f390,0x124,SymbolicLink,0xf0001,ROOT#spaceport#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0xc00000209fe0,0x128,SymbolicLink,0xf0001,ROOT#volmgr#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0xe000013ac860,0x12c,TmTm,0xf003f,-
0,4,System,0xe000013a1050,0x130,TmRm,0x1f007f,-
0,4,System,0xe000013a1a60,0x134,TmRm,0x1f007f,-
0,4,System,0xe000013bb610,0x138,FilterConnectionPort,0x1f0001,MicrosoftMalwareProtectionControlPortWD
0,4,System,0xe000013b8820,0x13c,FilterConnectionPort,0x1f0001,MicrosoftMalwareProtectionPortWD
0,4,System,0xe000013b7820,0x140,FilterConnectionPort,0x1f0001,MicrosoftMalwareProtectionVeryLowIoPortWD
0,4,System,0xe000013b3820,0x144,FilterConnectionPort,0x1f0001,MicrosoftMalwareProtectionRemoteIoPortWD
0,4,System,0xe000013b2820,0x148,FilterConnectionPort,0x1f0001,MicrosoftMalwareProtectionAsyncPortWD
0,4,System,0xc000001fabf0,0x14c,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\FILESYSTEM
0,4,System,0xc000001fa6f0,0x150,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\POLICIES
0,4,System,0xe000000d2900,0x154,Process,0x1440,System Pid 4
0,4,System,0xc0000017de00,0x158,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\PCW\\SECURITY
0,4,System,0xc0000017bbe0,0x15c,Key,0xb,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\NDIS\\IFTYPES\\24
0,4,System,0xc0000017b960,0x160,Key,0xb,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\NDIS\\IFTYPES\\6
0,4,System,0xc0000017b6e0,0x164,Key,0xb,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\NDIS\\IFTYPES\\71
0,4,System,0xc0000022e8e0,0x168,SymbolicLink,0xf0001,SCSI#Disk&Ven_VBOX&Prod_HARDDISK#4&8f5d389&0&000000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0xe00001701b60,0x16c,File,0x3,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\SOFTWARE.LOG2
0,4,System,0xc00000005700,0x170,Token,0xf01ff,-
0,4,System,0xc000001f5560,0x174,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\NETWORKPROVIDER\\ORDER
0,4,System,0xc0000020bc60,0x178,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\MUP
0,4,System,0xe00001704db0,0x17c,File,0x3,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\SAM.LOG1
0,4,System,0xc000001ebeb0,0x180,Directory,0xf000f,Harddisk0
0,4,System,0xc00000ecc3e0,0x184,Token,0xe,-
0,4,System,0xe000014f8520,0x188,File,0x12019f,\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
