TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xbf1793d0,UDPv6,fe80::689f:3b24:88e3:1b19,546,*,0,,716,svchost.exe,2023-03-29 00:19:42.000000 UTC
0,0x119e03ec0,UDPv4,10.72.2.52,50466,*,0,,1620,svchost.exe,2023-03-29 00:12:37.000000 UTC
0,0x119e0d7a0,TCPv4,10.72.2.52,54177,142.250.180.14,443,CLOSED,1988,chrome.exe,-
0,0x119e2aa10,TCPv4,10.72.2.52,54209,34.104.35.123,80,ESTABLISHED,768,svchost.exe,N/A
0,0x119e5c5e0,TCPv4,10.72.2.52,54286,142.250.180.14,443,ESTABLISHED,1988,chrome.exe,N/A
0,0x119ea8d10,TCPv4,10.72.2.52,54281,66.102.1.102,443,CLOSED,1988,chrome.exe,-
0,0x119eb4850,UDPv4,10.72.2.52,1900,*,0,,1620,svchost.exe,2023-03-29 00:12:36.000000 UTC
0,0x119ebe550,UDPv6,::1,50465,*,0,,1620,svchost.exe,2023-03-29 00:12:37.000000 UTC
0,0x119f10310,TCPv4,10.72.2.52,54227,20.90.153.243,443,ESTABLISHED,1928,explorer.exe,N/A
0,0x119f16d10,TCPv4,10.72.2.52,54253,172.217.16.238,443,CLOSED,1988,chrome.exe,-
0,0x119f85d10,TCPv4,10.72.2.52,54206,142.250.178.17,443,CLOSED,1988,chrome.exe,-
0,0x119fa52a0,TCPv4,10.72.2.52,54289,142.250.178.14,443,ESTABLISHED,1988,chrome.exe,N/A
0,0x119ff1d10,TCPv4,10.72.2.52,54302,142.250.200.35,443,ESTABLISHED,1988,chrome.exe,N/A
0,0x11a042560,UDPv4,0.0.0.0,5004,*,0,,1960,wmpnetwk.exe,2023-03-29 00:13:29.000000 UTC
0,0x11a048d70,UDPv4,0.0.0.0,3702,*,0,,812,svchost.exe,2023-03-29 00:12:37.000000 UTC
0,0x11a048d70,UDPv6,::,3702,*,0,,812,svchost.exe,2023-03-29 00:12:37.000000 UTC
0,0x11a1d8d40,UDPv4,0.0.0.0,0,*,0,,1000,svchost.exe,2023-03-29 00:12:36.000000 UTC
0,0x11a1d8d40,UDPv6,::,0,*,0,,1000,svchost.exe,2023-03-29 00:12:36.000000 UTC
0,0x11a1ecb60,UDPv4,10.72.2.52,138,*,0,,4,System,2023-03-29 00:12:36.000000 UTC
0,0x11a20f400,UDPv4,0.0.0.0,5005,*,0,,1960,wmpnetwk.exe,2023-03-29 00:13:29.000000 UTC
