TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0x7e4090c0,0x95528000,0xa000,secdrv,secdrv,\\Driver\\secdrv
0,0x7e446db8,0x8fb65000,0xb000,mouhid,mouhid,\\Driver\\mouhid
0,0x7e4b2100,0x8f98b000,0x44000,usbhub,usbhub,\\Driver\\usbhub
0,0x7e4cd848,0x8f9e0000,0x50000,HdAudAddService,HdAudAddService,\\Driver\\HdAudAddService
0,0x7e4cf958,0x8f9cf000,0x11000,NDProxy,NDProxy,\\Driver\\NDProxy
0,0x7e4d7e00,0x910a0000,0x0,\\Driver\\Win32k,Win32k,\\Driver\\Win32k
0,0x7e6f84a0,0x8fb1b000,0xb000,HidUsb,HidUsb,\\Driver\\HidUsb
0,0x7e7065d0,0x8fb52000,0x13000,rspndr,rspndr,\\Driver\\rspndr
0,0x7e707d38,0x8fb42000,0x10000,lltdio,lltdio,\\Driver\\lltdio
0,0x7e769ba0,0x89a87000,0x19000,bowser,bowser,\\FileSystem\\bowser
0,0x7e7783b0,0x95400000,0x23000,mrxsmb,mrxsmb,\\FileSystem\\mrxsmb
0,0x7e781270,0x89aa0000,0x12000,mpsdrv,mpsdrv,\\Driver\\mpsdrv
0,0x7e784aa0,0x95423000,0x3b000,mrxsmb10,mrxsmb10,\\FileSystem\\mrxsmb10
0,0x7e788c98,0x9545e000,0x1b000,mrxsmb20,mrxsmb20,\\FileSystem\\mrxsmb20
0,0x7e78a820,0x95491000,0x97000,PEAUTH,PEAUTH,\\Driver\\PEAUTH
0,0x7e7a63b0,0x95560000,0x4f000,srv2,srv2,\\FileSystem\\srv2
0,0x7e7b8e90,0x95553000,0xd000,tcpipreg,tcpipreg,\\Driver\\tcpipreg
0,0x7ec1edb8,0x8fb70000,0x85000,HTTP,HTTP,\\Driver\\HTTP
0,0x7ed12d80,0x9566a000,0x2e00,ad_driver,ad_driver,\\Driver\\ad_driver
0,0x7ed93a70,0x89400000,0x18000,i8042prt,i8042prt,\\Driver\\i8042prt
0,0x7ee07f38,0x89aba000,0x1f000,cdrom,cdrom,\\Driver\\cdrom
0,0x7ee0f030,0x89ad9000,0x7000,Null,Null,\\Driver\\Null
0,0x7ee105f8,0x89b21000,0x8000,RDPCDD,RDPCDD,\\Driver\\RDPCDD
0,0x7ee107e8,0x89b29000,0x8000,RDPENCDD,RDPENCDD,\\Driver\\RDPENCDD
0,0x7ee10c98,0x89ae7000,0xc000,VgaSave,VgaSave,\\Driver\\VgaSave
0,0x7ee120c8,0x89b31000,0x8000,RDPREFMP,RDPREFMP,\\Driver\\RDPREFMP
0,0x7ee13030,0x89b39000,0xb000,Msfs,Msfs,\\FileSystem\\Msfs
0,0x7ee15c60,0x89b44000,0xe000,Npfs,Npfs,\\FileSystem\\Npfs
0,0x7ee16dc0,0x89b52000,0x17000,tdx,tdx,\\Driver\\tdx
0,0x7ee1a3c0,0x89b74000,0x5a000,AFD,AFD,\\Driver\\AFD
0,0x7ee1c1e0,0x89757000,0x41000,rdbss,rdbss,\\FileSystem\\rdbss
0,0x7ee1ca90,0x89747000,0x10000,TermDD,TermDD,\\Driver\\TermDD
0,0x7ee1fc70,0x89715000,0x1f000,Psched,Psched,\\Driver\\Psched
0,0x7ee2af38,0x89734000,0x13000,Wanarpv6,Wanarpv6,\\Driver\\Wanarpv6
0,0x7ee2ba58,0x89807000,0xe000,NetBIOS,NetBIOS,\\FileSystem\\NetBIOS
0,0x7ee3c6e8,0x89798000,0xa000,nsiproxy,nsiproxy,\\Driver\\nsiproxy
0,0x7ee43210,0x897d0000,0xe000,blbdrive,blbdrive,\\Driver\\blbdrive
0,0x7ee43b68,0x897b8000,0x18000,DfsC,DfsC,\\FileSystem\\DfsC
0,0x7ee44030,0x893d2000,0xd000,kbdclass,kbdclass,\\Driver\\kbdclass
0,0x7ee45890,0x897de000,0x21000,tunnel,tunnel,\\Driver\\tunnel
0,0x7ee485f0,0x897ac000,0xc000,discache,discache,\\Driver\\discache
0,0x7ee48c38,0x897a2000,0xa000,mssmbios,mssmbios,\\Driver\\mssmbios
0,0x7ee492d8,0x893df000,0xd000,mouclass,mouclass,\\Driver\\mouclass
0,0x7ee5bf38,0x893ec000,0xd000,vga,vga,\\Driver\\vga
