TreeDepth,Offset,Name
0,0x4bf2df8,\\Users\\devmac\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Storage\\ext\\nmmhkkegccagdldgiimedpiccmgmieda\\def\\Session Storage\\MANIFEST-000002
0,0x4bf4158,\\Windows\\System32\\keyiso.dll
0,0x4bf50e0,\\Endpoint
0,0x4bf5930,\\Windows\\System32\\avicap32.dll
0,0x4bf5e60,\\Windows\\Fonts\\cambria.ttc
0,0x4bf8870,\\$Directory
0,0x4bf8b00,\\Windows\\System32\\devmgr.dll
0,0x75801117,＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ＀ÿ
0,0x7e006928,\\Windows\\System32\\wdi.dll
0,0x7e006bf0,\\Endpoint
0,0x7e009250,\\$Directory
0,0x7e009308,\\Windows\\Vss\\Writers\\System\\0bada1de-01a9-4625-8278-69e735f39dd2.xml
0,0x7e0096d0,\\$Directory
0,0x7e00a3e8,\\Endpoint
0,0x7e00ab88,\\Endpoint
0,0x7e00c738,\\Windows\\System32\\winrnr.dll
0,0x7e00c8a8,\\Windows\\System32\\en-US\\KernelBase.dll.mui
0,0x7e00d738,\\$PrepareToShrinkFileSize
0,0x7e00ecf8,\\Windows\\Fonts\\davidbd.ttf
0,0x7e017038,\\Windows\\Fonts\\majallab.ttf
0,0x7e0170f8,\\Windows\\Fonts\\wingding.ttf
0,0x7e0171b0,\\Windows\\Fonts\\vijaya.ttf
0,0x7e017268,\\Windows\\Fonts\\simpfxo.ttf
0,0x7e0173a8,\\Windows\\System32\\tdh.dll
0,0x7e01a028,\\
0,0x7e01a810,\\Endpoint
0,0x7e01a910,\\srvsvc
0,0x7e01aa00,\\Endpoint
0,0x7e01b038,\\Windows\\Fonts\\utsaah.ttf
0,0x7e01b918,\\Windows\\Fonts\\mriamc.ttf
0,0x7e01bb00,\\Windows\\Fonts\\mriam.ttf
0,0x7e027230,\\Endpoint
0,0x7e0288f8,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-GroupPolicy%4Operational.evtx
0,0x7e028a90,\\Endpoint
0,0x7e028c10,\\Windows\\System32\\adtschema.dll
0,0x7e02a970,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-Dhcp-Client%4Admin.evtx
0,0x7e02c0f8,\\Winsock2\\CatalogChangeListener-1c8-0
0,0x7e02c1b0,\\srvsvc
