TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0x8483ca20,0x4,Process,0x1fffff,System Pid 4
0,4,System,0x8ac0aef0,0x8,Key,0x0,-
0,4,System,0x8ac401a0,0xc,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0x8ac5be38,0x10,Key,0x2001f,MACHINE\\SYSTEM\\SETUP
0,4,System,0x8ac39670,0x14,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT\\PREFETCHPARAMETERS
0,4,System,0x8ac08ae8,0x18,Key,0x20019,MACHINE\\HARDWARE\\DESCRIPTION\\SYSTEM\\MULTIFUNCTIONADAPTER
0,4,System,0x848c3830,0x1c,ALPC Port,0x1f0001,PowerMonitorPort
0,4,System,0x848b7990,0x20,ALPC Port,0x1f0001,PowerPort
0,4,System,0x8ac5d6d0,0x24,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\PRODUCTOPTIONS
0,4,System,0x85181a48,0x28,Thread,0x1fffff,Tid 176 Pid 4
0,4,System,0x8ac49320,0x2c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0x8ac4c1a0,0x30,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\ENUM
0,4,System,0x8ac4b268,0x34,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS
0,4,System,0x8ac5afd0,0x38,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES
0,4,System,0x8ad09e38,0x3c,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\WMI\\SECURITY
0,4,System,0x8ada8268,0x40,Token,0xe,-
0,4,System,0x85a84ce8,0x44,ALPC Port,0x1f0001,SeRmCommandPort
0,4,System,0x85aacf80,0x48,File,0x3,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\SYSTEM.LOG1
0,4,System,0x85a5b020,0x4c,Process,0x2a,smss.exe Pid 236
0,4,System,0x85aa4420,0x50,TmRm,0x1f007f,-
0,4,System,0x8648cd58,0x54,File,0x180,\\Device\\NetBT_Tcpip_{D067C2F6-2FB7-4ED2-909B-9431A4A0A279}
0,4,System,0x85a95968,0x58,File,0x12019f,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,4,System,0x8603ab28,0x5c,File,0x2020003,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\SAM
0,4,System,0x8f501858,0x60,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LSA
0,4,System,0x8f513878,0x64,Key,0x11,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LSA
0,4,System,0x86041d28,0x68,File,0x13008b,\\Device\\HarddiskVolume2\\Windows\\System32\\LogFiles\\WMI\\RtBackup\\EtwRTEventLog-System.etl
0,4,System,0x86492578,0x6c,File,0x12019f,\\Device\\NetBT_Tcpip_{D067C2F6-2FB7-4ED2-909B-9431A4A0A279}
0,4,System,0x85a9d2f0,0x70,TmTm,0xf003f,-
0,4,System,0x85a98488,0x74,File,0x12019f,\\Device\\clfsTxfLog
0,4,System,0x85a7f028,0x78,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x85a9d250,0x7c,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x85a9daa8,0x80,File,0x12019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x85a9f390,0x84,File,0x1,\\Device\\HarddiskVolume1
0,4,System,0x86041ed8,0x88,File,0x13008b,\\Device\\HarddiskVolume2\\Windows\\System32\\LogFiles\\WMI\\RtBackup\\EtwRTEventLog-Application.etl
0,4,System,0x85702998,0x8c,TmRm,0x12007f,-
0,4,System,0x85682c68,0x90,TmTm,0xf003f,-
0,4,System,0x85681ea8,0x94,TmRm,0x1f007f,-
0,4,System,0x85682970,0x98,File,0x12019f,\\Device\\clfsKtmLog
0,4,System,0x85682bc8,0x9c,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x85681420,0xa0,File,0x12019f,\\Device\\clfs\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x85683bc8,0xa4,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x85664c50,0xa8,File,0x12019f,\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
0,4,System,0x85681c08,0xac,File,0x1,\\Device\\HarddiskVolume2
0,4,System,0x856fe148,0xb0,File,0x12019f,\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,4,System,0x85654f80,0xb4,File,0x12019f,\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,4,System,0x8567f258,0xb8,File,0x12019f,\\Device\\clfsTxfLog
0,4,System,0x85aa5028,0xbc,File,0x12019f,\\Device\\clfsKtmLog
0,4,System,0x8adfd910,0xc0,Key,0x2,MACHINE\\SYSTEM\\RNG
0,4,System,0x8adffe38,0xc4,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\POLICIES
0,4,System,0x8ae326d8,0xc8,Key,0xb,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\NDIS\\IFTYPES\\1
0,4,System,0x8ae2fcc8,0xcc,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\PCW\\SECURITY
0,4,System,0x8ada9640,0xd0,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0x8adfff70,0xd4,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\FILESYSTEM
0,4,System,0x8483ca20,0xd8,Process,0x1440,System Pid 4
0,4,System,0x8ae38e40,0xdc,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\MUP
