TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x7e006658,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,456,services.exe,N/A
0,0x7e006d80,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,456,services.exe,N/A
0,0x7e006d80,TCPv6,::,49155,::,0,LISTENING,456,services.exe,N/A
0,0x7e00a1e8,UDPv4,0.0.0.0,49153,*,0,,1360,svchost.exe,2023-03-28 22:35:29.000000 UTC
0,0x7e00a1e8,UDPv6,::,49153,*,0,,1360,svchost.exe,2023-03-28 22:35:29.000000 UTC
0,0x7e00a988,UDPv4,0.0.0.0,49152,*,0,,1360,svchost.exe,2023-03-28 22:35:29.000000 UTC
0,0x7e02cab8,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,N/A
0,0x7e02cab8,TCPv6,::,445,::,0,LISTENING,4,System,N/A
0,0x7e03a9a8,TCPv4,10.0.2.42,49272,142.250.200.46,443,ESTABLISHED,1472,chrome.exe,-
0,0x7e051140,UDPv4,0.0.0.0,0,*,0,,1052,svchost.exe,2023-03-28 22:35:31.000000 UTC
0,0x7e051140,UDPv6,::,0,*,0,,1052,svchost.exe,2023-03-28 22:35:31.000000 UTC
0,0x7e0512e8,UDPv4,0.0.0.0,3702,*,0,,1360,svchost.exe,2023-03-28 22:35:31.000000 UTC
0,0x7e060890,TCPv4,10.0.2.42,49244,142.250.200.46,443,ESTABLISHED,1472,chrome.exe,-
0,0x7e06ca18,UDPv4,0.0.0.0,3702,*,0,,1360,svchost.exe,2023-03-28 22:35:31.000000 UTC
0,0x7e0b72f0,UDPv4,0.0.0.0,3702,*,0,,1360,svchost.exe,2023-03-28 22:35:31.000000 UTC
0,0x7e0b72f0,UDPv6,::,3702,*,0,,1360,svchost.exe,2023-03-28 22:35:31.000000 UTC
0,0x7e0b74e8,UDPv4,0.0.0.0,3702,*,0,,1360,svchost.exe,2023-03-28 22:35:31.000000 UTC
0,0x7e0b74e8,UDPv6,::,3702,*,0,,1360,svchost.exe,2023-03-28 22:35:31.000000 UTC
0,0x7e0f1cc8,TCPv4,0.0.0.0,49157,0.0.0.0,0,LISTENING,472,lsass.exe,N/A
0,0x7e143008,TCPv4,0.0.0.0,49157,0.0.0.0,0,LISTENING,472,lsass.exe,N/A
0,0x7e143008,TCPv6,::,49157,::,0,LISTENING,472,lsass.exe,N/A
0,0x7e179430,TCPv4,10.0.2.42,49304,172.217.16.238,443,ESTABLISHED,1472,chrome.exe,-
0,0x7e179800,TCPv4,10.0.2.42,49261,216.58.212.227,443,ESTABLISHED,1472,chrome.exe,-
0,0x7e187008,TCPv4,10.0.2.42,49276,142.250.187.234,443,ESTABLISHED,1472,chrome.exe,-
0,0x7e1caf50,UDPv4,0.0.0.0,63198,*,0,,1472,chrome.exe,2023-03-28 22:41:18.000000 UTC
0,0x7e1f0008,TCPv4,10.0.2.42,49263,142.250.179.227,443,ESTABLISHED,1472,chrome.exe,-
0,0x7e2229f8,TCPv4,10.0.2.42,49269,142.250.187.206,443,ESTABLISHED,1472,chrome.exe,-
0,0x7e22a2f0,UDPv4,0.0.0.0,3702,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e22af50,UDPv4,0.0.0.0,3702,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e22c008,UDPv4,0.0.0.0,3702,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e22c008,UDPv6,::,3702,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e22c118,UDPv4,0.0.0.0,51005,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e22c118,UDPv6,::,51005,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e22c450,UDPv4,0.0.0.0,51004,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e22cbf8,UDPv4,0.0.0.0,3702,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e22cbf8,UDPv6,::,3702,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e22d008,TCPv4,10.0.2.42,49302,142.250.179.227,443,ESTABLISHED,1472,chrome.exe,-
0,0x7e23a7f8,TCPv4,10.0.2.42,49262,10.0.2.255,443,CLOSED,1472,chrome.exe,-
0,0x7e252008,TCPv4,10.0.2.42,49243,142.250.178.14,443,ESTABLISHED,1472,chrome.exe,-
