TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0x8483ca20,84,532,N/A,False,2023-03-28 22:35:27.000000 UTC,N/A,-,-,-
1,236,4,smss.exe,0x85a5b020,2,31,N/A,False,2023-03-28 22:35:27.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
0,316,296,csrss.exe,0x85708d40,9,481,0,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,12288,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,364,296,wininit.exe,0x861f2a58,3,76,0,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,456,364,services.exe,0x86249b20,7,212,0,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,3992,456,mscorsvw.exe,0x84adcd40,6,90,0,False,2023-03-28 22:37:29.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\Microsoft.NET\\Framework\\v2.0.50727\\mscorsvw.exe,C:\\Windows\\Microsoft.NET\\Framework\\v2.0.50727\\mscorsvw.exe,C:\\Windows\\Microsoft.NET\\Framework\\v2.0.50727\\mscorsvw.exe
2,1052,456,svchost.exe,0x863137a0,17,494,0,False,2023-03-28 22:35:29.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService,C:\\Windows\\system32\\svchost.exe
2,668,456,svchost.exe,0x856d4030,8,278,0,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS,C:\\Windows\\system32\\svchost.exe
2,800,456,svchost.exe,0x862d29a8,14,312,0,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted,C:\\Windows\\System32\\svchost.exe
3,268,800,dwm.exe,0x864d88c8,3,73,1,False,2023-03-28 22:35:36.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\dwm.exe,"""C:\\Windows\\system32\\Dwm.exe""",C:\\Windows\\system32\\Dwm.exe
