TreeDepth,Index,Address,Module,Symbol
0,0,0x82a43384,ntoskrnl,NtAcceptConnectPort
0,1,0x82894774,ntoskrnl,NtAccessCheck
0,2,0x82a7b518,ntoskrnl,NtAccessCheckAndAuditAlarm
0,3,0x828bfdea,ntoskrnl,NtAccessCheckByType
0,4,0x82a5da50,ntoskrnl,NtAccessCheckByTypeAndAuditAlarm
0,5,0x828ff45a,ntoskrnl,NtAccessCheckByTypeResultList
0,6,0x82ae9eab,ntoskrnl,NtAccessCheckByTypeResultListAndAuditAlarm
0,7,0x82ae9ef4,ntoskrnl,NtAccessCheckByTypeResultListAndAuditAlarmByHandle
0,8,0x82a67459,ntoskrnl,NtAddAtom
0,9,0x82b03568,ntoskrnl,NtAddBootEntry
0,10,0x82b047c1,ntoskrnl,NtAddDriverEntry
0,11,0x829d5970,ntoskrnl,NtAdjustGroupsToken
0,12,0x82a7474f,ntoskrnl,NtAdjustPrivilegesToken
0,13,0x82add359,ntoskrnl,NtAlertResumeThread
0,14,0x82a66091,ntoskrnl,NtAlertThread
0,15,0x82a61996,ntoskrnl,NtAllocateLocallyUniqueId
0,16,0x82997456,ntoskrnl,NtAllocateReserveObject
0,17,0x82acf878,ntoskrnl,NtAllocateUserPhysicalPages
0,18,0x829db994,ntoskrnl,NtAllocateUuids
0,19,0x82a13759,ntoskrnl,NtAllocateVirtualMemory
0,20,0x82a59175,ntoskrnl,NtAlpcAcceptConnectPort
0,21,0x829d3b53,ntoskrnl,NtAlpcCancelMessage
0,22,0x82a2695a,ntoskrnl,NtAlpcConnectPort
0,23,0x82a6f18c,ntoskrnl,NtAlpcCreatePort
0,24,0x82a6714f,ntoskrnl,NtAlpcCreatePortSection
0,25,0x829f0fe4,ntoskrnl,NtAlpcCreateResourceReserve
0,26,0x82a66f2f,ntoskrnl,NtAlpcCreateSectionView
0,27,0x82a3091b,ntoskrnl,NtAlpcCreateSecurityContext
0,28,0x82a67ff9,ntoskrnl,NtAlpcDeletePortSection
0,29,0x82acab01,ntoskrnl,NtAlpcDeleteResourceReserve
0,30,0x82a490e4,ntoskrnl,NtAlpcDeleteSectionView
0,31,0x82a3adaa,ntoskrnl,NtAlpcDeleteSecurityContext
0,32,0x82a5978d,ntoskrnl,NtAlpcDisconnectPort
0,33,0x82a2627f,ntoskrnl,NtAlpcImpersonateClientOfPort
0,34,0x82a4ef5e,ntoskrnl,NtAlpcOpenSenderProcess
0,35,0x82a680f1,ntoskrnl,NtAlpcOpenSenderThread
0,36,0x829e30f4,ntoskrnl,NtAlpcQueryInformation
0,37,0x82a4ea7c,ntoskrnl,NtAlpcQueryInformationMessage
0,38,0x82acac25,ntoskrnl,NtAlpcRevokeSecurityContext
0,39,0x82a5636f,ntoskrnl,NtAlpcSendWaitReceivePort
0,40,0x82a40543,ntoskrnl,NtAlpcSetInformation
0,41,0x82a3a241,ntoskrnl,NtApphelpCacheControl
0,42,0x829cbb48,ntoskrnl,NtAreMappedFilesTheSame
0,43,0x82a7ebf9,ntoskrnl,NtAssignProcessToJobObject
0,44,0x82867158,ntoskrnl,NtCallbackReturn
0,45,0x829c74f8,ntoskrnl,NtCancelIoFile
0,46,0x82a5e28d,ntoskrnl,NtCancelIoFileEx
0,47,0x82ab7a40,ntoskrnl,NtCancelSynchronousIoFile
0,48,0x828c04be,ntoskrnl,NtCancelTimer
0,49,0x82a77f2f,ntoskrnl,NtClearEvent
0,50,0x82a4dfa7,ntoskrnl,NtClose
0,51,0x82a37bb8,ntoskrnl,NtCloseObjectAuditAlarm
0,52,0x82af18ea,ntoskrnl,NtCommitComplete
0,53,0x82af160a,ntoskrnl,NtCommitEnlistment
0,54,0x82a951b3,ntoskrnl,NtCommitTransaction
