TreeDepth,Offset,Name
0,0x2313d4d,湡敮䅬捣獥s
0,0x4bf22b8,\\Windows\\assembly\\NativeImages_v2.0.50727_32\\Temp\\ZAP9DE1.tmp\\System.DirectoryServices.AccountManagement.dll
0,0x4bf2df8,\\Users\\devmac\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Storage\\ext\\nmmhkkegccagdldgiimedpiccmgmieda\\def\\Session Storage\\MANIFEST-000002
0,0x4bf3458,\\Users\\devmac\\Downloads\\PowerLoader\\PowerLoader\\power_ldr_SRC\\sdropper\\vcxproj32\\Release\\peldr.obj
0,0x4bf36e0,\\Users\\devmac\\Downloads\\PowerLoader\\PowerLoader\\power_ldr_SRC\\sdropper\\vcxproj32\\Debug\\CL.1336.read.1.tlog
0,0x4bf3b88,\\Users\\devmac\\Downloads\\PowerLoader\\PowerLoader\\power_ldr_SRC\\builder\\vcxproj\\Release\\CL.5560.write.1.tlog
0,0x4bf3dd0,\\Users\\devmac\\DOWNLO~1\\POWERL~1\\POWERL~1\\POWER_~2\\builder\\vcxproj\\Release\\CL.5560.read.1.tlog
0,0x4bf4158,\\Windows\\System32\\keyiso.dll
0,0x4bf4848,\\Users\\devmac\\Downloads\\PowerLoader\\PowerLoader\\power_ldr_SRC\\sdropper\\vcxproj32\\Debug\\x64utils.obj
0,0x4bf5500,\\Windows\\System32\\setupetw.dll
0,0x4bf59d0,\\Windows\\System32\\utildll.dll
0,0x4bf5e60,\\Windows\\Fonts\\cambria.ttc
0,0x4bf6240,\\Users\\devmac\\Downloads\\PowerLoader\\PowerLoader\\power_ldr_eng_ADMIN\\img\\c\\dk.gif
0,0x4bf6aa8,\\Windows\\assembly\\NativeImages_v2.0.50727_32\\System.EnterpriseSe#\\c299b012a3fe92ae56d60fe415f63fff\\System.EnterpriseServices.ni.dll
0,0x4bf7140,\\Users\\devmac\\DOWNLO~1\\POWERL~1\\POWERL~1\\POWER_~2\\builder\\vcxproj\\Release\\link-cvtres.read.1.tlog
0,0x4bf86f0,\\Windows\\System32\\wpdshext.dll
0,0x4bf87a8,\\Windows\\System32\\MP4SDECD.DLL
0,0x4bf8b00,\\Windows\\System32\\devmgr.dll
0,0x4bf8cc8,\\Users\\devmac\\AppData\\Roaming\\Microsoft\\Windows\\Libraries
0,0x4bf98b0,\\Users\\devmac\\Downloads\\PowerLoader\\PowerLoader\\power_ldr_eng_ADMIN\\img\\c\\ng.gif
0,0x4bf9c68,\\Users\\devmac\\DOWNLO~1\\POWERL~1\\POWERL~1\\POWER_~1\\img\\c\\ga.gif
0,0x68f49c8d,湡敮䅬捣獥s
0,0x7e006928,\\Windows\\System32\\wdi.dll
0,0x7e006bf0,\\Endpoint
0,0x7e009250,\\$Directory
0,0x7e009308,\\Windows\\assembly\\GAC_32\\Microsoft.Transactions.Bridge.Dtc\\3.0.0.0__b03f5f7f11d50a3a\\Microsoft.Transactions.Bridge.Dtc.dll
