TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x7e006658,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,456,services.exe,N/A
0,0x7e006d80,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,456,services.exe,N/A
0,0x7e006d80,TCPv6,::,49155,::,0,LISTENING,456,services.exe,N/A
0,0x7e00a1e8,UDPv4,0.0.0.0,49153,*,0,,1360,svchost.exe,2023-03-28 22:35:29.000000 UTC
0,0x7e00a1e8,UDPv6,::,49153,*,0,,1360,svchost.exe,2023-03-28 22:35:29.000000 UTC
0,0x7e00a988,UDPv4,0.0.0.0,49152,*,0,,1360,svchost.exe,2023-03-28 22:35:29.000000 UTC
0,0x7e02cab8,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,N/A
0,0x7e02cab8,TCPv6,::,445,::,0,LISTENING,4,System,N/A
0,0x7e03a9a8,TCPv4,10.0.2.42,49272,142.250.200.46,443,ESTABLISHED,1472,chrome.exe,-
0,0x7e051140,UDPv4,0.0.0.0,0,*,0,,1052,svchost.exe,2023-03-28 22:35:31.000000 UTC
0,0x7e051140,UDPv6,::,0,*,0,,1052,svchost.exe,2023-03-28 22:35:31.000000 UTC
0,0x7e0512e8,UDPv4,0.0.0.0,3702,*,0,,1360,svchost.exe,2023-03-28 22:35:31.000000 UTC
0,0x7e06ca18,UDPv4,0.0.0.0,3702,*,0,,1360,svchost.exe,2023-03-28 22:35:31.000000 UTC
0,0x7e0b72f0,UDPv4,0.0.0.0,3702,*,0,,1360,svchost.exe,2023-03-28 22:35:31.000000 UTC
0,0x7e0b72f0,UDPv6,::,3702,*,0,,1360,svchost.exe,2023-03-28 22:35:31.000000 UTC
0,0x7e0b74e8,UDPv4,0.0.0.0,3702,*,0,,1360,svchost.exe,2023-03-28 22:35:31.000000 UTC
0,0x7e0b74e8,UDPv6,::,3702,*,0,,1360,svchost.exe,2023-03-28 22:35:31.000000 UTC
0,0x7e0f1cc8,TCPv4,0.0.0.0,49157,0.0.0.0,0,LISTENING,472,lsass.exe,N/A
0,0x7e13f128,TCPv4,-,49372,192.228.79.201,443,CLOSED,1472,chrome.exe,N/A
0,0x7e143008,TCPv4,0.0.0.0,49157,0.0.0.0,0,LISTENING,472,lsass.exe,N/A
0,0x7e143008,TCPv6,::,49157,::,0,LISTENING,472,lsass.exe,N/A
0,0x7e1b40c0,TCPv4,10.0.2.42,49352,74.125.133.102,80,CLOSED,-,-,N/A
0,0x7e22a2f0,UDPv4,0.0.0.0,3702,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e22af50,UDPv4,0.0.0.0,3702,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e22c008,UDPv4,0.0.0.0,3702,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e22c008,UDPv6,::,3702,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e22c118,UDPv4,0.0.0.0,51005,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e22c118,UDPv6,::,51005,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e22c450,UDPv4,0.0.0.0,51004,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e22cbf8,UDPv4,0.0.0.0,3702,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e22cbf8,UDPv6,::,3702,*,0,,964,svchost.exe,2023-03-28 22:35:50.000000 UTC
0,0x7e27f900,TCPv4,10.0.2.42,49312,172.217.169.35,443,ESTABLISHED,1472,chrome.exe,-
0,0x7e462ac0,TCPv4,10.0.2.42,49301,108.177.15.188,443,ESTABLISHED,1472,chrome.exe,-
0,0x7e69cb70,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,364,wininit.exe,N/A
0,0x7e69cb70,TCPv6,::,49152,::,0,LISTENING,364,wininit.exe,N/A
0,0x7e6ae5f0,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,364,wininit.exe,N/A
0,0x7e6c0e98,UDPv4,10.0.2.42,137,*,0,,4,System,2023-03-28 22:35:30.000000 UTC
0,0x7e6cd230,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,748,svchost.exe,N/A
0,0x7e6d0008,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,748,svchost.exe,N/A
0,0x7e6d0008,TCPv6,::,49153,::,0,LISTENING,748,svchost.exe,N/A
