TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0x8483ca20,84,516,N/A,False,2023-03-28 22:35:27.000000 UTC,N/A,-,-,-
1,236,4,smss.exe,0x85a5b020,2,31,N/A,False,2023-03-28 22:35:27.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
0,316,296,csrss.exe,0x85708d40,9,379,0,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,12288,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,364,296,wininit.exe,0x861f2a58,3,76,0,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,456,364,services.exe,0x86249b20,10,194,0,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,800,456,svchost.exe,0x862d29a8,12,301,0,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted,C:\\Windows\\System32\\svchost.exe
3,268,800,dwm.exe,0x864d88c8,3,73,1,False,2023-03-28 22:35:36.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\dwm.exe,"""C:\\Windows\\system32\\Dwm.exe""",C:\\Windows\\system32\\Dwm.exe
2,964,456,svchost.exe,0x862f8af0,20,543,0,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService,C:\\Windows\\system32\\svchost.exe
2,1220,456,spoolsv.exe,0x85a3f2a8,12,276,0,False,2023-03-28 22:35:29.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe
2,828,456,svchost.exe,0x85ad5518,30,1075,0,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs,C:\\Windows\\system32\\svchost.exe
2,932,456,wmpnetwk.exe,0x86586a68,10,213,0,False,2023-03-28 22:35:50.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Windows Media Player\\wmpnetwk.exe,"""C:\\Program Files\\Windows Media Player\\wmpnetwk.exe""",C:\\Program Files\\Windows Media Player\\wmpnetwk.exe
2,360,456,taskhost.exe,0x864f42b8,8,179,1,False,2023-03-28 22:35:36.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\taskhost.exe,"""taskhost.exe""",C:\\Windows\\system32\\taskhost.exe
2,588,456,svchost.exe,0x862976c0,10,352,0,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch,C:\\Windows\\system32\\svchost.exe
2,748,456,svchost.exe,0x862b3878,22,497,0,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted,C:\\Windows\\System32\\svchost.exe
3,948,748,audiodg.exe,0x85782938,6,133,0,False,2023-03-28 23:15:32.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\audiodg.exe,C:\\Windows\\system32\\AUDIODG.EXE 0x810,C:\\Windows\\system32\\AUDIODG.EXE
2,1052,456,svchost.exe,0x863137a0,16,486,0,False,2023-03-28 22:35:29.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService,C:\\Windows\\system32\\svchost.exe
2,1260,456,svchost.exe,0x86362430,19,301,0,False,2023-03-28 22:35:29.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork,C:\\Windows\\system32\\svchost.exe
2,1360,456,svchost.exe,0x863962b0,16,271,0,False,2023-03-28 22:35:29.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceAndNoImpersonation,C:\\Windows\\system32\\svchost.exe
2,1008,456,SearchIndexer.,0x86566478,15,784,0,False,2023-03-28 22:35:43.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\SearchIndexer.exe,C:\\Windows\\system32\\SearchIndexer.exe /Embedding,C:\\Windows\\system32\\SearchIndexer.exe
2,4048,456,svchost.exe,0x84b8e030,9,316,0,False,2023-03-28 22:37:29.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k secsvcs,C:\\Windows\\System32\\svchost.exe
2,4020,456,sppsvc.exe,0x84b50030,4,150,0,False,2023-03-28 22:37:29.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\sppsvc.exe,C:\\Windows\\system32\\sppsvc.exe,C:\\Windows\\system32\\sppsvc.exe
2,668,456,svchost.exe,0x856d4030,10,257,0,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS,C:\\Windows\\system32\\svchost.exe
1,488,364,lsm.exe,0x8625b820,10,140,0,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\lsm.exe,C:\\Windows\\system32\\lsm.exe,C:\\Windows\\system32\\lsm.exe
1,472,364,lsass.exe,0x86254318,10,563,0,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\lsass.exe,C:\\Windows\\system32\\lsass.exe,C:\\Windows\\system32\\lsass.exe
0,372,356,csrss.exe,0x861ecd40,9,382,1,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,12288,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,412,356,winlogon.exe,0x85759d40,3,116,1,False,2023-03-28 22:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\winlogon.exe,winlogon.exe,C:\\Windows\\system32\\winlogon.exe
0,328,120,explorer.exe,0x864e5290,39,1109,1,False,2023-03-28 22:35:36.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\explorer.exe,C:\\Windows\\Explorer.EXE,C:\\Windows\\Explorer.EXE
1,888,328,131.exe,0x84bb7a28,0,-,1,False,2023-03-28 22:57:01.000000 UTC,2023-03-28 22:57:01.000000 UTC,\\Device\\HarddiskVolume2\\Users\\devmac\\Downloads\\Ransomware.Mamba\\131.exe,-,-
1,1316,328,regsvr32.exe,0x8625e1c0,0,-,1,False,2023-03-28 22:35:36.000000 UTC,2023-03-28 22:35:37.000000 UTC,\\Device\\HarddiskVolume2\\Windows\\System32\\regsvr32.exe,-,-
0,2428,3664,GoogleCrashHan,0x84b53030,5,94,0,False,2023-03-28 22:37:34.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Google\\Update\\1.3.36.152\\GoogleCrashHandler.exe,"""C:\\Program Files\\Google\\Update\\1.3.36.152\\GoogleCrashHandler.exe""",C:\\Program Files\\Google\\Update\\1.3.36.152\\GoogleCrashHandler.exe
0,2728,2544,chrome.exe,0x84983c48,32,1161,1,False,2023-03-28 22:37:34.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Google\\Chrome\\Application\\chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --from-installer",C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe
1,2336,2728,chrome.exe,0x84c0e030,11,178,1,False,2023-03-28 22:38:10.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Google\\Chrome\\Application\\chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-GB --service-sandbox-type=audio --mojo-platform-channel-handle=1944 --field-trial-handle=1168,i,10617341804942265273,14300328758443434581,131072 /prefetch:8",C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe
