TreeDepth,PID,Process,Offset,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,Parent,File,File output
0,4,System,0x857737d8,0x70000,0x8ffff,Vad ,PAGE_READWRITE,0,0,0x8483cc98,N/A,Disabled
0,4,System,0x86278a40,0x40000,0x40fff,Vad ,PAGE_READWRITE,0,0,0x857737d8,N/A,Disabled
0,4,System,0x848d0188,0x10000,0x32fff,Vad ,PAGE_READWRITE,0,0,0x86278a40,N/A,Disabled
0,4,System,0x84c8bb80,0x50000,0x6ffff,Vad ,PAGE_READWRITE,0,0,0x86278a40,N/A,Disabled
0,4,System,0x84c61698,0xb0000,0xcffff,Vad ,PAGE_READWRITE,0,0,0x857737d8,N/A,Disabled
0,4,System,0x84c1c5a8,0x90000,0xaffff,Vad ,PAGE_READWRITE,0,0,0x84c61698,N/A,Disabled
0,4,System,0x84883d28,0x770b0000,0x771ebfff,Vad ,PAGE_EXECUTE_WRITECOPY,9,0,0x84c61698,\\Windows\\System32\\ntdll.dll,Disabled
0,236,smss.exe,0x85a491e8,0x770b0000,0x771ebfff,Vad ,PAGE_EXECUTE_WRITECOPY,9,0,0x85a5b298,\\Windows\\System32\\ntdll.dll,Disabled
0,236,smss.exe,0x85a5cbf0,0x280000,0x2bffff,VadS,PAGE_READWRITE,5,1,0x85a491e8,N/A,Disabled
0,236,smss.exe,0x85ab0120,0x100000,0x100fff,Vad ,PAGE_READWRITE,0,0,0x85a5cbf0,N/A,Disabled
0,236,smss.exe,0x85a442b8,0x0,0xfffff,VadS,PAGE_READWRITE,0,1,0x85ab0120,N/A,Disabled
0,236,smss.exe,0x856fa600,0x1b0000,0x1effff,VadS,PAGE_READWRITE,5,1,0x85ab0120,N/A,Disabled
0,236,smss.exe,0x85a459e0,0x3a0000,0x49ffff,VadS,PAGE_READWRITE,41,1,0x85a5cbf0,N/A,Disabled
0,236,smss.exe,0x8592f9d0,0x47f70000,0x47f82fff,Vad ,PAGE_EXECUTE_WRITECOPY,2,0,0x85a459e0,\\Windows\\System32\\smss.exe,Disabled
0,236,smss.exe,0x85a45a08,0x7ffd8000,0x7ffd8fff,Vadl,PAGE_READWRITE,1,1,0x85a491e8,N/A,Disabled
0,236,smss.exe,0x85a4f908,0x7ffb0000,0x7ffd2fff,Vad ,PAGE_READONLY,0,0,0x85a45a08,N/A,Disabled
0,236,smss.exe,0x85a5ccf8,0x772f0000,0x772f0fff,Vad ,PAGE_EXECUTE_WRITECOPY,0,0,0x85a4f908,\\Windows\\System32\\apisetschema.dll,Disabled
0,236,smss.exe,0x85a4d3b0,0x7ffdf000,0x7ffdffff,Vadl,PAGE_READWRITE,1,1,0x85a45a08,N/A,Disabled
0,236,smss.exe,0x85700ca8,0x7ffdc000,0x7ffdcfff,Vadl,PAGE_READWRITE,1,1,0x85a4d3b0,N/A,Disabled
0,316,csrss.exe,0x861e0da0,0xab0000,0xaeffff,VadS,PAGE_READWRITE,5,1,0x85708fb8,N/A,Disabled
0,316,csrss.exe,0x8612a808,0x4b0000,0x78dfff,Vad ,PAGE_READONLY,0,0,0x861e0da0,N/A,Disabled
0,316,csrss.exe,0x848b3970,0x330000,0x330fff,Vadm,PAGE_READWRITE,1,1,0x8612a808,N/A,Disabled
0,316,csrss.exe,0x861291b8,0x1b0000,0x2affff,VadS,PAGE_READWRITE,186,1,0x848b3970,N/A,Disabled
0,316,csrss.exe,0x85a83d38,0x180000,0x180fff,Vad ,PAGE_READWRITE,0,0,0x861291b8,N/A,Disabled
0,316,csrss.exe,0x8612d9c8,0x100000,0x166fff,Vad ,PAGE_READONLY,0,0,0x85a83d38,\\Windows\\System32\\locale.nls,Disabled
0,316,csrss.exe,0x8570cd58,0x0,0xfffff,VadS,PAGE_READWRITE,0,1,0x8612d9c8,N/A,Disabled
0,316,csrss.exe,0x85acacc0,0x170000,0x175fff,Vad ,PAGE_READONLY,0,0,0x8612d9c8,N/A,Disabled
0,316,csrss.exe,0x848bfba8,0x190000,0x190fff,Vadm,PAGE_READWRITE,1,1,0x85a83d38,N/A,Disabled
0,316,csrss.exe,0x848cb838,0x1a0000,0x1a1fff,Vad ,PAGE_READONLY,0,0,0x848bfba8,\\Windows\\Fonts\\vgasys.fon,Disabled
0,316,csrss.exe,0x85887e70,0x2f0000,0x2fffff,Vad ,PAGE_READWRITE,0,0,0x861291b8,N/A,Disabled
0,316,csrss.exe,0x848c3238,0x2b0000,0x2effff,VadS,PAGE_READWRITE,5,1,0x85887e70,N/A,Disabled
0,316,csrss.exe,0x86212220,0x300000,0x306fff,Vad ,PAGE_READONLY,0,0,0x85887e70,\\Windows\\Fonts\\marlett.ttf,Disabled
