TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,656,csrss.exe,0x7ff700960000,0x7000,csrss.exe,C:\\WINDOWS\\system32\\csrss.exe,-1,2025-06-27 14:16:20.000000 UTC,Disabled
0,656,csrss.exe,0x7ffcd2be0000,0x263000,ntdll.dll,C:\\WINDOWS\\SYSTEM32\\ntdll.dll,-1,2025-06-27 14:16:20.000000 UTC,Disabled
0,656,csrss.exe,0x7ffccffd0000,0x1a000,CSRSRV.dll,C:\\WINDOWS\\SYSTEM32\\CSRSRV.dll,6,2025-06-27 14:16:20.000000 UTC,Disabled
0,656,csrss.exe,0x7ffccffb0000,0x17000,basesrv.DLL,C:\\WINDOWS\\system32\\basesrv.DLL,6,2025-06-27 14:16:20.000000 UTC,Disabled
0,656,csrss.exe,0x7ffccff90000,0x16000,winsrv.DLL,C:\\WINDOWS\\system32\\winsrv.DLL,6,2025-06-27 14:16:20.000000 UTC,Disabled
0,656,csrss.exe,0x7ffcd0560000,0x3a1000,kernelbase.dll,C:\\WINDOWS\\SYSTEM32\\kernelbase.dll,-1,2025-06-27 14:16:20.000000 UTC,Disabled
0,656,csrss.exe,0x7ffcd16a0000,0xc7000,kernel32.dll,C:\\WINDOWS\\SYSTEM32\\kernel32.dll,-1,-,Disabled
0,656,csrss.exe,0x7ffccff60000,0x26000,winsrvext.dll,C:\\WINDOWS\\SYSTEM32\\winsrvext.dll,6,2025-06-27 14:16:20.000000 UTC,Disabled
0,656,csrss.exe,0x7ffcd0530000,0x27000,win32u.dll,C:\\WINDOWS\\system32\\win32u.dll,6,2025-06-27 14:16:20.000000 UTC,Disabled
0,656,csrss.exe,0x7ffcd1f10000,0x2a000,GDI32.dll,C:\\WINDOWS\\system32\\GDI32.dll,6,2025-06-27 14:16:20.000000 UTC,Disabled
0,656,csrss.exe,0x7ffcd0160000,0x121000,gdi32full.dll,C:\\WINDOWS\\SYSTEM32\\gdi32full.dll,6,2025-06-27 14:16:20.000000 UTC,Disabled
0,656,csrss.exe,0x7ffccfff0000,0xa3000,msvcp_win.dll,C:\\WINDOWS\\system32\\msvcp_win.dll,6,2025-06-27 14:16:20.000000 UTC,Disabled
0,656,csrss.exe,0x7ffcd0910000,0x14b000,ucrtbase.dll,C:\\WINDOWS\\SYSTEM32\\ucrtbase.dll,6,2025-06-27 14:16:20.000000 UTC,Disabled
0,656,csrss.exe,0x7ffcd2020000,0x1c3000,USER32.dll,C:\\WINDOWS\\system32\\USER32.dll,6,2025-06-27 14:16:20.000000 UTC,Disabled
