TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0x920aff6ca060,0xf8024ae50000,0x16000,pcw,pcw,\\Driver\\pcw
0,0x920aff6ca4b0,0xf8024ae70000,0x1c000,vdrvroot,vdrvroot,\\Driver\\vdrvroot
0,0x920aff6ca6d0,0xf8024b480000,0x38a000,Ntfs,Ntfs,\\FileSystem\\Ntfs
0,0x920aff6cb290,0xf8024ec10000,0x14000,HidUsb,HidUsb,\\Driver\\HidUsb
0,0x920aff6ccc60,0xf8024ae90000,0x36000,pdc,pdc,\\Driver\\pdc
0,0x920aff6cd9b0,0xf8024aef0000,0x33000,partmgr,partmgr,\\Driver\\partmgr
0,0x920aff706300,0xf8024af30000,0xf2000,spaceport,spaceport,\\Driver\\spaceport
0,0x920aff708b70,0xf8024b030000,0x1d000,volmgr,volmgr,\\Driver\\volmgr
0,0x920aff708d90,0xf8024b050000,0x64000,volmgrx,volmgrx,\\Driver\\volmgrx
0,0x920aff709420,0xf8024b0c0000,0x1f000,mountmgr,mountmgr,\\Driver\\mountmgr
0,0x920aff7099f0,0xf8024b0f0000,0x36000,storahci,storahci,\\Driver\\storahci
0,0x920aff72f310,0xf8024de80000,0xb000,Null,-,\\Driver\\Null
0,0x920aff733b80,0xf802b8600000,0x0,\\Driver\\ACPI_HAL,ACPI_HAL,\\Driver\\ACPI_HAL
0,0x920aff744e00,0xf802b8600000,0x0,\\Driver\\PnpManager,PnpManager,\\Driver\\PnpManager
0,0x920aff74be00,0xf802b8600000,0x0,\\Driver\\SoftwareDevice,SoftwareDevice,\\Driver\\SoftwareDevice
0,0x920aff74de00,0xf802b8600000,0x0,\\Driver\\DeviceApi,DeviceApi,\\Driver\\DeviceApi
0,0x920aff766de0,0xf802b8600000,0x0,\\Driver\\WMIxWDM,WMIxWDM,\\Driver\\WMIxWDM
0,0x920aff793d00,0xf80249ff0000,0x86000,CLFS,CLFS,\\Driver\\CLFS
0,0x920aff797d20,0xf8024a6d0000,0xf000,PRM,PRM,\\Driver\\PRM
0,0x920aff7a6b80,0xf8024a6f0000,0x2a000,acpiex,acpiex,\\Driver\\acpiex
0,0x920aff7a8e10,0xf8024a590000,0xef000,Wdf01000,Wdf01000,\\Driver\\Wdf01000
0,0x920aff7aab80,0xf8024a080000,0xd3000,CNG,CNG,\\Driver\\CNG
0,0x920aff7c5c80,0xf8024fa50000,0x1a000,MsLldp,MsLldp,\\Driver\\MsLldp
0,0x920aff7d7e20,0xf8024a810000,0xc000,msisadrv,msisadrv,\\Driver\\msisadrv
0,0x920aff7e8580,0xf8024ad40000,0xe000,amdwps,amdwps,\\Driver\\amdwps
0,0x920aff7e8e20,0xf8024ad60000,0x18000,WindowsTrustedRT,WindowsTrustedRT,\\Driver\\WindowsTrustedRT
0,0x920aff7ea660,0xf8024ad80000,0x93000,intelpep,intelpep,\\Driver\\intelpep
0,0x920aff7ec070,0xf8024ae20000,0xc000,WindowsTrustedRTProxy,WindowsTrustedRTProxy,\\Driver\\WindowsTrustedRTProxy
