TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0xbd0e76268840,0x10,Directory,0x4,CpuPartitions
0,4,System,0xbd0e76265b40,0x1c,Directory,0xf000f,-
0,4,System,0xbd0e762573d0,0x20,Directory,0xf000f,KernelObjects
0,4,System,0x920aff7e2bb0,0x24,Event,0x1f0003,LowPagedPoolCondition
0,4,System,0x920aff749d20,0x28,Event,0x1f0003,-
0,4,System,0x920aff77cf60,0x2c,Event,0x1f0003,LowNonPagedPoolCondition
0,4,System,0x920aff689c80,0x30,Event,0x1f0003,HighNonPagedPoolCondition
0,4,System,0x920aff6893d0,0x34,Event,0x1f0003,LowMemoryCondition
0,4,System,0x920aff824bf0,0x38,Event,0x1f0003,HighMemoryCondition
0,4,System,0x920aff82d8c0,0x3c,Event,0x1f0003,LowCommitCondition
0,4,System,0x920aff689320,0x40,Event,0x1f0003,HighCommitCondition
0,4,System,0x920aff689bd0,0x44,Event,0x1f0003,MaximumCommitCondition
0,4,System,0x920aff8249e0,0x48,Event,0x1f0003,MemoryErrors
0,4,System,0x920aff82d440,0x4c,Event,0x1f0003,PhysicalMemoryChange
0,4,System,0xbd0e76357a50,0x58,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0xbd0e762f6850,0x5c,Key,0x0,-
0,4,System,0x920aff735da0,0x60,ALPC Port,0x1f0001,SleepstudyControlPort
0,4,System,0xbd0e7632ee90,0x68,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LEAPSECONDINFORMATION
0,4,System,0xbd0e7632e610,0x6c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT\\PREFETCHPARAMETERS
0,4,System,0xbd0e7632f820,0x70,Key,0x2001f,MACHINE\\SYSTEM\\SETUP
0,4,System,0xbd0e7632f0b0,0x74,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\NOTIFICATIONS
0,4,System,0xbd0e762a1700,0x78,SymbolicLink,0xf0001,DriverStores
0,4,System,0xbd0e7632fb50,0x7c,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001
