TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,636,csrss.exe,0x7ff748680000,0x7000,csrss.exe,C:\\WINDOWS\\system32\\csrss.exe,-1,2025-06-27 15:38:33.000000 UTC,Disabled
0,636,csrss.exe,0x7ffb800a0000,0x263000,ntdll.dll,C:\\WINDOWS\\SYSTEM32\\ntdll.dll,-1,2025-06-27 15:38:33.000000 UTC,Disabled
0,636,csrss.exe,0x7ffb7d490000,0x1a000,CSRSRV.dll,C:\\WINDOWS\\SYSTEM32\\CSRSRV.dll,6,2025-06-27 15:38:33.000000 UTC,Disabled
0,636,csrss.exe,0x7ffb7d470000,0x17000,basesrv.DLL,C:\\WINDOWS\\system32\\basesrv.DLL,6,2025-06-27 15:38:33.000000 UTC,Disabled
0,636,csrss.exe,0x7ffb7d450000,0x16000,winsrv.DLL,C:\\WINDOWS\\system32\\winsrv.DLL,6,2025-06-27 15:38:33.000000 UTC,Disabled
0,636,csrss.exe,0x7ffb7d830000,0x3a1000,kernelbase.dll,C:\\WINDOWS\\SYSTEM32\\kernelbase.dll,-1,2025-06-27 15:38:33.000000 UTC,Disabled
0,636,csrss.exe,0x7ffb7e090000,0xc7000,kernel32.dll,C:\\WINDOWS\\SYSTEM32\\kernel32.dll,-1,-,Disabled
0,636,csrss.exe,0x7ffb7d420000,0x26000,winsrvext.dll,C:\\WINDOWS\\SYSTEM32\\winsrvext.dll,6,2025-06-27 15:38:33.000000 UTC,Disabled
0,636,csrss.exe,0x7ffb7d600000,0x27000,win32u.dll,C:\\WINDOWS\\system32\\win32u.dll,6,2025-06-27 15:38:33.000000 UTC,Disabled
0,636,csrss.exe,0x7ffb7f4e0000,0x2a000,GDI32.dll,C:\\WINDOWS\\system32\\GDI32.dll,6,2025-06-27 15:38:33.000000 UTC,Disabled
0,636,csrss.exe,0x7ffb7ddf0000,0x121000,gdi32full.dll,C:\\WINDOWS\\SYSTEM32\\gdi32full.dll,6,2025-06-27 15:38:33.000000 UTC,Disabled
0,636,csrss.exe,0x7ffb7dca0000,0xa3000,msvcp_win.dll,C:\\WINDOWS\\system32\\msvcp_win.dll,6,2025-06-27 15:38:33.000000 UTC,Disabled
0,636,csrss.exe,0x7ffb7d4b0000,0x14b000,ucrtbase.dll,C:\\WINDOWS\\SYSTEM32\\ucrtbase.dll,6,2025-06-27 15:38:33.000000 UTC,Disabled
0,636,csrss.exe,0x7ffb7ead0000,0x1c3000,USER32.dll,C:\\WINDOWS\\system32\\USER32.dll,6,2025-06-27 15:38:33.000000 UTC,Disabled
0,636,csrss.exe,0x7ffb7d400000,0xf000,sxssrv.DLL,C:\\WINDOWS\\system32\\sxssrv.DLL,6,2025-06-27 15:38:33.000000 UTC,Disabled
