TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0x808597693680,0xf8017ed00000,0xef000,Wdf01000,Wdf01000,\\Driver\\Wdf01000
0,0x8085976abe40,0xf801841d0000,0x3c000,wcifs,wcifs,\\FileSystem\\wcifs
0,0x8085976b1dd0,0xf8017e7f0000,0xd3000,CNG,CNG,\\Driver\\CNG
0,0x8085976c3da0,0xf8017f5c0000,0x16000,pcw,pcw,\\Driver\\pcw
0,0x8085976c6a20,0xf8017f600000,0x36000,pdc,pdc,\\Driver\\pdc
0,0x8085976c7dd0,0xf8017f7a0000,0x1d000,volmgr,volmgr,\\Driver\\volmgr
0,0x8085976d1060,0xf8017ead0000,0x2c000,KSecDD,KSecDD,\\Driver\\KSecDD
0,0x8085976d1790,0xf8017fff0000,0x4e7000,DXGKrnl,DXGKrnl,\\Driver\\DXGKrnl
0,0x8085976d1b70,0x0,0x0,-,RAW,\\FileSystem\\RAW
0,0x8085976d3c00,0xf8017f5e0000,0x1c000,vdrvroot,vdrvroot,\\Driver\\vdrvroot
0,0x8085976dae00,0xf801835e0000,0x62000,udfs,udfs,\\FileSystem\\udfs
0,0x808597742e00,0xf801ece00000,0x0,\\Driver\\PnpManager,PnpManager,\\Driver\\PnpManager
0,0x808597746e00,0xf801ece00000,0x0,\\Driver\\SoftwareDevice,SoftwareDevice,\\Driver\\SoftwareDevice
0,0x80859774be00,0xf801ece00000,0x0,\\Driver\\DeviceApi,DeviceApi,\\Driver\\DeviceApi
0,0x808597768070,0xf801ece00000,0x0,\\Driver\\WMIxWDM,WMIxWDM,\\Driver\\WMIxWDM
0,0x80859779bc50,0xf8017ee40000,0xf000,PRM,PRM,\\Driver\\PRM
0,0x8085977a8df0,0xf8017ee60000,0x2a000,acpiex,acpiex,\\Driver\\acpiex
0,0x8085977cee00,0xf8017ee90000,0xd5000,ACPI,ACPI,\\Driver\\ACPI
0,0x8085977d5b80,0xf8017f4b0000,0xe000,amdwps,amdwps,\\Driver\\amdwps
0,0x8085977d5c00,0xf8017ed4da90,0x7ed4da90,-,-,襈⑜唘坖荈䃬譈䣹�譈뢊
0,0x8085977ee420,0xf8017f4d0000,0x18000,WindowsTrustedRT,WindowsTrustedRT,\\Driver\\WindowsTrustedRT
0,0x8085978062c0,0xf8017f4f0000,0x93000,intelpep,intelpep,\\Driver\\intelpep
0,0x808597806710,0xf8017ef90000,0x8f000,pci,pci,\\Driver\\pci
0,0x808597806c70,0xf8017f590000,0xc000,WindowsTrustedRTProxy,WindowsTrustedRTProxy,\\Driver\\WindowsTrustedRTProxy
0,0x808597808920,0xf8017ef80000,0xc000,msisadrv,msisadrv,\\Driver\\msisadrv
0,0x808597808c60,0xf8017f5a0000,0x13000,IntelPMT,IntelPMT,\\Driver\\IntelPMT
0,0x808597813cd0,0xf801ece00000,0x0,\\Driver\\ACPI_HAL,ACPI_HAL,\\Driver\\ACPI_HAL
0,0x808597817e20,0xf8017f030000,0x58000,TPM,TPM,\\Driver\\TPM
0,0x80859783f570,0xf8017ff80000,0x5e000,VBoxGuest,VBoxGuest,\\Driver\\VBoxGuest
0,0x808597da07d0,0xf8017f660000,0x33000,partmgr,partmgr,\\Driver\\partmgr
0,0x808597da0de0,0xf8017f6a0000,0xf2000,spaceport,spaceport,\\Driver\\spaceport
0,0x808597da1420,0xf8017f7c0000,0x64000,volmgrx,volmgrx,\\Driver\\volmgrx
0,0x808597da17c0,0xf8017f830000,0x1f000,mountmgr,mountmgr,\\Driver\\mountmgr
0,0x808597da1d90,0xf8017f860000,0x36000,storahci,storahci,\\Driver\\storahci
0,0x808597db62a0,0xf801ece00000,0x0,\\Driver\\RegistryHiveCacheDriver,RegistryHiveCacheDriver,\\Driver\\RegistryHiveCacheDriver
0,0x808597db6cc0,0xf80182b90000,0x8e000,rdbss,rdbss,\\FileSystem\\rdbss
0,0x808597db76e0,0xf80182800000,0x56000,NetBT,NetBT,\\Driver\\NetBT
0,0x808597db8870,0xf80182a80000,0xdb000,Vid,Vid,\\Driver\\Vid
0,0x808597dbb060,0xf801829f0000,0x82000,VBoxSF,VBoxSF,\\FileSystem\\VBoxSF
0,0x808597dbf420,0xf80182760000,0x42000,CimFS,CimFS,\\FileSystem\\CimFS
0,0x808597dbf870,0xf801826e0000,0x1a000,BasicDisplay,BasicDisplay,\\Driver\\BasicDisplay
0,0x808597dc0960,0xf80182700000,0x12000,BasicRender,BasicRender,\\Driver\\BasicRender
