TreeDepth,Offset,Name
0,0x808599083ac0,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,0x808599083da0,\\$Directory
0,0x8085992fd390,\\$BitMap
0,0x8085992fd500,\\Device\\HarddiskVolume4\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0x8085992fd670,\\$Extend\\$RmMetadata\\$Repair:$Verify:$DATA
0,0x8085992fd7e0,\\$Secure:$SDS:$DATA
0,0x8085992fd950,\\$Extend\\$Deleted:$I30:$INDEX_ALLOCATION
0,0x8085992fdac0,\\$Mft::$BITMAP
0,0x8085992fdda0,\\$LogFile
0,0x8085992fe080,\\:$I30:$INDEX_ALLOCATION
0,0x8085992fe1f0,\\$Extend\\$UsnJrnl:$J:$DATA
0,0x8085992fe4d0,\\$Extend\\$RmMetadata\\$Repair
0,0x8085992fe640,\\$Secure:$SII:$INDEX_ALLOCATION
0,0x8085992fe7b0,\\$Extend\\$RmMetadata\\$Repair:$Corrupt:$DATA
0,0x8085992fea90,\\$Extend:$I30:$INDEX_ALLOCATION
0,0x8085992fed70,\\$MftMirr
0,0x8085992feee0,\\$Mft
0,0x8085993ed0c0,\\Windows\\System32\\drivers\\PEAuth.sys
0,0x8085993ed680,\\Users\\vboxuser\\AppData\\Local\\Temp\\ad_driver.10.sys
0,0x8085993edc40,\\$PrepareToShrinkFileSize
0,0x8085993ee090,\\Windows\\System32\\drivers\\Ndu.sys
0,0x8085993eeaa0,\\Windows\\System32\\drivers\\bowser.sys
0,0x8085993ef620,\\Windows\\System32\\drivers\\mmcss.sys
0,0x8085993f0480,\\Windows\\System32\\drivers\\mpsdrv.sys
0,0x8085993f12e0,TerminalServices-RemoteConnec
0,0x8085993f2420,餐䣅醀￿餐䣅醀￿餰䣅醀￿䱐葮￿媌
0,0x8085993f2590,\\Windows\\System32\\drivers\\srvnet.sys
0,0x8085993f2b50,\\Windows\\System32\\drivers\\mrxsmb.sys
0,0x8085993f2cc0,\\Windows\\System32\\drivers\\lltdio.sys
0,0x8085993f2e30,\\Windows\\System32\\drivers\\srv2.sys
0,0x8085993f3110,\\Windows\\System32\\drivers\\http.sys
0,0x8085993f36d0,\\Windows\\System32\\drivers\\tcpipreg.sys
0,0x8085993f3840,\\Windows\\System32\\drivers\\rspndr.sys
0,0x8085993f40e0,\\Windows\\System32\\drivers\\mslldp.sys
0,0x8085993f4250,\\Windows\\System32\\drivers\\wanarp.sys
0,0x8085993f4530,\\Windows\\System32\\drivers\\mrxsmb20.sys
0,0x8085993f4dd0,\\Windows\\Logs\\WindowsUpdate\\WindowsUpdate.20250627.165346.756.2.etl
0,0x8085993f50b0,\\$Directory
0,0x8085993f5220,\\$Directory
0,0x8085993f5390,TxfLog
0,0x8085993f5500,KtmLog
0,0x8085993f5670,\\System Volume Information\\FVE2.{aff97bac-a69b-45da-aba1-2cfbce434750}.1
0,0x8085993f5950,\\$Directory
0,0x8085993f5ac0,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops
0,0x8085993f5c30,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,0x8085993f5da0,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
0,0x8085993f6080,\\Device\\HarddiskVolume4\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0x8085993f61f0,\\$Directory
0,0x8085993f6640,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops:$T:$DATA
