TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0x808597694040,0x4,Process,0x1fffff,System Pid 4
0,4,System,0x80859781d280,0x8,Thread,0x1fffff,Tid 48 Pid 4
0,4,System,0x808597802bb0,0xc,Mutant,0x1f0001,BcdSyncMutant
0,4,System,0x91803e2cd720,0x10,Directory,0x4,CpuPartitions
0,4,System,0x91803e2134b0,0x14,Directory,0xf000f,GLOBAL??
0,4,System,0x8085976a7cd0,0x18,Partition,0x1f0003,MemoryPartition0
0,4,System,0x91803e2cdc90,0x1c,Directory,0xf000f,-
0,4,System,0x91803e20be10,0x20,Directory,0xf000f,KernelObjects
0,4,System,0x808597713710,0x24,Event,0x1f0003,LowPagedPoolCondition
0,4,System,0x80859781dfa0,0x28,Event,0x1f0003,HighPagedPoolCondition
0,4,System,0x8085976bec60,0x2c,Event,0x1f0003,LowNonPagedPoolCondition
0,4,System,0x808597802d10,0x30,Event,0x1f0003,HighNonPagedPoolCondition
0,4,System,0x808597802f00,0x34,Event,0x1f0003,LowMemoryCondition
0,4,System,0x8085977afbe0,0x38,Event,0x1f0003,HighMemoryCondition
0,4,System,0x8085977aff30,0x3c,Event,0x1f0003,LowCommitCondition
0,4,System,0x80859769f330,0x40,Event,0x1f0003,HighCommitCondition
0,4,System,0x808597802c60,0x44,Event,0x1f0003,MaximumCommitCondition
0,4,System,0x80859781def0,0x48,Event,0x1f0003,MemoryErrors
0,4,System,0x8085976bebb0,0x4c,Event,0x1f0003,PhysicalMemoryChange
0,4,System,0x808597710080,0x50,Process,0x1fffff,Registry Pid 100
0,4,System,0x80859770e080,0x54,Thread,0x1fffff,Tid 92 Pid 4
0,4,System,0x80859f168080,0x58,IoCompletion,0x1f0003,-
0,4,System,0x91803e35db50,0x5c,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0x91803e29d3a0,0x60,Key,0x0,-
0,4,System,0x8085996a5040,0x64,Process,0x102a,smss.exe Pid 432
0,4,System,0x91803e35c1d0,0x68,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LEAPSECONDINFORMATION
0,4,System,0x91803e29f0d0,0x6c,SymbolicLink,0xf0001,DriverStores
0,4,System,0x91803e35d1c0,0x70,Key,0x2001f,MACHINE\\SYSTEM\\SETUP
0,4,System,0x91803e35d930,0x74,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\NOTIFICATIONS
