TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0x808597694040,168,-,N/A,False,2025-06-27 15:38:28.000000 UTC,N/A,-,-,-
1,432,4,smss.exe,0x8085996a5040,2,-,N/A,False,2025-06-27 15:38:28.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\smss.exe,-,-
1,100,4,Registry,0x808597710080,4,-,N/A,False,2025-06-27 15:38:20.000000 UTC,N/A,Registry,-,-
1,2396,4,MemCompression,0x80859e4cf040,30,-,N/A,False,2025-06-27 15:38:35.000000 UTC,N/A,MemCompression,-,-
0,636,592,csrss.exe,0x808599530140,11,-,0,False,2025-06-27 15:38:33.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\WINDOWS\\system32\\csrss.exe
0,704,592,wininit.exe,0x80859cc8f080,2,-,0,False,2025-06-27 15:38:33.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\wininit.exe,wininit.exe,C:\\WINDOWS\\system32\\wininit.exe
1,816,704,services.exe,0x8085995230c0,12,-,0,False,2025-06-27 15:38:33.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\services.exe,C:\\WINDOWS\\system32\\services.exe,C:\\WINDOWS\\system32\\services.exe
2,1036,816,VBoxService.ex,0x80859e3d0080,13,-,0,False,2025-06-27 15:38:35.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\VBoxService.exe,C:\\WINDOWS\\System32\\VBoxService.exe,C:\\WINDOWS\\System32\\VBoxService.exe
2,1560,816,svchost.exe,0x80859cdde080,6,-,0,False,2025-06-27 15:38:35.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k UserProfileService -p -s ProfSvc,C:\\WINDOWS\\system32\\svchost.exe
2,4124,816,svchost.exe,0x80859e9d5080,3,-,0,False,2025-06-27 15:39:49.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,-,-
2,544,816,svchost.exe,0x80859cd35240,21,-,0,False,2025-06-27 15:38:34.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k DcomLaunch -p,C:\\WINDOWS\\system32\\svchost.exe
3,5376,544,Widgets.exe,0x80859f3ab080,16,-,1,False,2025-06-27 15:38:44.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Program Files\\WindowsApps\\MicrosoftWindows.Client.WebExperience_424.1301.270.9_x64__cw5n1h2txyewy\\Dashboard\\Widgets.exe,"""C:\\Program Files\\WindowsApps\\MicrosoftWindows.Client.WebExperience_424.1301.270.9_x64__cw5n1h2txyewy\\Dashboard\\Widgets.exe"" -ServerName:Microsoft.Windows.DashboardServer",C:\\Program Files\\WindowsApps\\MicrosoftWindows.Client.WebExperience_424.1301.270.9_x64__cw5n1h2txyewy\\Dashboard\\Widgets.exe
4,1932,5376,msedgewebview2,0x80859f714080,47,-,1,False,2025-06-27 15:43:09.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\122.0.2365.106\\msedgewebview2.exe,-,-
