TreeDepth,Offset,FileFullPath,File output
0,0x91803e25e000,,Disabled
0,0x91803e2ce000,\\REGISTRY\\MACHINE\\SYSTEM,Disabled
0,0x91803e360000,\\REGISTRY\\MACHINE\\HARDWARE,Disabled
0,0x91803e926000,\\SystemRoot\\System32\\Config\\SOFTWARE,Disabled
0,0x91803ea36000,\\Device\\HarddiskVolume2\\EFI\\Microsoft\\Boot\\BCD,Disabled
0,0x91803e919000,\\SystemRoot\\System32\\Config\\DEFAULT,Disabled
0,0x91803e8c4000,\\SystemRoot\\System32\\Config\\SECURITY,Disabled
0,0x91803e8c0000,\\SystemRoot\\System32\\Config\\SAM,Disabled
0,0x918041e0f000,\\??\\C:\\WINDOWS\\ServiceProfiles\\NetworkService\\NTUSER.DAT,Disabled
0,0x918041f77000,\\SystemRoot\\System32\\Config\\BBI,Disabled
0,0x918043009000,\\??\\C:\\WINDOWS\\ServiceProfiles\\LocalService\\NTUSER.DAT,Disabled
0,0x918043468000,\\??\\C:\\Users\\vboxuser\\ntuser.dat,Disabled
0,0x91804474c000,\\??\\C:\\Users\\vboxuser\\AppData\\Local\\Microsoft\\Windows\\UsrClass.dat,Disabled
0,0x918044bb9000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.Photon_1000.26100.4.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x918044bbd000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.OOBE_1000.26100.2.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x918044bec000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.AIX_1000.26100.29.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x918044bee000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.FileExp_1000.26100.3.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x918044bf2000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.Core_1000.26100.19.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x918044c15000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.CBS_1000.26100.18.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x918044c56000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.UI.Xaml.CBS_9.2311.10002.0_x64__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0x918047008000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.WebExperience_424.1301.270.9_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0x918044df1000,\\??\\C:\\Users\\vboxuser\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
