TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0x83bedf08,0x84e00000,0x0,\\Driver\\ACPI_HAL,ACPI_HAL,\\Driver\\ACPI_HAL
0,0x8453a948,0x84600000,0x0,\\Driver\\SoftwareDevice,SoftwareDevice,\\Driver\\SoftwareDevice
0,0x8453c7f0,0x84600000,0x0,\\Driver\\DeviceApi,DeviceApi,\\Driver\\DeviceApi
0,0x8453cb90,0x84600000,0x0,\\Driver\\WMIxWDM,WMIxWDM,\\Driver\\WMIxWDM
0,0x845edf00,0x84600000,0x0,\\Driver\\PnpManager,PnpManager,\\Driver\\PnpManager
0,0x86a2df08,0x84e00000,0x0,\\Driver\\ACPI_HAL,ACPI_HAL,\\Driver\\ACPI_HAL
0,0x86a69ec0,0x870be000,0x1a000,acpiex,acpiex,\\Driver\\acpiex
0,0x86a6be88,0x86f72000,0x8c000,CNG,CNG,\\Driver\\CNG
0,0x890ff058,0x87277000,0x12000,vdrvroot,vdrvroot,\\Driver\\vdrvroot
0,0x890ff158,0x87289000,0x23000,pdc,pdc,\\Driver\\pdc
0,0x890ff258,0x872be000,0x24000,partmgr,partmgr,\\Driver\\partmgr
0,0x890ff358,0x871e6000,0x10000,WindowsTrustedRT,WindowsTrustedRT,\\Driver\\WindowsTrustedRT
0,0x890ff458,0x8ee60000,0x7000,Beep,Beep,\\Driver\\Beep
0,0x890ff558,0x87200000,0x8000,WindowsTrustedRTProxy,WindowsTrustedRTProxy,\\Driver\\WindowsTrustedRTProxy
0,0x890ff658,0x872e2000,0x84000,spaceport,spaceport,\\Driver\\spaceport
0,0x890ff758,0x87366000,0x13000,volmgr,volmgr,\\Driver\\volmgr
0,0x890ff858,0x870d8000,0x99000,ACPI,ACPI,\\Driver\\ACPI
0,0x890ff958,0x87186000,0x60000,intelpep,intelpep,\\Driver\\intelpep
0,0x890ffa58,0x0,0x0,-,RAW,\\FileSystem\\RAW
0,0x890ffb58,0x87215000,0x8000,msisadrv,msisadrv,\\Driver\\msisadrv
0,0x890ffc58,0x8721d000,0x5a000,pci,pci,\\Driver\\pci
0,0x890ffd58,0x871f6000,0x8000,Telemetry,Telemetry,\\Driver\\Telemetry
0,0x890ffe58,0x87208000,0xd000,pcw,pcw,\\Driver\\pcw
0,0x89b29ee8,0x86ffe000,0x99000,Wdf01000,Wdf01000,\\Driver\\Wdf01000
0,0x89b43058,0x90330000,0x15000,Npfs,Npfs,\\FileSystem\\Npfs
0,0x89b43158,0x90360000,0x16000,CimFS,CimFS,\\FileSystem\\CimFS
0,0x89b43258,0x8ef20000,0x23000,Psched,Psched,\\Driver\\Psched
0,0x89b43358,0x8ef50000,0xe000,NetBIOS,NetBIOS,\\FileSystem\\NetBIOS
0,0x89b43458,0x90010000,0xd000,NdisCap,NdisCap,\\Driver\\NdisCap
0,0x89b43558,0x90320000,0xc000,BasicRender,BasicRender,\\Driver\\BasicRender
0,0x89b43658,0x90310000,0x10000,BasicDisplay,BasicDisplay,\\Driver\\BasicDisplay
0,0x89b43758,0x90000000,0xd000,afunix,afunix,\\Driver\\afunix
0,0x89b43858,0x8ee70000,0x82000,AFD,AFD,\\Driver\\AFD
0,0x89b43958,0x8ef00000,0x15000,vwififlt,vwififlt,\\Driver\\vwififlt
0,0x89b43b58,0x90020000,0x2d3000,DXGKrnl,DXGKrnl,\\Driver\\DXGKrnl
0,0x89b43c58,0x90350000,0xd000,Msfs,Msfs,\\FileSystem\\Msfs
0,0x89b43d58,0x903b0000,0x41000,NetBT,NetBT,\\Driver\\NetBT
0,0x89b43e58,0x90380000,0x1a000,tdx,tdx,\\Driver\\tdx
0,0x89bf0058,0x874ca000,0x32000,Wof,Wof,\\FileSystem\\Wof
0,0x89bf0158,0x87379000,0x4f000,volmgrx,volmgrx,\\Driver\\volmgrx
0,0x89bf0258,0x81f4f000,0x4b000,CLFS,CLFS,\\Driver\\CLFS
0,0x89bf0358,0x877ba000,0x10b000,NDIS,NDIS,\\Driver\\NDIS
0,0x89bf0458,0x8792f000,0x27000,KSecPkg,KSecPkg,\\Driver\\KSecPkg
0,0x89bf0558,0x873de000,0x27000,storahci,storahci,\\Driver\\storahci
0,0x89bf0658,0x874b8000,0x12000,FileInfo,FileInfo,\\FileSystem\\FileInfo
0,0x89bf0858,0x874a1000,0x17000,EhStorClass,EhStorClass,\\Driver\\EhStorClass
0,0x89bf0958,0x874fc000,0x60000,WdFilter,WdFilter,\\FileSystem\\WdFilter
0,0x89bf0a58,0x86e00000,0x4d000,FltMgr,FltMgr,\\FileSystem\\FltMgr
0,0x89bf0b58,0x873c8000,0x16000,mountmgr,mountmgr,\\Driver\\mountmgr
0,0x89bf0c58,0x8755c000,0x254000,Ntfs,Ntfs,\\FileSystem\\Ntfs
0,0x89bf0d58,0x86e4d000,0x1d000,KSecDD,KSecDD,\\Driver\\KSecDD
0,0x89bf0e58,0x877b0000,0xa000,Fs_Rec,Fs_Rec,\\FileSystem\\Fs_Rec
0,0x8cc75058,0x87cbd000,0x5b000,volsnap,volsnap,\\Driver\\volsnap
0,0x8cc75158,0x87d18000,0x39000,rdyboost,rdyboost,\\Driver\\rdyboost
0,0x8cc75258,0x87d51000,0x1d000,Mup,Mup,\\FileSystem\\Mup
0,0x8cc75358,0x8ee00000,0x23000,cdrom,cdrom,\\Driver\\cdrom
0,0x8cc75458,0x87cb5000,0x8000,volume,volume,\\Driver\\volume
0,0x8cc75658,0x87d6e000,0xd000,iorate,iorate,\\Driver\\iorate
0,0x8cc75858,0x87c12000,0xa3000,fvevol,fvevol,\\Driver\\fvevol
0,0x8cc75958,0x8ee30000,0x10000,FileCrypt,FileCrypt,\\FileSystem\\FileCrypt
0,0x8cc75a58,0x8ee50000,0x7000,Null,Null,\\Driver\\Null
0,0x8cc75c58,0x87d88000,0x17000,disk,disk,\\Driver\\disk
0,0x8cc75c98,0x84728ce6,0x84728ce6,-,\\Driver\\disk,ﾋ譕诬్툲䇇ဘ
0,0x8cc75d58,0x87956000,0x24c000,Tcpip,Tcpip,\\Driver\\Tcpip
0,0x8cc75e58,0x87bfa000,0x18000,WFPLWFS,WFPLWFS,\\Driver\\WFPLWFS
0,0x8dbe8058,0x8f050000,0x13000,bam,bam,\\Driver\\bam
0,0x8dbe8258,0x8f0c0000,0xa000,kdnic,kdnic,\\Driver\\kdnic
0,0x8dbe8358,0x84600000,0x0,\\Driver\\WscVReg,WscVReg,\\Driver\\WscVReg
0,0x8dbe8458,0x8f0d0000,0x11000,umbus,umbus,\\Driver\\umbus
0,0x8dbe8558,0x8f030000,0x1c000,i8042prt,i8042prt,\\Driver\\i8042prt
0,0x8dbe8658,0x8ef60000,0x63000,rdbss,rdbss,\\FileSystem\\rdbss
0,0x8dbe8758,0x8efd0000,0xc000,nsiproxy,nsiproxy,\\Driver\\nsiproxy
0,0x8dbe8858,0x8f0b0000,0xd000,CompositeBus,CompositeBus,\\Driver\\CompositeBus
0,0x8dbe8958,0x8f1f0000,0xe000,kbdclass,kbdclass,\\Driver\\kbdclass
0,0x8dbe8a58,0x8f010000,0x20000,Dfsc,Dfsc,\\FileSystem\\Dfsc
0,0x8dbe8b58,0x8f070000,0x3c000,ahcache,ahcache,\\Driver\\ahcache
0,0x8dbe8c58,0x8eff0000,0xb000,mssmbios,mssmbios,\\Driver\\mssmbios
0,0x8dbe8d58,0x8efe0000,0x9000,npsvctrig,npsvctrig,\\Driver\\npsvctrig
0,0x8dbe8e58,0x8f000000,0x7000,GpuEnergyDrv,GpuEnergyDrv,\\Driver\\GpuEnergyDrv
