TreeDepth,Offset,Name
0,0x8457e580,\\ProgramData\\Microsoft\\Search\\Data\\Applications\\Windows\\Projects\\SystemIndex\\SecStore\\CiST0000.002
0,0x8457eb68,\\Program Files\\WindowsApps\\Microsoft.WindowsStore_11910.1002.5.0_x86__8wekyb3d8bbwe\\WinStore.App.exe
0,0x84d2a0e0,\\Windows\\System32\\AppXDeploymentServer.dll
0,0x84d2a1b8,\\Windows\\System32
0,0x84d2a368,\\Windows\\System32\\MrmDeploy.dll
0,0x84d2a7a0,\\Windows\\System32\\en-US\\svchost.exe.mui
0,0x84d2a878,\\Users\\mapo9\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\Network\\Cookies-journal
0,0x84d2aa28,\\$Directory
0,0x84d2abd8,\\Windows\\System32\\wbem\\WmiPrvSE.exe
0,0x84d2ad88,\\Windows\\System32\\SecureTimeAggregator.dll
0,0x89b41128,\\Windows\\System32\\drivers\\afunix.sys
0,0x89b411f0,\\Windows\\System32\\drivers\\afd.sys
0,0x89b41380,\\$Directory
0,0x89b41448,\\Windows\\System32\\drivers\\watchdog.sys
0,0x89b41510,\\Windows\\System32\\drivers\\dxgkrnl.sys
0,0x89b415d8,\\Windows\\System32\\DriverStore\\FileRepository\\basicdisplay.inf_x86_2894a8c7a4b1ded3\\BasicDisplay.sys
0,0x89b416a0,\\Windows\\System32\\drivers\\tdx.sys
0,0x89b41768,\\Windows\\System32\\drivers\\beep.sys
0,0x89b41830,\\Windows\\System32\\drivers\\netbt.sys
0,0x89b418f8,\\Windows\\System32\\drivers\\tdi.sys
0,0x89b419c0,\\Windows\\System32\\DriverStore\\FileRepository\\basicrender.inf_x86_d9b1aa4091ccf9d6\\BasicRender.sys
0,0x89b41a88,\\Windows\\System32\\drivers\\npfs.sys
0,0x89b41b50,\\Windows\\System32\\drivers\\msfs.sys
0,0x89b41c18,\\Windows\\System32\\drivers\\cimfs.sys
0,0x8cc98810,\\ProtectedPrefix\\LocalService
0,0x8cc988e8,\\Windows\\System32\\SHCore.dll
0,0x8cc98a98,\\Windows
0,0x8cc98b70,\\Windows\\System32\\imm32.dll
0,0x8cc98c48,\\Windows\\System32\\msvcrt.dll
0,0x8cc98d20,\\Windows\\System32\\comdlg32.dll
0,0x8cc98df8,\\Windows\\System32\\sechost.dll
0,0x8cc98ed0,\\Windows\\System32\\rpcrt4.dll
0,0x8ccb2ce0,\\:$I30:$INDEX_ALLOCATION
0,0x8ccb2da8,\\$BitMap
0,0x8ccb2e70,\\$Extend:$I30:$INDEX_ALLOCATION
0,0x8ccb2f38,\\$Extend\\$Deleted:$I30:$INDEX_ALLOCATION
0,0x8ccb30c8,\\$Mft
0,0x8ccb3190,\\$MftMirr
0,0x8ccb3258,\\$Mft::$BITMAP
0,0x8ccb33e8,\\$LogFile
0,0x8ccb3578,\\$Secure:$SDS:$DATA
0,0x8ccb3708,\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0x8ccb37d0,\\$Secure:$SII:$INDEX_ALLOCATION
0,0x8ccb3960,\\$Extend\\$UsnJrnl:$J:$DATA
0,0x8ccb3a28,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,0x8ccb3af0,\\Windows\\ServiceProfiles\\NetworkService\\NTUSER.DAT{b394265a-18b2-11ea-a815-000d3aa4c730}.TxR.2.regtrans-ms
0,0x8ccb3bb8,\\$Extend\\$RmMetadata\\$Repair
0,0x8ccb3c80,\\$Extend\\$RmMetadata\\$Repair:$Corrupt:$DATA
0,0x8ccb3d48,\\$Extend\\$RmMetadata\\$Repair:$Verify:$DATA
0,0x8ccb3e10,\\Windows\\System32\\ntdll.dll
0,0x8ccb3ed8,\\Windows\\System32\\drivers\\tbs.sys
0,0x8cd98060,\\$Directory
0,0x8cd981f0,\\$Directory
0,0x8cd98380,\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0x8cd98510,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,0x8cd985d8,\\$Directory
0,0x8cd986a0,\\$Extend\\$RmMetadata\\$Txf:$I30:$INDEX_ALLOCATION
0,0x8cd988f8,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
0,0x8cd989c0,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops:$T:$DATA
0,0x8cd98b50,TxfLog
0,0x8cd98c18,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops
0,0x8cd98ce0,\\Windows\\System32\\drivers\\Diskdump.sys
0,0x8cd98da8,\\$Directory
0,0x8cd98e70,\\$Extend\\$Reparse:$R:$INDEX_ALLOCATION
0,0x8cd990c8,\\$Directory
0,0x8cd99258,KtmLog
0,0x8cd99320,\\:$I30:$INDEX_ALLOCATION
0,0x8cd993e8,\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0x8cd99578,\\Windows\\System32\\drivers\\en-US\\ntfs.sys.mui
0,0x8cd99708,\\Windows\\System32\\drivers\\crashdmp.sys
0,0x8cd99898,\\$Directory
0,0x8cd99960,\\Windows\\System32\\drivers\\dumpfve.sys
0,0x8cd99a28,\\Windows\\System32\\drivers\\filecrypt.sys
0,0x8cd99af0,\\Windows\\System32\\drivers\\null.sys
0,0x8cd99c80,\\Windows\\System32\\drivers\\storahci.sys
0,0x8cd99e10,\\Windows\\System32\\drivers\\cdrom.sys
0,0x8db4e070,\\Windows\\System32\\en-US\\win32kbase.sys.mui
0,0x8db4e220,\\$Directory
0,0x8db4e2f8,\\Windows\\System32\\basesrv.dll
0,0x8db4e3d0,\\Windows\\System32\\csrsrv.dll
0,0x8db4e4a8,\\Sessions\\0\\AppContainerNamedObjects
0,0x8db4e580,\\swapfile.sys
0,0x8db4e658,\\DumpStack.log.tmp
0,0x8db4e808,\\pagefile.sys
0,0x8db4e8e0,\\Windows\\System32\\csrss.exe
0,0x8db4e9b8,\\Windows\\System32
0,0x8db4ea90,:$VMCB$
0,0x8db4ec40,\\Windows\\System32\\win32kfull.sys
0,0x8db4edf0,\\Windows\\System32\\locale.nls
0,0x8db4eec8,\\Windows\\System32\\profapi.dll
0,0x8db4f078,\\Windows\\System32\\winsrvext.dll
0,0x8db4f228,\\CMApi
0,0x8db4f300,\\Windows\\System32\\en-US\\csrss.exe.mui
0,0x8db4f3d8,\\Windows\\System32\\en-US\\winsrv.dll.mui
0,0x8db4f4b0,\\Windows\\System32\\wininit.exe
0,0x8db4f660,\\Windows\\System32\\sxssrv.dll
0,0x8db4f738,\\Windows\\System32\\drivers\\dxgmms2.sys
0,0x8db4f810,\\Windows\\System32\\winsrv.dll
0,0x8db4f9c0,\\Windows\\System32
0,0x8db4fb70,\\Windows\\System32
0,0x8db4fc48,\\Sessions\\1\\AppContainerNamedObjects
0,0x8db4fdf8,\\Windows\\System32\\wininitext.dll
0,0x8db4fed0,\\Windows\\System32\\userenv.dll
0,0x8f6591f0,\\Windows\\System32\\drivers\\netbios.sys
0,0x8f6592b8,\\Windows\\System32\\drivers\\rdbss.sys
0,0x8f659448,\\Windows\\System32\\drivers\\ndiscap.sys
0,0x8f659510,\\Windows\\System32\\drivers\\pacer.sys
0,0x8f659b50,\\Windows\\System32\\drivers\\vwififlt.sys
0,0x8f659e70,\\Windows\\System32\\drivers\\mssmbios.sys
0,0x8f65a190,\\Windows\\System32\\drivers\\nsiproxy.sys
0,0x8f65a258,\\Windows\\System32\\drivers\\npsvctrig.sys
0,0x8f65a320,\\Windows\\System32\\drivers\\gpuenergydrv.sys
0,0x8f65a3e8,\\$MftMirr
